Year,Author,Title,Experiment/Investigation Number,Size of Island,Number of Species,Terrestrial/Aquatic,Lab/In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,1,860,10,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,2,3250,18,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,3,2700,16,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,4,750,9,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,5,18000,30,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,6,180,8,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,7,1000,10,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,8,4450,22,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,9,3600,20,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,10,3150,17,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,11,2250,16,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,12,1800,16,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,13,1250,13,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,14,60,7,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,15,1950,17,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,16,2850,16,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,17,2225,15,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,18,900,10,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,19,11000,26,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,20,1460,14,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,21,50,7,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,22,3000,17,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,23,140,9,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,24,720,9,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,25,611,7,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,26,850,10,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,27,1200,13,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,28,3500,17,Aquatic,In-Situ
2005,Bell et al,Larger Islands House More Bacterial Taxa,29,1200,8,Aquatic,In-Situ
,,,,,,,
