"studyID","datasetID","year","author","title","obtained","area_metric","log_area","depth_metric","log_depth","volume_metric","log_volume","distance_metric","log_distance","sp_rich_metric","log_sp_rich","aqua_terra","fresh_saline","in_situ_lab","natural_modified","taxa","archipelago_type","expanded_archipelago_type","geographic_location","local_location","sample","DNI","NDM","depth_original","volume_original","area_original","species_original","volume","area","species","depth","rho","Depth_Area","logArea","SpearmansCC"
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","1",15,1160,10,NA,815,2342,81500000,8150000,2342,10,14742,"Area",15.913528485217,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","2",15,2567,10,NA,1197,2212,119700000,11970000,2212,10,14742,"Area",16.2979140775342,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","3",18,725,10,NA,1396,6070,139600000,13960000,6070,10,14742,"Area",16.4517066552985,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","4",11,2511,10,NA,1870,4543,1.87e+08,18700000,4543,10,14742,"Area",16.7440340818248,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","5",18,694,10,NA,1890,5192,1.89e+08,18900000,5192,10,14742,"Area",16.7546724800299,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","6",136,3725,10,NA,2538,5636,253800000,25380000,5636,10,14742,"Area",17.0494720202505,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","7",15,3044,10,NA,2550,4853,2.55e+08,25500000,4853,10,14742,"Area",17.0541890101287,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","8",90,3040,10,NA,2878,5881,287800000,28780000,5881,10,14742,"Area",17.1751912594235,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","9",15,2615,10,NA,3645,6286,364500000,36450000,6286,10,14742,"Area",17.4114520164189,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","10",26,3205,10,NA,3949,7965,394900000,39490000,7965,10,14742,"Area",17.4915580332628,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","11",34,1228,10,NA,4160,6599,4.16e+08,41600000,6599,10,14742,"Area",17.5436107252315,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","12",121,2106,10,NA,4638,6225,463800000,46380000,6225,10,14742,"Area",17.6523788897917,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","13",28,2363,10,NA,5307,6213,530700000,53070000,6213,10,14742,"Area",17.7871223548041,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","14",78,2321,10,NA,6181,6094,618100000,61810000,6094,10,14742,"Area",17.9395757216355,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","15",66,2128,10,NA,6876,6604,687600000,68760000,6604,10,14742,"Area",18.0461327384789,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","16",15,3043,10,NA,7880,6913,7.88e+08,78800000,6913,10,14742,"Area",18.1824235548281,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","17",62,893,10,NA,8388,6467,838800000,83880000,6467,10,14742,"Area",18.244897763998,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","18",16,2471,10,NA,8542,7389,854200000,85420000,7389,10,14742,"Area",18.2630908233776,0.935467980295566
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","supplement","m2","no","cm","no",NA,NA,"m","no","OTUs","no","terra",NA,"in situ","natural","bacteria","terrestrial","terrestrial freshwater","china","thousand island natural","19",23,3359,10,NA,8625,8310,862500000,86250000,8310,10,14742,"Area",18.2727606138757,0.935467980295566
