Year,Author,Title,Machine Number,Machine,Island (sump tank) size (litres),Week,Number of taxa (log 10 scale),Terrestrial/Aquatic,Lab/In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),1,Vertical mill - Huron,27.3,A,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),2,Vertical mill - Kearney and Trecker Model 2C,22.7,A,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),3,Lathe -CVA,13.6,A,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),4,Lathe - Colchester 600 lathe 5 x 20 chipmaster,9.1,A,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),5,Lathe - Dean Smith Grace Type 17,13.6,A,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),6,Vertical mill - Bridgeport ADC1 Series 1,27.3,A,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),7,Vertical mill - Bridgeport ADC1 Series 1,27.3,A,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),8,Lathe - Dean Smith Grace,13.6,A,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),9,Lathe - Smart & Brown,18.2,A,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),10,Lathe - Colchester 600 lathe 5 x 20 chipmaster,9.1,A,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),11,Lathe - Colchester 600 lathe 5 x 20 chipmaster,9.1,A,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),12,CNC mill - Lillian,22.7,A,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),13,CNC mill - Bostomatic 405,181.8,A,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),14,CNC mill - Bostomatic 312,27.3,A,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),15,Vertical mill - Cincinnati,68.2,A,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),1,Vertical mill - Huron,27.3,B,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),2,Vertical mill - Kearney and Trecker Model 2C,22.7,B,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),3,Lathe -CVA,13.6,B,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),4,Lathe - Colchester 600 lathe 5 x 20 chipmaster,9.1,B,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),5,Lathe - Dean Smith Grace Type 17,13.6,B,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),6,Vertical mill - Bridgeport ADC1 Series 1,27.3,B,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),7,Vertical mill - Bridgeport ADC1 Series 1,27.3,B,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),8,Lathe - Dean Smith Grace,13.6,B,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),9,Lathe - Smart & Brown,18.2,B,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),10,Lathe - Colchester 600 lathe 5 x 20 chipmaster,9.1,B,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),11,Lathe - Colchester 600 lathe 5 x 20 chipmaster,9.1,B,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),12,CNC mill - Lillian,22.7,B,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),13,CNC mill - Bostomatic 405,181.8,B,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),14,CNC mill - Bostomatic 312,27.3,B,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),15,Vertical mill - Cincinnati,68.2,B,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),1,Vertical mill - Huron,27.3,C,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),2,Vertical mill - Kearney and Trecker Model 2C,22.7,C,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),3,Lathe -CVA,13.6,C,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),4,Lathe - Colchester 600 lathe 5 x 20 chipmaster,9.1,C,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),5,Lathe - Dean Smith Grace Type 17,13.6,C,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),6,Vertical mill - Bridgeport ADC1 Series 1,27.3,C,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),7,Vertical mill - Bridgeport ADC1 Series 1,27.3,C,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),8,Lathe - Dean Smith Grace,13.6,C,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),9,Lathe - Smart & Brown,18.2,C,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),10,Lathe - Colchester 600 lathe 5 x 20 chipmaster,9.1,C,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),11,Lathe - Colchester 600 lathe 5 x 20 chipmaster,9.1,C,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),12,CNC mill - Lillian,22.7,C,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),13,CNC mill - Bostomatic 405,181.8,C,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),14,CNC mill - Bostomatic 312,27.3,C,,Aquatic,In-Situ
2005,Van Der Gast et al,Island size and bacterial diversity in an archipelago of engineering machines (rough data taken from graphs),15,Vertical mill - Cincinnati,68.2,C,,Aquatic,In-Situ
