studyID,datasetID,year,author,title,obtained,area_metric,log_area,depth_metric,log_depth,volume_metric,log_volume,distance_metric,log_distance,sp_rich_metric,log_sp_rich,aqua_terra,fresh_saline,in_situ_lab,natural_modified,taxa,archipelago_type,expanded_archipelago_type,geographic_location,local_location,sample,DNI,NDM,depth_original,volume_original,area_original,species_original,volume,area,species,depth,rho,Depth_Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,1,15,1160,10,NA,815,2342,81500000,8150000,2342,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,2,15,2567,10,NA,1197,2212,119700000,11970000,2212,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,3,18,725,10,NA,1396,6070,139600000,13960000,6070,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,4,11,2511,10,NA,1870,4543,187000000,18700000,4543,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,5,18,694,10,NA,1890,5192,189000000,18900000,5192,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,6,136,3725,10,NA,2538,5636,253800000,25380000,5636,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,7,15,3044,10,NA,2550,4853,255000000,25500000,4853,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,8,90,3040,10,NA,2878,5881,287800000,28780000,5881,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,9,15,2615,10,NA,3645,6286,364500000,36450000,6286,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,10,26,3205,10,NA,3949,7965,394900000,39490000,7965,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,11,34,1228,10,NA,4160,6599,416000000,41600000,6599,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,12,121,2106,10,NA,4638,6225,463800000,46380000,6225,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,13,28,2363,10,NA,5307,6213,530700000,53070000,6213,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,14,78,2321,10,NA,6181,6094,618100000,61810000,6094,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,15,66,2128,10,NA,6876,6604,687600000,68760000,6604,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,16,15,3043,10,NA,7880,6913,788000000,78800000,6913,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,17,62,893,10,NA,8388,6467,838800000,83880000,6467,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,18,16,2471,10,NA,8542,7389,854200000,85420000,7389,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,19,23,3359,10,NA,8625,8310,862500000,86250000,8310,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,20,60,3547,10,NA,9856,6732,985600000,98560000,6732,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,21,15,1099,10,NA,13071,8629,1307100000,130710000,8629,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,22,11,2494,10,NA,13172,10464,1317200000,131720000,10464,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,23,53,1046,10,NA,13264,9397,1326400000,132640000,9397,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,24,16,2576,10,NA,25619,8950,2561900000,256190000,8950,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,25,30,2588,10,NA,36958,8894,3695800000,369580000,8894,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,26,71,2164,10,NA,97930,10813,9793000000,979300000,10813,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,27,67,1939,10,NA,274942,9200,27494200000,2749420000,9200,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,28,32,950,10,NA,479759,10043,47975900000,4797590000,10043,10,14742,Area
1,1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,bacteria,terrestrial,terrestrial freshwater,china,thousand island natural,29,17,884,10,NA,11538756,11354,1.15E+12,1.15E+11,11354,10,14742,Area
1,2,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,fungi,terrestrial,terrestrial freshwater,china,thousand island natural,1,15,1160,10,NA,815,624,81500000,8150000,624,10,7411,Area
1,2,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,fungi,terrestrial,terrestrial freshwater,china,thousand island natural,2,15,2567,10,NA,1197,1301,119700000,11970000,1301,10,7411,Area
1,2,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,fungi,terrestrial,terrestrial freshwater,china,thousand island natural,3,18,725,10,NA,1396,1416,139600000,13960000,1416,10,7411,Area
1,2,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,fungi,terrestrial,terrestrial freshwater,china,thousand island natural,4,11,2511,10,NA,1870,1196,187000000,18700000,1196,10,7411,Area
1,2,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,fungi,terrestrial,terrestrial freshwater,china,thousand island natural,5,18,694,10,NA,1890,1466,189000000,18900000,1466,10,7411,Area
1,2,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,fungi,terrestrial,terrestrial freshwater,china,thousand island natural,6,136,3725,10,NA,2538,1743,253800000,25380000,1743,10,7411,Area
1,2,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,fungi,terrestrial,terrestrial freshwater,china,thousand island natural,7,15,3044,10,NA,2550,1301,255000000,25500000,1301,10,7411,Area
1,2,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,OTUs,no,terra,NA,in situ,natural,fungi,terrestrial,terrestrial freshwater,china,thousand island natural,8,90,3040,10,NA,2878,1675,287800000,28780000,1675,10,7411,Area
