"","m0_true","K_true","theta_true","depth","area","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100","species","st_error","analytics"
"1",0.04,20,8.00028001120045,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,20
"2",0.04,20,8.00028001120045,1,80,21,20,22,21,22,21,21,20,21,22,24,20,21,22,20,21,20,21,24,21,20,22,22,21,21,23,21,23,22,23,21,22,21,20,20,21,20,20,23,24,21,21,22,20,23,21,20,21,20,21,22,21,21,22,21,24,23,22,22,22,22,20,22,22,20,21,22,22,21,22,21,23,21,22,23,22,20,20,22,21,20,23,21,20,20,20,20,22,21,21,22,23,20,22,21,21,20,23,21,20,21.35,0.109521456778795,21.98
"3",0.04,20,8.00028001120045,1,180,23,22,26,26,23,22,23,25,21,27,25,24,23,27,24,21,24,23,25,24,27,24,21,25,27,25,24,26,26,26,26,25,21,24,27,25,23,22,21,24,26,24,23,23,22,23,22,28,24,23,22,26,25,22,21,25,26,24,23,22,28,23,22,29,23,22,22,26,24,23,25,23,21,24,24,21,26,24,23,24,24,24,25,25,23,24,25,25,24,26,27,24,24,25,21,26,24,26,23,27,24.1,0.183402190925746,25.08
"4",0.04,20,8.00028001120045,1,320,28,25,31,27,28,27,27,26,25,27,29,24,27,28,28,24,23,22,31,27,30,25,27,21,31,26,25,29,26,30,26,27,26,30,28,29,27,28,26,28,29,25,25,27,27,26,29,27,24,25,30,29,25,25,25,31,27,28,30,28,30,29,24,30,27,24,27,33,29,29,29,26,28,27,25,31,30,26,27,28,25,26,30,30,26,26,26,28,27,30,30,25,23,30,29,27,27,27,28,23,27.23,0.225565507070115,28.29
"5",0.04,20,8.00028001120045,1,500,33,30,33,31,29,31,37,30,29,30,36,32,27,29,26,29,29,28,32,30,32,29,28,29,32,31,29,27,36,36,29,30,30,30,34,32,31,30,29,33,31,29,30,27,34,31,35,33,26,33,31,30,24,35,33,32,30,35,32,31,31,31,25,32,34,30,31,36,33,30,31,36,29,34,32,36,29,32,39,30,32,35,34,32,28,26,27,34,29,35,37,30,31,29,31,28,27,30,31,34,31.11,0.287762177339328,31.21
"6",0.04,20,8.00028001120045,1,720,32,34,41,34,34,32,28,38,30,39,42,28,32,31,27,35,27,31,35,33,39,35,29,34,37,37,29,35,39,36,37,30,30,36,35,33,33,34,32,31,31,26,30,35,34,34,29,36,31,32,34,37,33,36,27,34,33,37,30,37,37,42,38,41,39,25,32,32,31,30,35,39,29,32,35,33,35,34,37,35,33,39,35,34,34,29,34,36,36,38,35,32,32,33,38,33,28,35,35,36,33.76,0.35848164654427,33.79
"7",0.04,20,8.00028001120045,1,980,37,34,39,33,34,35,32,39,33,33,41,38,31,40,32,35,29,35,43,32,35,40,33,34,41,37,41,35,41,47,37,35,36,36,36,32,37,34,36,38,36,33,33,36,35,36,34,37,35,35,39,40,30,39,34,36,33,37,37,36,41,43,34,36,37,32,38,40,33,32,36,37,31,38,40,39,38,35,43,35,36,40,41,34,34,29,39,44,35,40,40,33,33,34,37,31,34,38,36,43,36.26,0.346882217369632,36.06
"8",0.04,20,8.00028001120045,1,1280,39,36,43,35,37,44,37,44,33,43,48,39,34,35,31,42,31,33,39,39,44,46,35,34,42,32,45,33,48,44,37,36,42,37,35,39,31,34,40,42,35,34,32,31,35,36,32,39,38,32,43,46,35,40,39,47,37,38,41,42,48,43,37,44,41,33,38,40,37,43,38,41,33,38,40,43,44,33,44,35,41,45,44,37,39,35,42,37,44,45,43,33,40,39,37,32,38,42,37,44,38.77,0.452569543737967,38.07
"9",0.04,20,8.00028001120045,1,1620,45,37,43,42,40,39,40,43,44,39,49,37,42,36,38,39,31,34,40,46,44,43,37,41,48,41,43,40,48,41,40,41,38,43,37,40,36,36,40,38,33,32,39,32,40,36,35,42,35,40,40,43,37,43,37,48,41,46,39,38,48,50,34,45,41,39,43,48,39,42,41,48,35,44,48,41,45,32,42,38,43,42,47,37,41,40,40,44,39,42,40,40,43,39,41,36,38,38,38,47,40.53,0.41327834433828,39.87
"10",0.04,20,8.00028001120045,1,2000,43,41,46,42,44,39,40,51,40,39,49,41,40,42,35,42,34,39,42,43,41,42,37,39,47,38,46,41,52,48,42,39,39,47,45,42,40,34,35,43,35,38,38,35,38,37,43,44,38,43,46,45,37,46,43,46,44,44,43,42,46,49,37,50,47,37,43,45,44,44,43,47,37,45,50,46,43,33,51,43,43,49,44,41,39,38,45,42,41,45,44,41,40,44,50,35,40,42,43,50,42.3,0.426519861107536,41.5
