"","m0_true","K_true","theta_true","depth","area","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100","species","st_error","analytics"
"1",0.1,50,100.099099099099,1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,50
"2",0.1,50,100.099099099099,1,200,63,69,72,71,74,69,66,65,65,72,71,69,68,62,67,66,68,63,65,73,69,78,81,60,76,79,73,68,66,64,74,72,72,73,69,70,72,67,71,73,66,65,70,70,73,78,68,68,74,76,66,74,73,68,67,65,77,67,67,74,69,68,71,68,73,68,67,71,67,72,66,68,67,69,69,58,66,66,70,62,64,67,71,74,67,73,68,72,72,71,65,62,68,66,73,69,70,79,71,69,69.37,0.421314681213533,71.89
"3",0.1,50,100.099099099099,1,450,101,101,97,106,108,95,97,106,109,97,101,99,106,109,98,103,107,101,99,98,96,108,99,114,109,104,104,103,102,95,98,93,99,110,103,99,101,108,104,115,111,99,98,105,108,104,100,102,98,98,90,108,108,108,109,104,102,99,100,107,101,101,114,102,101,96,100,99,112,99,99,107,108,100,103,99,101,101,90,89,99,110,101,105,101,105,99,98,112,101,105,109,92,100,108,117,102,112,100,94,102.52,0.562189083544465,104.5
"4",0.1,50,100.099099099099,1,800,140,143,130,124,135,153,132,131,132,126,134,133,126,141,120,132,137,125,142,131,138,150,123,147,128,143,130,125,137,134,133,137,134,135,123,141,127,131,146,146,142,137,127,132,152,130,129,145,128,125,139,140,132,138,143,124,146,143,136,126,141,133,148,151,138,137,131,130,138,137,127,128,144,137,135,145,143,141,133,111,137,125,134,138,140,134,131,145,146,143,134,134,141,134,149,136,143,159,132,136,135.88,0.808450319557064,138.52
"5",0.1,50,100.099099099099,1,1250,169,171,173,163,182,180,151,171,175,162,147,159,171,172,172,172,181,161,184,172,171,169,167,181,177,175,163,177,167,160,168,169,169,173,168,161,167,176,179,179,169,171,166,162,178,167,183,174,174,157,165,168,174,162,180,173,163,165,177,174,173,169,163,167,193,156,183,154,167,163,160,170,168,174,174,170,176,163,160,151,177,144,150,183,162,167,159,170,177,168,175,148,165,175,167,194,161,195,170,173,169.4,0.939804406901949,170.38
"6",0.1,50,100.099099099099,1,1800,196,203,183,201,203,211,174,199,196,183,189,201,202,185,197,199,215,178,202,186,196,207,166,207,190,195,200,186,214,186,190,191,198,201,214,196,179,207,217,206,206,209,170,200,212,196,196,205,204,206,195,216,200,191,213,206,197,192,195,181,212,185,192,211,218,202,223,197,198,196,195,206,204,201,199,191,182,192,184,170,200,167,182,213,188,214,199,214,215,200,203,191,191,214,214,203,195,226,188,192,198.06,1.22192264464448,199.26
"7",0.1,50,100.099099099099,1,2450,225,222,211,227,236,247,218,231,215,209,218,225,229,218,256,228,235,205,236,211,222,234,215,245,223,216,214,229,243,225,219,221,233,232,235,225,240,223,238,235,222,247,204,237,227,218,232,214,226,216,224,225,227,224,232,241,220,220,226,218,225,228,232,224,232,232,233,212,222,216,226,237,225,229,221,234,234,212,196,178,234,207,203,250,220,242,221,241,237,246,230,212,217,234,236,233,215,221,216,231,225.63,1.20140111805535,225.27
"8",0.1,50,100.099099099099,1,3200,242,249,240,243,249,267,232,250,237,240,233,239,258,228,266,252,253,235,280,242,238,258,251,266,274,244,247,249,240,248,243,244,236,245,261,239,247,257,263,270,249,262,219,246,275,239,255,248,253,240,240,266,233,255,252,244,259,232,250,250,266,232,247,263,258,249,261,237,251,247,238,243,250,252,249,245,248,251,226,213,247,218,227,268,248,258,236,274,262,265,254,248,238,255,256,250,260,268,237,257,248.74,1.27521992557592,248.75
"9",0.1,50,100.099099099099,1,4050,279,246,271,271,286,290,233,275,263,262,258,254,283,255,277,262,273,261,265,275,279,305,258,299,284,269,270,251,267,275,255,271,284,273,259,273,248,284,296,295,267,273,251,270,298,252,267,266,275,260,285,284,269,260,282,269,262,260,253,268,283,270,273,294,286,258,266,239,284,276,268,276,263,293,265,275,268,264,240,237,264,233,251,286,265,296,266,278,296,269,276,272,254,283,279,269,257,292,258,281,270.08,1.49272173623157,270.04
"10",0.1,50,100.099099099099,1,5000,273,288,284,292,301,324,261,271,295,286,274,285,298,274,290,289,309,285,309,281,282,311,289,319,289,275,300,275,314,303,284,286,284,265,295,284,290,287,317,312,292,286,273,287,310,269,290,278,293,288,301,290,292,277,306,284,291,270,295,298,286,285,307,296,288,285,298,282,291,297,287,306,297,311,300,292,280,267,281,258,306,260,270,308,304,293,281,290,309,288,290,277,300,312,299,289,302,320,290,286,290.68,1.38022688809712,289.46
