"","m0_true","K_true","theta_true","area","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100","species","st_error","analytics"
"1",0.5,30,18.0010200612037,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,30
"2",0.5,30,18.0010200612037,120,33,33,33,35,34,32,34,34,33,31,33,33,35,33,35,31,33,33,31,33,35,34,35,32,34,35,32,33,31,36,33,35,33,33,34,34,32,33,33,34,31,35,35,32,33,32,32,33,32,34,33,35,35,33,34,32,36,34,35,32,34,33,34,35,32,33,32,34,33,31,33,38,33,33,33,31,33,32,32,34,31,34,31,34,36,33,34,33,32,33,33,33,33,37,35,31,34,37,37,36,33.4141414141414,0.151274460097869,34.24
"3",0.5,30,18.0010200612037,270,41,39,35,34,36,38,35,35,36,35,37,37,34,35,38,39,33,40,36,38,34,38,33,38,35,40,39,39,36,39,35,37,36,39,37,36,35,37,34,39,32,38,40,34,35,33,33,35,40,35,35,37,37,39,37,34,35,38,38,36,37,32,32,40,42,35,36,40,35,37,35,38,33,34,40,39,38,39,43,39,33,37,32,34,37,39,37,40,38,37,39,39,32,37,39,37,37,41,38,34,36.6464646464646,0.24505546568951,38.21
"4",0.5,30,18.0010200612037,480,42,35,43,40,39,44,39,40,37,46,42,43,44,39,36,37,40,39,37,43,38,40,41,38,41,39,41,40,39,42,42,33,43,40,41,37,38,43,44,37,34,40,42,38,31,40,40,40,42,43,43,42,40,38,40,41,42,44,39,40,42,36,38,39,41,43,36,42,43,40,41,44,39,42,42,44,44,40,37,44,37,40,43,41,40,44,45,42,42,41,40,37,44,38,42,39,44,37,40,39,40.3131313131313,0.276416710092423,41.8
"5",0.5,30,18.0010200612037,750,47,38,48,42,50,42,43,44,43,48,47,42,43,38,43,47,43,41,44,48,41,44,36,44,46,39,45,42,45,47,47,44,39,41,44,41,51,42,45,40,39,50,42,44,38,45,38,44,40,50,46,49,44,41,48,46,51,52,40,38,40,43,44,43,45,48,35,45,42,39,40,45,45,42,45,44,51,39,43,46,46,53,43,46,46,44,41,48,43,37,48,36,43,40,44,46,48,45,46,43,43.7575757575758,0.377989263254426,45
"6",0.5,30,18.0010200612037,1080,40,47,49,39,47,43,45,44,54,43,52,53,42,44,43,45,49,44,48,47,47,48,44,47,51,44,52,47,48,43,45,47,41,49,47,48,47,44,47,47,42,45,45,45,46,42,43,46,40,50,39,47,51,40,47,49,50,43,42,46,46,52,45,41,55,48,48,54,39,44,51,59,37,51,46,46,43,46,46,49,44,49,47,48,44,50,48,50,46,48,48,47,54,44,54,45,58,47,44,45,46.6161616161616,0.402708586280761,47.86
"7",0.5,30,18.0010200612037,1470,56,47,49,45,51,47,55,49,48,52,50,51,54,38,47,42,54,45,45,47,40,47,48,50,47,51,49,48,46,53,49,42,48,48,49,48,47,45,50,46,44,50,43,49,51,52,40,49,52,56,49,51,48,52,46,46,52,52,49,49,63,53,50,45,59,49,51,54,46,43,52,56,38,48,54,53,53,49,55,56,55,54,50,45,51,47,55,49,50,40,50,52,49,51,52,43,54,56,51,47,49.2424242424242,0.439047269039242,50.41
"8",0.5,30,18.0010200612037,1920,47,47,53,52,52,54,45,49,55,48,57,46,58,51,48,46,52,49,52,49,43,55,48,50,56,50,56,57,58,48,52,44,47,56,53,49,48,53,48,46,43,55,49,50,48,53,46,49,58,54,46,53,43,51,55,52,51,54,48,55,50,54,53,55,50,47,53,54,53,49,54,58,46,50,54,52,56,50,52,55,58,57,43,53,42,53,50,50,54,51,61,53,53,45,52,50,51,52,58,50,51.2525252525253,0.406690955595156,52.73
"9",0.5,30,18.0010200612037,2430,57,56,60,52,61,61,56,57,57,55,59,54,56,48,45,54,58,48,50,55,55,64,56,60,56,54,56,52,53,59,62,50,60,49,50,47,50,54,50,54,47,51,54,52,46,59,51,51,56,56,55,50,49,53,59,58,55,55,49,54,56,51,56,54,57,50,53,55,56,47,53,55,51,58,59,56,58,57,56,60,55,60,50,51,57,48,58,52,50,53,63,53,51,52,61,51,51,57,61,58,54.3737373737374,0.414781973407716,54.83
"10",0.5,30,18.0010200612037,3000,56,53,60,52,58,49,61,52,54,56,67,51,58,54,51,52,58,59,48,56,49,61,56,56,46,55,55,57,56,62,58,59,57,58,59,51,62,55,58,53,48,62,54,55,58,58,48,58,52,61,51,60,55,48,55,62,59,61,59,55,62,58,58,56,66,57,59,69,57,52,57,53,53,58,57,60,58,52,52,67,54,56,55,53,58,53,60,53,55,50,59,61,56,49,59,55,61,56,63,54,56.2828282828283,0.445329042275163,56.75
