Year,Author,Title,Experiment/Investigation Number,Island Size Estimation,Number of Species,Size of Island,Distance,Terrestrial/Aquatic,Lab/In-Situ
2007,Peay et al,A strong species-area relationship for eukaryotic soil microbes: Island size matters for ectomycorrhizal fungi,1,1500,26,>1000,0 to 100,Terrestrial,In-situ
2007,Peay et al,A strong species-area relationship for eukaryotic soil microbes: Island size matters for ectomycorrhizal fungi,2,1500,20,>1000,>1000,Terrestrial,In-situ
2007,Peay et al,A strong species-area relationship for eukaryotic soil microbes: Island size matters for ectomycorrhizal fungi,3,1500,17,>1000,100 to 1000,Terrestrial,In-situ
2007,Peay et al,A strong species-area relationship for eukaryotic soil microbes: Island size matters for ectomycorrhizal fungi,4,550,17,100 to 1000,>1000,Terrestrial,In-situ
2007,Peay et al,A strong species-area relationship for eukaryotic soil microbes: Island size matters for ectomycorrhizal fungi,5,550,9,100 to 1000,0 to 100,Terrestrial,In-situ
2007,Peay et al,A strong species-area relationship for eukaryotic soil microbes: Island size matters for ectomycorrhizal fungi,6,550,9,100 to 1000,100 to 1000,Terrestrial,In-situ
2007,Peay et al,A strong species-area relationship for eukaryotic soil microbes: Island size matters for ectomycorrhizal fungi,7,50,7,10 to 100,>1000,Terrestrial,In-situ
2007,Peay et al,A strong species-area relationship for eukaryotic soil microbes: Island size matters for ectomycorrhizal fungi,8,50,7,10 to 100,100 to 1000,Terrestrial,In-situ
2007,Peay et al,A strong species-area relationship for eukaryotic soil microbes: Island size matters for ectomycorrhizal fungi,9,5,5,1 to 10,>1000,Terrestrial,In-situ
2007,Peay et al,A strong species-area relationship for eukaryotic soil microbes: Island size matters for ectomycorrhizal fungi,10,5,3,1 to 10,100 to 1000,Terrestrial,In-situ
2007,Peay et al,A strong species-area relationship for eukaryotic soil microbes: Island size matters for ectomycorrhizal fungi,11,50,4,10 to 100,0 to 100,Terrestrial,In-situ
2007,Peay et al,A strong species-area relationship for eukaryotic soil microbes: Island size matters for ectomycorrhizal fungi,12,5,2,1 to 10,0 to 100,Terrestrial,In-situ
