	Plot 1 (FSC-H/SSC-H)		
	P1		
	Count	Volume (µL)	Events / µL
C03	25,906	10	2591
C04	19,952	10	1995
C05	21,647	10	2165
C06	23,070	10	2307
C07	16,421	10	1642
C08	14,650	10	1465
C09	16,197	10	1620
C10	14,247	10	1425
C11	20,408	10	2041
C12	20,971	10	2097
D03	10,231	10	1023
D04	5,248	10	525
D05	6,526	10	653
D06	7,100	10	710
D07	4,414	10	441
D08	3,900	10	390
D09	5,303	10	530
D10	3,595	10	360
D11	6,224	10	622
D12	6,732	10	673
E03	2,477	10	248
E04	1,035	10	104
E05	1,331	10	133
E06	1,512	10	151
E07	984	10	98
E08	767	10	77
E09	1,120	10	112
E10	795	10	80
E11	1,581	10	158
E12	1,773	10	177
F03	2	10	0
F04	8	10	1
F05	9	10	1
F06	7	10	1
F07	11	10	1
F08	2	10	0
F09	84	10	8
F10	48	10	5
F11	2	10	0
F12	10	10	1
