"m0_true","K_true","theta_true","area","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100","species","st_error"
0.03,15,4.50010500315009,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0
0.03,15,4.50010500315009,60,15,15,15,16,16,16,16,15,16,16,17,17,15,17,15,15,15,16,15,15,16,16,15,16,15,15,15,15,15,16,15,15,16,15,15,15,15,17,15,15,15,17,15,15,15,17,16,15,15,16,15,16,16,15,15,16,15,16,17,15,16,16,15,15,16,15,15,18,15,18,15,17,15,16,17,16,15,16,16,16,16,18,15,16,15,16,15,16,15,15,16,15,16,15,16,16,18,15,15,18,15.6767676767677,0.0847325729056462
0.03,15,4.50010500315009,135,16,17,17,16,16,19,18,17,17,16,17,16,16,16,16,16,16,18,17,17,18,19,18,20,18,16,20,17,16,19,20,19,16,19,18,17,19,17,16,17,17,17,18,16,17,16,17,17,18,21,17,17,18,16,15,19,17,17,19,21,17,16,19,17,20,15,15,17,18,17,15,15,18,18,20,18,16,19,18,16,18,21,17,16,16,17,17,17,16,15,18,16,15,18,16,18,17,19,18,17,17.3030303030303,0.143184722151872
0.03,15,4.50010500315009,240,20,16,20,20,22,17,17,15,20,18,19,19,18,19,18,18,19,19,20,20,21,19,16,21,21,16,20,16,22,19,21,17,20,19,20,18,16,18,21,16,17,16,17,18,20,19,16,18,19,18,22,19,18,19,15,22,21,22,20,21,21,20,18,22,22,18,19,18,21,20,21,16,17,18,20,20,18,18,20,17,18,17,19,21,17,17,19,19,17,19,21,19,17,18,18,18,19,21,17,19,18.8080808080808,0.179141524419492
0.03,15,4.50010500315009,375,21,18,23,18,23,20,20,20,20,19,21,20,18,17,17,17,21,23,21,21,19,20,18,19,21,21,21,17,21,20,25,20,21,19,19,25,18,20,22,19,17,22,18,21,23,17,20,22,22,21,23,20,22,20,17,22,23,25,19,21,24,20,20,22,23,20,19,23,21,24,20,20,23,21,23,24,21,21,25,19,20,24,21,24,21,20,20,22,24,20,18,19,21,19,22,24,22,21,20,21,20.7373737373737,0.20586427241548
0.03,15,4.50010500315009,540,22,21,22,20,25,21,23,26,21,22,22,23,17,24,21,21,21,23,23,22,29,20,19,21,26,20,22,19,23,20,23,22,22,23,23,25,18,20,25,20,22,25,18,20,28,19,19,21,22,24,20,22,24,22,17,26,19,28,25,22,22,21,24,22,27,23,24,21,22,28,23,20,21,21,26,23,22,19,24,22,21,26,21,24,24,19,18,27,24,22,23,23,25,21,23,26,25,23,23,25,22.4141414141414,0.253204610809293
0.03,15,4.50010500315009,735,22,20,24,26,26,24,28,25,22,20,27,24,22,27,20,22,24,22,27,26,26,22,19,21,27,24,27,21,26,24,25,22,22,23,25,25,21,20,25,24,19,24,22,21,29,22,20,22,23,27,21,23,25,23,19,29,24,25,22,26,25,26,25,22,28,21,27,29,21,26,23,22,28,22,31,23,23,25,27,19,21,25,23,27,23,19,23,26,25,23,27,19,25,21,28,22,24,23,23,29,23.8383838383838,0.274943846783597
0.03,15,4.50010500315009,960,24,22,28,23,26,25,27,28,23,20,27,29,22,20,24,22,24,29,24,27,27,27,20,23,25,23,26,22,25,26,28,23,25,28,23,25,22,21,28,24,25,24,23,23,25,25,22,24,24,24,22,20,29,24,21,26,25,26,23,30,28,24,29,26,30,19,29,25,26,25,26,26,21,25,31,27,26,24,25,19,20,27,24,28,24,22,24,28,22,25,28,26,29,19,28,26,23,23,26,34,24.8787878787879,0.28939644871616
0.03,15,4.50010500315009,1215,24,23,24,22,27,25,28,26,27,22,28,25,24,24,22,26,25,23,27,27,25,28,21,24,29,24,27,20,29,26,30,26,25,26,25,26,22,22,25,24,25,25,23,22,29,24,24,27,23,27,24,22,27,25,19,27,25,29,24,27,29,30,29,25,30,22,28,26,29,26,26,28,25,29,29,27,23,21,31,22,28,27,24,26,26,23,22,30,25,27,28,25,26,24,29,26,25,23,28,31,25.6060606060606,0.259956619844198
0.03,15,4.50010500315009,1500,22,27,27,26,30,29,28,33,25,23,29,28,23,31,25,24,27,29,28,26,31,29,22,24,32,22,32,21,30,26,26,25,24,30,26,34,23,24,30,21,26,28,26,26,31,27,23,26,24,27,28,27,29,26,19,34,26,30,23,29,35,27,28,25,31,23,27,26,24,25,21,26,28,27,35,36,27,26,28,25,24,27,27,31,23,21,24,30,27,28,26,27,27,23,28,24,30,25,29,37,27,0.34933750652523
0.03,15,4.50010500315009,1815,23,26,30,26,30,25,28,27,29,23,31,29,25,27,28,27,26,31,30,27,29,28,23,24,31,25,30,24,34,26,31,26,26,31,25,31,25,24,28,29,25,26,24,27,34,23,22,27,25,26,30,30,30,27,24,28,29,32,28,29,30,33,30,27,31,28,33,28,29,34,33,29,27,30,29,28,27,30,29,24,26,27,25,30,27,23,23,29,30,27,27,30,32,25,33,24,31,31,31,39,28.0808080808081,0.308164436743673
0.03,15,4.50010500315009,2160,26,29,29,25,30,29,28,28,26,25,32,29,26,27,22,26,27,30,29,25,30,33,24,27,28,27,32,21,33,28,33,26,25,34,27,28,27,23,27,23,27,27,27,25,33,26,25,30,29,30,29,28,34,25,22,30,32,32,29,28,35,30,35,26,33,23,30,31,28,30,26,30,28,31,34,29,29,26,30,24,26,32,32,30,34,23,26,28,31,29,30,29,30,24,31,30,25,30,26,35,28.4343434343434,0.321099435835058
0.03,15,4.50010500315009,2535,27,31,30,29,31,31,29,35,30,26,32,34,24,30,24,26,27,29,34,29,33,30,24,28,33,27,31,24,37,32,33,29,32,33,29,32,26,25,34,25,26,27,27,26,33,27,28,29,27,30,30,31,34,27,26,33,27,35,27,33,34,32,30,29,35,25,35,29,29,37,28,29,31,32,33,36,30,28,28,25,32,30,29,30,32,24,24,33,29,31,32,27,30,26,33,30,32,33,35,38,29.959595959596,0.336692778036506
