"m0_true","K_true","theta_true","depth","area","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100","species","st_error"
0.003,10,11111,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
0.003,10,11111,1,40,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,10,11,12,11,10,10,10,11,10,10,10,10,10,11,10,10,11,10,10,10,10,10,10,10,11,10,10,11,10,10,10,10,11,10,10,10,10,10,13,11,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,11,10,10,11,10,11,10,10,10,10,10,10,10,10,10,10,11,10,10,11,11,10,10.25,0.0519809599951771
0.003,10,11111,1,90,12,10,10,11,10,11,10,10,11,10,10,11,10,10,11,10,11,10,10,10,10,11,11,11,10,11,11,10,11,11,10,12,10,11,10,11,12,13,11,10,11,11,13,10,10,10,10,10,10,10,10,13,11,11,11,12,10,10,10,10,11,10,10,10,10,10,10,11,11,10,11,10,10,10,10,10,11,11,11,11,11,10,12,12,14,10,11,11,11,11,11,12,10,12,10,10,10,10,12,12,10.68,0.0851380340886777
0.003,10,11111,1,160,13,12,11,12,12,13,13,14,11,11,11,12,10,12,10,11,12,13,13,11,11,11,12,10,13,11,10,10,12,12,12,13,10,11,11,15,10,10,12,12,10,12,16,11,11,11,11,13,11,11,10,12,10,11,10,13,10,11,12,10,11,11,11,11,13,12,12,10,10,12,11,11,12,12,11,11,13,11,11,12,13,11,10,11,10,12,10,13,11,11,13,12,10,10,12,14,11,12,14,12,11.51,0.12101840581273
0.003,10,11111,1,250,12,10,15,11,12,15,11,14,10,13,13,15,11,14,13,14,15,14,20,11,12,11,13,15,10,12,13,13,11,14,17,11,13,11,13,13,13,11,17,10,11,14,14,12,11,14,14,15,10,12,11,11,11,13,13,15,14,12,16,12,13,11,13,13,13,16,11,12,14,13,12,14,15,11,14,12,13,12,19,12,13,13,12,11,14,17,13,12,11,15,13,12,12,10,12,11,15,12,16,13,12.91,0.192324956490022
0.003,10,11111,1,360,15,13,16,12,15,13,16,20,15,13,13,15,14,13,15,17,15,13,11,14,14,12,14,17,16,16,12,14,17,12,15,14,12,14,16,12,13,13,13,16,16,19,13,16,15,15,14,14,13,12,15,20,18,14,13,11,14,15,14,14,13,11,16,12,20,16,18,13,11,14,15,16,13,12,17,16,12,17,13,13,17,12,15,11,16,14,13,12,13,12,15,17,13,12,11,16,15,15,15,12,14.29,0.207581066067932
0.003,10,11111,1,490,16,15,19,17,15,18,14,21,16,16,16,16,16,14,14,21,15,17,13,13,15,18,16,16,16,16,20,16,15,17,14,15,21,19,20,13,17,14,19,17,15,15,14,17,13,20,21,21,14,16,17,14,18,16,18,18,20,13,18,16,18,23,13,21,15,16,14,16,15,15,18,15,17,13,14,13,13,12,13,19,19,18,17,16,20,17,17,18,14,16,19,15,14,15,14,18,19,17,22,16,16.44,0.243426715166117
0.003,10,11111,1,640,19,15,15,16,18,17,21,24,21,18,19,19,20,17,23,17,17,22,24,17,17,18,21,18,18,17,19,19,20,22,12,19,15,15,18,21,20,26,17,14,19,20,18,19,21,19,18,19,19,19,19,20,15,22,16,18,19,15,18,18,23,24,27,15,15,20,19,19,15,19,24,22,17,20,18,24,17,17,15,21,19,20,19,24,20,14,20,19,18,21,18,18,21,19,18,18,16,22,13,24,18.88,0.28222778965319
0.003,10,11111,1,810,14,25,22,24,22,25,22,22,21,21,28,23,21,18,19,17,21,20,16,22,19,18,18,16,19,24,27,12,26,21,28,20,22,18,20,18,23,20,23,22,22,22,21,24,26,21,21,27,18,19,20,19,20,16,17,19,25,24,25,28,17,21,22,21,25,21,25,23,17,18,27,24,24,23,20,17,21,18,20,19,25,22,29,29,19,29,24,25,18,18,21,15,22,18,19,16,24,21,22,21,21.31,0.349514815223341
0.003,10,11111,1,1000,28,17,18,23,24,25,29,29,22,25,22,24,24,20,22,27,25,27,20,33,29,24,21,22,29,24,20,23,28,28,29,25,24,20,22,26,22,19,32,25,22,21,31,25,19,22,23,22,29,19,25,29,21,23,24,22,23,28,31,21,28,26,24,25,29,20,27,26,22,30,29,26,23,27,26,24,21,23,16,27,25,20,29,30,26,26,25,24,29,21,26,27,23,20,20,22,26,25,28,22,24.49,0.352335641172454
0.003,10,11111,1,1210,31,31,23,24,26,29,26,24,31,26,30,25,33,22,32,35,22,27,32,24,29,32,30,31,29,24,27,30,28,25,30,28,27,26,20,28,30,28,27,28,29,25,31,31,28,28,26,24,23,39,25,26,32,28,30,25,24,27,27,33,24,26,26,23,21,25,26,26,30,23,29,23,31,24,31,31,28,24,27,26,27,29,26,20,29,26,29,35,25,29,24,26,32,27,24,24,26,25,33,25,27.36,0.343340688358995
0.003,10,11111,1,1440,34,27,31,28,28,39,27,33,38,31,28,38,27,25,27,24,31,33,39,30,31,33,39,38,29,37,26,33,32,30,28,33,29,31,27,35,39,33,29,37,37,44,26,38,35,40,31,25,31,26,33,32,32,24,34,29,32,33,35,26,30,32,41,31,28,37,37,33,25,30,25,31,31,28,29,27,28,32,26,30,40,36,30,33,37,30,34,28,30,34,32,31,29,24,36,31,31,37,35,35,31.74,0.43914977542124
0.003,10,11111,1,1690,38,38,36,37,34,34,38,40,30,36,34,31,24,36,36,40,33,47,33,36,33,38,38,35,28,31,36,37,45,39,38,34,33,39,37,35,36,30,42,33,44,28,32,35,35,42,42,47,43,42,33,29,29,34,28,30,34,37,30,32,39,35,43,43,37,36,38,41,35,37,32,44,34,34,31,40,36,40,35,33,40,36,35,35,33,37,32,39,38,39,32,39,42,28,36,38,31,40,31,33,35.91,0.445424550628982
0.003,10,11111,1,1960,33,43,49,43,30,44,42,30,38,45,37,41,35,41,47,33,48,38,35,31,35,45,42,41,44,36,32,38,34,43,39,56,35,38,50,47,46,37,45,35,39,54,31,51,39,40,44,43,37,52,49,39,41,41,55,33,41,34,33,35,41,35,36,45,44,37,39,49,38,44,39,46,40,42,36,42,37,37,50,52,38,39,35,34,36,33,34,43,38,40,38,35,41,48,37,31,39,43,36,40,40.19,0.584772251272738
0.003,10,11111,1,2250,39,41,50,46,45,39,39,45,44,39,38,46,34,45,48,42,50,43,46,40,42,45,46,40,52,51,40,48,37,39,57,47,30,43,49,41,52,38,50,33,44,43,47,35,36,57,49,49,49,47,45,47,39,45,49,46,44,48,54,41,48,48,46,38,44,44,30,43,40,46,35,39,41,34,43,45,44,44,51,38,39,47,34,53,46,34,39,38,45,56,40,48,58,40,49,49,52,43,46,46,43.96,0.582561393998759
0.003,10,11111,1,2560,49,53,42,46,46,55,55,55,66,56,45,56,53,49,39,50,42,56,53,48,43,51,49,54,52,58,51,51,45,45,47,42,53,42,47,58,59,53,47,49,44,60,49,54,50,47,56,50,58,59,42,46,50,59,57,44,51,41,50,54,36,53,54,44,43,56,47,49,55,50,47,54,52,55,50,49,58,57,50,40,55,50,51,34,33,36,43,45,46,47,44,40,54,43,47,52,50,46,43,44,49.33,0.615630579244574
0.003,10,11111,1,2890,58,52,48,54,57,60,51,53,51,55,59,59,56,49,58,63,40,50,53,50,53,60,62,51,49,61,64,51,49,53,54,54,60,59,41,52,53,61,64,59,54,48,64,55,51,50,62,60,65,59,63,57,59,56,56,59,71,64,41,58,62,53,49,65,61,53,48,50,49,53,67,63,47,56,62,54,50,55,65,56,51,64,62,58,53,51,64,56,51,54,51,65,55,69,59,56,45,57,46,59,55.82,0.617649503432901
0.003,10,11111,1,3240,59,67,58,53,60,61,55,53,57,69,53,69,63,74,58,56,68,56,68,64,61,66,56,56,71,74,69,48,64,61,53,67,60,55,60,59,57,57,69,65,56,65,60,65,58,62,62,61,62,56,55,57,54,64,73,69,57,56,56,58,72,62,62,63,52,44,73,69,55,66,59,61,56,63,65,59,58,55,54,48,62,52,57,57,63,62,56,60,58,56,64,60,56,68,48,65,72,60,58,66,60.51,0.615538689919552
0.003,10,11111,1,3610,64,57,75,67,51,63,61,63,61,64,72,62,71,69,59,63,71,68,63,67,68,80,70,56,73,68,71,78,63,74,65,60,55,70,68,52,70,60,58,75,57,52,70,69,66,73,57,60,61,67,62,67,66,60,75,79,73,60,73,60,74,67,65,62,66,68,57,68,69,66,68,62,59,60,73,62,66,68,61,49,59,75,64,55,67,57,66,62,70,63,68,62,78,65,68,63,77,70,62,75,65.48,0.653426091127112
0.003,10,11111,1,4000,69,70,74,60,87,63,56,76,64,72,70,73,78,71,76,70,69,67,74,80,71,67,79,79,64,68,68,65,70,60,73,68,67,61,60,64,66,81,92,86,73,72,80,72,54,62,68,90,79,69,77,82,92,60,78,65,74,82,69,73,65,70,64,87,70,72,69,69,70,90,69,83,56,65,76,62,70,65,72,63,70,74,66,66,89,71,58,76,77,78,81,71,83,69,90,73,80,87,95,58,72.18,0.887099461472869
