"m0_true","K_true","theta_true","depth","area","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100","species","st_error"
0.02,10,2.00002000040001,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
0.02,10,2.00002000040001,1,40,10,10,10,10,11,10,10,10,11,10,10,11,10,10,10,10,11,10,10,10,10,10,10,10,10,10,11,10,10,10,10,11,10,10,11,10,10,10,11,10,10,10,10,10,11,10,10,11,10,10,10,11,11,10,10,10,10,11,10,11,10,11,10,10,10,10,10,11,10,10,10,11,13,10,10,10,10,10,10,11,11,10,11,10,11,11,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10.27,0.0529054808029367
0.02,10,2.00002000040001,1,90,10,11,10,10,10,11,10,10,11,11,12,11,12,11,10,12,10,11,10,11,11,10,12,12,12,11,10,11,13,10,11,10,11,10,12,11,11,10,10,11,10,11,12,11,11,11,11,12,12,11,12,11,11,12,11,11,11,11,11,11,11,10,11,11,10,11,11,11,11,12,11,12,11,11,12,11,10,11,10,12,11,12,12,11,10,10,11,11,10,10,11,12,10,10,10,10,10,10,10,10,10.88,0.074236858171067
0.02,10,2.00002000040001,1,160,11,10,11,12,10,11,13,11,11,13,10,12,11,11,10,13,10,12,10,12,12,13,11,12,10,11,13,11,12,12,11,11,11,11,10,12,13,11,11,10,10,11,10,10,11,10,11,14,11,12,11,10,10,13,10,16,11,13,10,12,10,11,12,10,10,12,11,12,10,11,11,13,11,10,13,12,11,11,10,11,10,12,10,12,11,11,10,12,11,11,12,11,14,10,11,10,11,10,11,10,11.2,0.113707048722992
0.02,10,2.00002000040001,1,250,13,11,13,10,10,14,12,10,12,11,13,13,12,10,13,12,11,12,11,10,11,11,11,11,10,15,15,11,10,12,12,12,13,12,13,12,13,12,11,12,11,11,11,10,18,12,10,12,12,11,14,11,11,14,11,12,11,12,10,12,11,10,12,14,11,11,11,15,12,14,14,11,13,11,12,18,12,14,15,11,14,14,12,12,11,11,11,12,10,11,11,11,12,11,11,10,12,11,13,13,11.93,0.155865132065961
0.02,10,2.00002000040001,1,360,13,12,14,15,11,14,13,15,12,10,11,14,12,12,11,16,11,15,12,10,11,15,14,12,10,14,17,11,14,12,14,12,12,11,13,12,13,11,14,10,12,14,11,11,16,13,13,13,13,14,14,13,13,14,10,15,12,15,11,15,12,11,16,13,11,11,14,14,12,11,13,12,12,13,16,16,12,16,16,11,15,15,14,12,11,11,13,13,13,12,14,10,12,12,13,11,14,14,11,12,12.81,0.169785961514116
0.02,10,2.00002000040001,1,490,12,13,12,13,12,14,14,12,14,14,15,14,14,11,13,14,11,13,12,11,12,13,13,13,12,16,16,11,13,14,13,16,14,12,14,12,12,14,11,12,12,15,10,11,16,12,13,15,12,14,14,12,12,13,11,15,14,16,11,13,11,12,18,12,14,13,13,16,13,14,10,13,16,13,16,16,12,15,13,15,13,16,11,14,14,11,15,14,12,13,14,15,15,12,11,11,16,15,15,14,13.28,0.165803827129862
0.02,10,2.00002000040001,1,640,14,13,12,14,13,16,13,14,11,13,13,15,12,13,13,11,11,15,14,11,13,18,15,13,13,14,19,12,15,13,18,15,14,13,15,15,14,13,13,12,13,15,12,12,19,12,15,15,12,17,16,15,12,17,13,19,16,15,12,17,13,11,17,15,12,13,16,16,15,17,14,16,17,13,19,15,13,15,16,13,17,16,12,15,13,12,12,14,15,11,14,15,14,12,12,12,16,14,16,17,14.17,0.202037600260922
0.02,10,2.00002000040001,1,810,14,13,16,14,14,16,15,13,12,13,16,15,13,12,13,13,12,15,13,10,14,16,14,13,12,15,22,14,16,14,16,16,15,13,15,15,15,14,16,14,12,15,11,12,21,13,15,17,14,16,16,14,15,13,12,18,16,15,10,17,14,13,16,16,16,12,18,19,14,13,14,15,17,12,15,14,13,18,15,16,19,14,13,14,12,12,13,16,15,13,13,14,12,13,11,12,16,17,17,17,14.46,0.212925747004381
0.02,10,2.00002000040001,1,1000,12,13,15,17,12,16,14,14,14,15,14,16,13,14,13,15,12,18,16,11,14,17,13,13,13,16,21,12,16,15,17,17,15,15,17,15,15,15,14,14,13,14,13,12,20,14,15,18,12,14,17,13,19,17,14,16,16,17,10,17,14,13,18,16,16,13,19,19,15,16,13,14,14,13,16,17,14,16,16,13,16,19,14,14,16,11,15,17,13,13,15,18,16,13,13,11,16,17,20,16,14.97,0.21763420334278
