"m0_true","K_true","theta_true","depth","area","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100","species","st_error"
0.02,10,20.003800760152,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
0.02,10,20.003800760152,1,40,11,11,11,13,12,10,10,10,13,10,11,10,11,12,10,10,10,10,11,10,10,11,10,10,12,10,11,12,12,10,10,11,12,14,11,10,11,10,12,12,11,11,12,11,11,11,11,10,12,11,11,11,10,11,10,10,11,11,10,12,11,11,13,14,12,12,11,13,10,10,12,10,10,10,10,12,10,11,12,10,11,10,10,11,10,12,11,11,11,10,11,10,11,11,11,12,11,10,11,10,10.94,0.0951553753318511
0.02,10,20.003800760152,1,90,12,12,15,14,11,14,13,15,12,13,14,14,12,11,12,11,13,14,13,10,11,15,12,17,15,12,15,13,15,15,15,10,13,14,12,16,12,10,12,14,11,12,13,11,10,12,13,12,12,14,12,13,14,11,17,14,13,16,13,12,13,14,11,14,12,14,13,10,15,14,15,15,13,13,13,12,11,12,12,11,11,15,12,14,14,11,14,15,12,16,16,12,13,14,13,10,12,12,12,13,12.96,0.16386740143337
0.02,10,20.003800760152,1,160,16,15,18,14,13,14,16,15,17,15,16,16,16,15,15,17,17,15,18,15,14,14,18,16,14,15,17,14,15,12,16,16,13,14,16,12,15,15,14,17,12,14,18,15,15,19,15,16,15,15,13,14,13,12,20,16,19,12,13,15,19,18,18,16,17,16,15,13,13,20,16,12,11,20,14,17,14,16,15,19,12,21,15,18,21,15,19,17,19,12,18,16,15,15,19,16,17,15,12,15,15.57,0.222136094420615
0.02,10,20.003800760152,1,250,19,19,21,21,22,22,20,23,20,18,19,17,21,15,19,20,16,21,21,20,20,21,17,24,14,17,20,20,18,20,21,21,18,20,20,18,19,14,19,22,18,21,25,21,21,22,20,13,17,25,21,17,23,19,21,17,18,22,18,18,22,22,20,19,15,15,14,21,19,20,24,19,18,20,20,19,17,16,20,16,12,16,18,17,21,18,25,22,24,18,21,22,16,17,20,18,22,25,21,20,19.43,0.267896783983472
0.02,10,20.003800760152,1,360,18,20,20,26,23,22,24,24,20,22,25,29,22,23,19,23,22,24,20,24,22,23,25,28,25,22,21,19,19,21,27,18,24,26,30,24,25,18,26,22,19,23,27,23,20,17,23,18,23,23,23,20,24,20,22,26,26,23,19,22,21,24,29,25,22,24,23,25,24,21,26,20,20,22,23,24,21,22,26,19,22,18,19,23,23,25,25,20,23,26,24,20,18,28,24,20,26,19,22,27,22.69,0.282733768479083
0.02,10,20.003800760152,1,490,21,33,28,24,26,27,23,22,22,32,27,29,30,30,23,22,26,21,26,29,27,33,27,30,25,26,24,28,28,29,24,27,28,28,24,28,24,27,27,25,23,21,24,32,24,29,27,26,24,31,29,26,25,26,29,26,20,31,25,26,22,32,23,31,27,23,30,25,24,30,28,24,23,24,27,29,28,22,33,29,30,23,27,25,28,27,27,30,29,30,26,24,26,21,31,32,30,27,25,25,26.61,0.312013661964545
0.02,10,20.003800760152,1,640,27,30,31,26,36,34,33,30,29,30,31,33,30,28,33,30,30,32,35,34,29,33,30,32,36,23,34,33,26,26,35,35,30,27,31,29,31,32,29,34,27,31,32,25,28,30,27,30,27,34,31,33,29,25,29,34,34,34,29,31,28,31,33,30,22,30,34,25,29,36,29,33,27,26,32,30,24,22,33,28,33,30,31,33,25,30,31,31,30,30,42,36,33,32,34,35,38,24,31,26,30.54,0.353173205568193
0.02,10,20.003800760152,1,810,26,28,33,36,36,33,39,32,35,42,31,40,37,35,34,34,29,32,38,40,34,38,37,35,40,29,34,37,28,25,37,36,31,37,31,36,32,30,36,37,28,33,34,36,29,30,37,32,38,34,35,36,34,38,33,35,34,35,27,26,27,40,41,36,27,33,34,38,25,37,36,41,29,33,37,34,35,37,36,38,34,30,32,33,35,29,32,37,35,37,40,32,36,37,33,36,33,27,37,38,34.11,0.388182764411119
0.02,10,20.003800760152,1,1000,28,37,32,38,38,35,43,39,37,42,37,43,39,35,34,38,37,36,36,39,38,32,48,33,47,37,32,43,35,31,34,33,40,39,37,29,33,38,40,39,38,37,33,40,28,35,38,41,33,39,29,40,39,36,32,38,47,37,30,40,35,38,36,36,32,36,41,33,38,41,40,43,32,39,34,39,35,29,42,38,39,36,37,48,38,33,39,34,40,34,43,35,37,36,40,41,43,31,36,37,37.05,0.416666666666667
