"m0_true","K_true","theta_true","area","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100","species","st_error"
0.05,25,526315.736842105,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0
0.05,25,526315.736842105,100,26,26,26,27,27,25,25,28,28,26,26,25,26,25,26,25,25,27,26,27,26,25,25,25,27,25,28,26,27,27,25,27,25,25,25,25,27,25,25,27,26,28,25,26,26,26,26,26,27,25,26,26,26,26,26,25,25,25,26,25,26,27,25,26,25,26,25,25,25,26,25,25,26,27,25,26,26,27,26,26,27,25,28,26,26,26,27,26,26,26,26,26,25,28,27,26,27,25,26,26,25.96,0.0875248882353246
0.05,25,526315.736842105,225,26,26,28,27,29,30,25,27,28,29,27,26,28,26,27,27,28,27,28,26,25,26,26,27,27,28,25,28,27,27,26,27,28,28,27,27,30,29,28,25,27,26,28,27,26,26,27,28,25,26,26,25,27,25,29,25,26,28,26,27,28,28,27,27,28,26,28,27,30,25,25,27,26,26,29,29,26,27,28,27,28,27,29,26,27,27,26,27,28,26,26,26,28,27,28,26,32,26,27,26,27.03,0.130620121580161
0.05,25,526315.736842105,400,25,25,27,27,28,27,29,28,28,29,28,30,28,30,27,32,28,29,31,29,29,27,28,31,28,30,31,27,28,26,28,26,31,27,31,26,29,25,28,28,27,29,30,27,30,29,27,27,26,26,26,28,26,30,26,28,27,31,27,28,28,28,27,29,29,28,27,28,26,26,27,27,26,29,30,29,27,27,33,27,27,30,26,28,29,27,32,29,26,28,27,27,27,29,29,29,29,28,29,28,28.06,0.163805748471546
0.05,25,526315.736842105,625,29,29,30,31,33,29,31,28,28,31,30,32,26,31,33,28,33,34,29,32,30,31,30,30,32,30,30,28,33,26,27,29,25,27,26,33,33,28,31,30,31,30,29,29,30,30,30,31,28,30,30,30,28,31,32,31,31,28,28,36,30,33,37,31,29,30,29,33,31,26,28,27,28,27,29,31,31,28,27,30,29,33,29,29,27,32,30,28,35,28,30,28,33,30,29,28,30,33,25,29,29.89,0.226030747885988
0.05,25,526315.736842105,900,28,32,35,32,30,34,28,31,33,30,29,30,32,32,29,30,28,33,29,31,33,34,35,27,38,32,31,30,33,30,32,28,31,29,31,31,27,35,32,30,34,32,31,34,30,29,31,29,32,36,31,39,29,27,33,34,34,32,33,32,30,31,30,32,30,31,30,39,32,32,33,29,34,37,32,31,36,28,30,35,31,34,30,36,31,29,30,31,29,30,32,31,31,34,33,30,32,28,31,28,31.5,0.251259453814803
0.05,25,526315.736842105,1225,30,31,27,35,29,39,37,36,40,34,32,35,30,32,35,32,33,35,32,31,34,35,33,32,33,34,37,35,34,39,29,31,32,34,30,33,34,35,32,33,32,32,30,37,32,31,30,29,33,31,34,34,31,32,34,37,33,33,37,30,36,34,31,35,34,32,30,34,33,32,34,37,31,32,33,32,32,33,33,32,35,35,32,32,28,33,33,34,34,33,34,30,32,31,33,32,36,34,32,32,33.01,0.23376367242464
0.05,25,526315.736842105,1600,38,37,32,40,39,32,29,33,31,34,33,33,33,38,31,34,32,32,36,36,40,37,32,30,37,40,32,31,32,44,34,33,34,35,38,33,36,33,36,30,32,34,35,36,35,31,32,31,34,29,27,35,33,29,32,39,40,35,40,36,41,34,35,36,32,32,38,35,35,34,37,32,39,30,38,34,32,35,35,35,38,36,37,36,37,36,32,34,32,41,34,36,33,38,34,35,34,33,30,39,34.59,0.313370403996628
0.05,25,526315.736842105,2025,35,36,36,37,33,32,34,40,33,31,38,39,33,37,38,40,36,35,40,40,31,38,40,39,34,38,36,31,37,39,39,33,35,35,38,37,38,36,32,36,34,35,36,31,32,30,40,38,35,33,31,36,35,39,40,37,34,33,31,37,38,35,29,39,41,36,42,45,34,38,35,34,36,36,36,40,33,33,35,30,35,37,35,38,37,36,40,36,35,35,31,36,45,36,36,37,43,33,33,39,36,0.317820863081864
0.05,25,526315.736842105,2500,37,44,40,48,38,36,45,36,43,35,41,40,42,39,41,39,39,35,35,35,37,33,34,36,44,41,35,31,42,45,35,40,40,38,38,39,40,38,35,40,37,42,37,35,37,37,42,30,34,39,41,39,38,46,38,45,36,36,35,40,39,43,45,30,42,35,41,34,34,33,34,39,36,37,37,38,38,36,39,39,47,31,38,38,40,39,41,39,36,37,40,36,33,36,39,35,39,35,38,35,38.14,0.361260419793106
