"m0_true","K_true","theta_true","area","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100","species","st_error"
0.04,20,416666.625,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0
0.04,20,416666.625,80,20,22,20,21,21,20,20,22,20,20,21,21,20,20,20,20,20,20,20,22,21,23,20,21,20,20,20,21,20,20,20,21,21,20,21,22,20,20,20,20,21,21,20,20,20,20,22,20,20,21,20,20,23,21,21,21,20,22,22,21,21,20,21,20,20,20,21,21,21,20,20,21,20,20,20,21,20,20,22,20,21,21,20,21,21,22,20,22,21,23,22,21,20,20,21,22,20,20,20,20,20.64,0.0810536672192996
0.04,20,416666.625,180,22,20,21,22,21,22,23,21,22,22,21,20,20,21,20,20,21,20,21,20,20,23,20,22,22,20,23,22,22,22,20,21,21,21,24,20,24,21,23,23,21,22,23,20,21,21,20,21,20,23,24,20,26,23,20,21,23,21,23,23,20,22,20,20,24,21,21,20,22,21,22,22,21,22,21,21,21,20,22,21,24,20,23,21,21,24,21,21,21,20,20,20,23,23,21,21,20,20,22,21,21.41,0.128782174561732
0.04,20,416666.625,320,25,24,22,21,20,20,20,22,23,23,21,22,22,24,22,21,22,22,20,21,24,22,23,23,22,21,23,23,22,21,22,24,21,21,22,20,22,24,23,23,21,23,21,22,23,21,21,23,23,24,23,24,22,21,23,24,21,23,22,22,22,26,22,23,23,21,23,21,20,23,21,21,23,23,24,21,23,21,23,23,21,20,22,20,23,22,21,24,21,22,22,23,23,24,24,21,21,20,24,20,22.15,0.129782257429259
0.04,20,416666.625,500,20,23,25,23,25,20,21,22,24,21,21,22,26,23,27,26,22,22,23,21,23,24,22,24,22,22,24,26,26,21,29,22,22,26,22,22,22,23,24,22,25,26,22,23,27,29,24,22,23,23,24,24,23,23,22,25,22,24,26,27,22,23,25,24,23,23,25,24,25,28,23,21,22,26,25,21,21,23,24,23,26,22,25,25,22,24,23,23,22,24,20,24,22,23,24,23,23,27,22,24,23.48,0.19041687388093
0.04,20,416666.625,720,26,28,23,28,25,22,25,23,21,26,22,23,26,23,22,28,21,28,29,22,24,26,22,24,26,22,27,24,24,26,26,22,28,22,23,24,23,27,29,26,28,27,22,22,24,25,25,22,27,22,27,33,25,26,27,22,26,26,26,28,24,21,24,23,22,26,22,23,25,23,25,24,23,27,31,28,23,25,23,23,25,27,23,23,30,22,25,22,23,25,26,24,24,22,26,28,22,23,25,22,24.68,0.242412120909076
0.04,20,416666.625,980,32,25,24,22,26,25,24,25,27,22,21,26,22,25,25,27,25,28,26,23,21,23,25,25,24,27,24,24,25,23,23,23,24,27,28,24,26,26,24,25,23,27,26,26,26,27,23,23,24,24,23,28,27,29,22,26,22,26,26,25,25,26,26,23,31,27,26,27,24,24,26,21,26,30,25,23,23,27,24,31,22,22,29,26,26,26,29,29,27,25,33,23,24,24,23,29,22,24,21,25,25.18,0.243036348447442
0.04,20,416666.625,1280,24,26,27,26,23,26,29,27,25,26,30,28,28,27,27,28,25,27,24,25,25,24,30,26,26,29,28,35,27,26,26,25,28,28,29,25,25,27,22,28,28,25,22,29,24,27,24,26,24,30,25,23,24,24,28,26,30,24,26,25,26,24,24,22,26,29,28,27,25,26,25,23,26,26,24,29,27,27,23,28,25,28,26,28,27,24,24,25,24,29,32,31,27,27,25,25,30,25,27,27,26.32,0.225576701999228
0.04,20,416666.625,1620,31,30,28,29,35,29,25,24,27,27,31,33,29,26,31,30,32,24,28,28,30,26,29,31,26,22,27,23,25,26,28,32,27,28,27,34,25,27,26,29,25,25,28,24,29,32,28,26,27,30,26,31,25,27,30,25,30,30,33,27,29,28,34,24,28,33,29,25,26,27,27,24,26,28,28,29,26,30,29,25,29,32,24,29,26,27,27,26,26,29,24,25,30,30,25,28,29,28,32,26,27.9,0.268741924943285
0.04,20,416666.625,2000,26,28,30,29,32,26,29,28,27,28,30,30,27,26,30,34,30,28,25,26,36,29,31,25,30,28,27,27,31,30,32,32,30,32,28,32,31,29,29,33,33,30,29,29,30,28,31,27,32,28,32,35,25,31,31,33,34,31,27,30,30,29,28,26,27,32,30,30,27,34,26,31,28,27,25,31,28,32,32,32,24,30,25,27,28,30,32,32,32,28,33,24,32,30,27,25,28,30,29,29,29.37,0.257672174467771
