,Date,ID,Immigration_Rate,Mean_Cell_Count
0,Feb27,1,1000000,588166666.6666666
1,Feb27,2,1000000,733166666.6666666
2,Feb27,3,1000000,816900000.0
3,Feb27,4,100000,528400000.0
4,Feb27,5,100000,435500000.0
5,Feb27,6,100000,604000000.0
6,Feb27,7,10000,434166666.6666667
7,Feb27,8,10000,802033333.3333334
8,Feb27,9,10000,884233333.3333334
9,Feb27,10,1000,712700000.0
10,Feb27,11,1000,551500000.0
11,Feb27,12,1000,589533333.3333334
12,Feb27,13,100,382133333.3333333
13,Feb27,14,100,478466666.6666667
14,Feb27,15,100,615100000.0
15,Feb27,16,10,535500000.0
16,Feb27,17,10,485700000.0
17,Feb27,18,10,344300000.0
18,Feb27,19,1,402533333.3333333
19,Feb27,20,1,438333333.3333333
20,Feb27,21,1,488733333.3333333
21,Feb27,22,0.1,333000000.0
22,Feb27,23,0.1,382600000.0
23,Feb27,24,0.1,338733333.3333333
24,Feb27,25,0,349400000.0
25,Feb27,26,0,293433333.3333333
26,Feb27,27,0,270900000.0
