,Date,ID,Immigration_Rate,Mean_Cell_Count
0,Mar05,1,1000000,12776666666.666666
1,Mar05,2,1000000,10873333333.333334
2,Mar05,3,1000000,13640000000.0
3,Mar05,4,100000,11120000000.0
4,Mar05,5,100000,13786666666.666666
5,Mar05,6,100000,13386666666.666666
6,Mar05,7,10000,10640000000.0
7,Mar05,8,10000,12660000000.0
8,Mar05,9,10000,11866666666.666666
9,Mar05,10,1000,12676666666.666666
10,Mar05,11,1000,13766666666.666666
11,Mar05,12,1000,12363333333.333334
12,Mar05,13,100,8123333333.333333
13,Mar05,14,100,9133333333.333334
14,Mar05,15,100,8616666666.666666
15,Mar05,16,10,7076666666.666667
16,Mar05,17,10,8333333333.333333
17,Mar05,18,10,8540000000.0
18,Mar05,19,1,7900000000.0
19,Mar05,20,1,6986666666.666667
20,Mar05,21,1,5733333333.333333
21,Mar05,22,0.1,6560000000.0
22,Mar05,23,0.1,6326666666.666667
23,Mar05,24,0.1,8713333333.333334
24,Mar05,25,0,4136666666.6666665
25,Mar05,26,0,4563333333.333333
26,Mar05,27,0,3903333333.3333335
