Year,Author,Title,ID,Immigration_Rate,Mean_Cells_per_µL,Date
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,1,1000000,588167,Feb27
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,2,1000000,733167,Feb27
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,3,1000000,816900,Feb27
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,4,100000,528400,Feb27
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,5,100000,435500,Feb27
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,6,100000,604000,Feb27
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,7,10000,434167,Feb27
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,8,10000,802033,Feb27
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,9,10000,884233,Feb27
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,10,1000,712700,Feb27
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,11,1000,551500,Feb27
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,12,1000,589533,Feb27
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,13,100,382133,Feb27
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,14,100,478467,Feb27
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,15,100,615100,Feb27
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,16,10,535500,Feb27
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,17,10,485700,Feb27
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,18,10,344300,Feb27
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,19,1,402533,Feb27
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,20,1,438333,Feb27
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,21,1,488733,Feb27
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,22,0.1,333000,Feb27
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,23,0.1,382600,Feb27
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,24,0.1,338733,Feb27
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,25,0,349400,Feb27
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,26,0,293433,Feb27
2020,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,27,0,270900,Feb27
