Date,Author,Title,Well Number,ImmigrationRate,ATP Count,Tube Number,ImmigrationRatePowers
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,A1,1000000,3993,1,10^6
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,A2,1000000,4471,2,10^6
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,A3,1000000,2617,3,10^6
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,A4,100000,2838,1,10^5
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,A5,100000,3765,2,10^5
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,A6,100000,4661,3,10^5
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,A7,10000,5728,1,10^4
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,A8,10000,2079,2,10^4
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,A9,10000,3465,3,10^4
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,A10,NA,36,NA,NA
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,A11,NA,35,NA,NA
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,A12,NA,27,NA,NA
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,B1,1000,1186,1,10^3
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,B2,1000,2128,2,10^3
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,B3,1000,1196,3,10^3
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,B4,100,2757,1,10^2
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,B5,100,23,2,10^2
12-Mar,"Solman, A.",Quantifying the contributions of dispersal and niches to diversity maintenance in a microbial system,B6,100,3954,3,10^2
