		P1		
	Count	Volume (µL)	Events / µL
C01	20,010	10	2001
C02	14,954	10	1495
C03	16,363	10	1636
C04	10,840	10	1084
C05	14,136	10	1414
C06	19,326	10	1933
C07	13,453	10	1345
C08	15,111	10	1511
C09	13,086	10	1309
C10	12,559	10	1256
C11	12,895	10	1290
C12	13,215	10	1322
D01	5,681	10	568
D02	4,052	10	405
D03	3,948	10	395
D04	2,581	10	258
D05	3,442	10	344
D06	4,021	10	402
D07	4,223	10	422
D08	3,764	10	376
D09	3,120	10	312
D10	3,216	10	322
D11	3,456	10	346
D12	3,936	10	394
E01	1,373	10	137
E02	1,099	10	110
E03	1,206	10	121
E04	779	10	78
E05	951	10	95
E06	1,251	10	125
E07	1,048	10	105
E08	931	10	93
E09	585	10	59
E10	764	10	76
E11	844	10	84
E12	937	10	94
F03 F03	4	10	0
