Year,Author,Title,Experiment/Investigation Number,Size of Island,Number of Species,Log ml,Log S*
2005,Bell et al,Larger Islands House More Bacterial Taxa,1,360,10,2.56,1.00
2005,Bell et al,Larger Islands House More Bacterial Taxa,2,3250,18,3.51,1.26
2005,Bell et al,Larger Islands House More Bacterial Taxa,3,1700,16,3.23,1.20
2005,Bell et al,Larger Islands House More Bacterial Taxa,4,750,9,2.88,0.95
2005,Bell et al,Larger Islands House More Bacterial Taxa,5,18000,30,4.26,1.48
2005,Bell et al,Larger Islands House More Bacterial Taxa,6,180,8,2.26,0.90
2005,Bell et al,Larger Islands House More Bacterial Taxa,7,640,10,2.81,1.00
2005,Bell et al,Larger Islands House More Bacterial Taxa,8,4450,22,3.65,1.34
2005,Bell et al,Larger Islands House More Bacterial Taxa,9,3600,20,3.56,1.30
2005,Bell et al,Larger Islands House More Bacterial Taxa,10,3150,17,3.50,1.23
2005,Bell et al,Larger Islands House More Bacterial Taxa,11,2250,16,3.35,1.20
2005,Bell et al,Larger Islands House More Bacterial Taxa,12,1800,16,3.26,1.20
2005,Bell et al,Larger Islands House More Bacterial Taxa,13,1250,13,3.10,1.11
2005,Bell et al,Larger Islands House More Bacterial Taxa,14,60,7,1.78,0.85
2005,Bell et al,Larger Islands House More Bacterial Taxa,15,1950,17,3.29,1.23
2005,Bell et al,Larger Islands House More Bacterial Taxa,16,2850,16,3.45,1.20
2005,Bell et al,Larger Islands House More Bacterial Taxa,17,2225,15,3.35,1.18
2005,Bell et al,Larger Islands House More Bacterial Taxa,18,900,10,2.95,1.00
2005,Bell et al,Larger Islands House More Bacterial Taxa,19,11000,26,4.04,1.41
2005,Bell et al,Larger Islands House More Bacterial Taxa,20,1460,14,3.16,1.15
2005,Bell et al,Larger Islands House More Bacterial Taxa,21,50,7,1.70,0.85
2005,Bell et al,Larger Islands House More Bacterial Taxa,22,3000,17,3.48,1.23
2005,Bell et al,Larger Islands House More Bacterial Taxa,23,140,9,2.15,0.95
2005,Bell et al,Larger Islands House More Bacterial Taxa,24,220,9,2.34,0.95
2005,Bell et al,Larger Islands House More Bacterial Taxa,25,111,7,2.05,0.85
2005,Bell et al,Larger Islands House More Bacterial Taxa,26,350,10,2.54,1.00
2005,Bell et al,Larger Islands House More Bacterial Taxa,27,1200,13,3.08,1.11
2005,Bell et al,Larger Islands House More Bacterial Taxa,28,3000,17,3.48,1.23
2005,Bell et al,Larger Islands House More Bacterial Taxa,29,600,8,2.78,0.90
