"taxa","Freq","hole"
"algae",61,"caa001cryo"
"algae",80,"caa002cryo"
"algae",83,"caa003cryo"
"algae",57,"caa004cryo"
"algae",38,"caa005cryo"
"algae",54,"caa006cryo"
"algae",38,"caa007cryo"
"algae",28,"caa008cryo"
"algae",46,"caa009cryo"
"algae",44,"caa010cryo"
"algae",31,"caa011cryo"
"algae",27,"caa012cryo"
"algae",49,"caa013cryo"
"algae",51,"caa014cryo"
"algae",46,"caa015cryo"
"algae",55,"caa016cryo"
"algae",45,"caa017cryo"
"algae",48,"caa018cryo"
"algae",42,"caa019cryo"
"algae",57,"caa020cryo"
"algae",62,"caa021cryo"
"algae",65,"caa022cryo"
"algae",49,"caa023cryo"
"algae",43,"caa024cryo"
"algae",48,"caa025cryo"
"algae",32,"caa026cryo"
"algae",63,"caa027cryo"
"algae",73,"caa028cryo"
"algae",48,"caa029cryo"
"algae",53,"caa030cryo"
"algae",66,"coh001cryo"
"algae",71,"coh002cryo"
"algae",87,"coh003cryo"
"algae",76,"coh004cryo"
"algae",51,"coh005cryo"
"algae",83,"coh006cryo"
"algae",64,"coh007cryo"
"algae",66,"coh008cryo"
"algae",82,"coh009cryo"
"algae",83,"coh010cryo"
"algae",78,"coh011cryo"
"algae",61,"coh012cryo"
"algae",69,"coh013cryo"
"algae",77,"coh014cryo"
"algae",69,"coh015cryo"
"algae",71,"coh016cryo"
"algae",87,"coh017cryo"
"algae",68,"coh018cryo"
"algae",60,"coh019cryo"
"algae",68,"coh020cryo"
"algae",78,"coh021cryo"
"algae",65,"coh022cryo"
"algae",74,"coh023cryo"
"algae",65,"coh024cryo"
"algae",79,"coh025cryo"
"algae",63,"coh026cryo"
"algae",74,"coh027cryo"
"algae",67,"coh028cryo"
"algae",58,"coh029cryo"
"algae",62,"coh030cryo"
"algae",44,"tar001cryo"
"algae",16,"tar002cryo"
"algae",30,"tar003cryo"
"algae",36,"tar004cryo"
"algae",37,"tar005cryo"
"algae",28,"tar006cryo"
"algae",26,"tar007cryo"
"algae",18,"tar008cryo"
"algae",32,"tar009cryo"
"algae",40,"tar010cryo"
"algae",37,"tar011cryo"
"algae",19,"tar012cryo"
"algae",25,"tar013cryo"
"algae",23,"tar014cryo"
"algae",39,"tar015cryo"
"algae",34,"tar016cryo"
"algae",38,"tar017cryo"
"algae",29,"tar018cryo"
"algae",13,"tar019cryo"
"algae",26,"tar020cryo"
"algae",30,"tar021cryo"
"algae",29,"tar022cryo"
"algae",32,"tar023cryo"
"algae",25,"tar024cryo"
"algae",44,"tar025cryo"
"algae",48,"tar026cryo"
"algae",38,"tar027cryo"
"algae",20,"tar028cryo"
"algae",23,"tar029cryo"
"algae",30,"tar030cryo"
"algae",45,"caa001ice"
"algae",63,"caa002ice"
"algae",13,"caa003ice"
"algae",9,"caa004ice"
"algae",40,"caa005ice"
"algae",530,"caa006ice"
"algae",11,"caa007ice"
"algae",30,"caa009aice"
"algae",8,"caa009bice"
"algae",21,"caa010ice"
"algae",10,"caa011ice"
"algae",15,"caa012ice"
"algae",31,"caa013ice"
"algae",27,"caa014ice"
"algae",7,"caa015ice"
"algae",33,"caa016ice"
"algae",21,"caa017ice"
"algae",10,"caa018ice"
"algae",35,"caa019ice"
"algae",15,"caa020ice"
"algae",18,"caa021ice"
"algae",5,"caa022ice"
"algae",75,"caa023ice"
"algae",15,"caa024ice"
"algae",8,"caa025ice"
"algae",3,"caa026ice"
"algae",9,"caa027ice"
"algae",18,"caa028ice"
"algae",5,"caa029ice"
"algae",5,"caa030ice"
"algae",25,"coh001ice"
"algae",41,"coh002ice"
"algae",65,"coh003ice"
"algae",65,"coh004ice"
"algae",13,"coh005aice"
"algae",15,"coh005bice"
"algae",43,"coh007ice"
"algae",21,"coh008ice"
"algae",188,"coh009ice"
"algae",55,"coh010ice"
"algae",29,"coh011ice"
"algae",38,"coh012ice"
"algae",50,"coh013ice"
"algae",62,"coh014ice"
"algae",14,"coh015ice"
"algae",37,"coh016ice"
"algae",43,"coh017ice"
"algae",36,"coh018ice"
"algae",44,"coh019aice"
"algae",31,"coh019bice"
"algae",17,"coh020ice"
"algae",74,"coh021ice"
"algae",24,"coh022ice"
"algae",10,"coh023ice"
"algae",51,"coh024ice"
"algae",3,"coh025ice"
"algae",9,"coh026ice"
"algae",79,"coh027ice"
"algae",27,"coh028ice"
"algae",42,"coh030ice"
"algae",3,"tar001ice"
"algae",3,"tar002ice"
"algae",3,"tar003ice"
"algae",7,"tar004ice"
"algae",4,"tar005ice"
"algae",10,"tar006ice"
"algae",11,"tar007ice"
"algae",57,"tar008ice"
"algae",1,"tar009ice"
"algae",4,"tar010ice"
"algae",6,"tar011ice"
"algae",19,"tar012ice"
"algae",9,"tar013ice"
"algae",4,"tar014ice"
"algae",25,"tar015ice"
"algae",30,"tar017ice"
"algae",10,"tar019aice"
"algae",1,"tar019bice"
"algae",2,"tar020ice"
"algae",9,"tar021ice"
"algae",2,"tar022ice"
"algae",8,"tar023ice"
"algae",1,"tar024ice"
"algae",2,"tar025ice"
"algae",4,"tar026ice"
"algae",3,"tar028ice"
"algae",1,"tar029ice"
"algae",5,"tar030ice"
