"taxa","Freq","hole"
"fungi",12,"caa001cryo"
"fungi",28,"caa002cryo"
"fungi",12,"caa003cryo"
"fungi",10,"caa004cryo"
"fungi",18,"caa005cryo"
"fungi",11,"caa006cryo"
"fungi",12,"caa007cryo"
"fungi",7,"caa008cryo"
"fungi",15,"caa009cryo"
"fungi",4,"caa010cryo"
"fungi",8,"caa011cryo"
"fungi",12,"caa012cryo"
"fungi",12,"caa013cryo"
"fungi",19,"caa014cryo"
"fungi",11,"caa015cryo"
"fungi",14,"caa016cryo"
"fungi",9,"caa017cryo"
"fungi",15,"caa018cryo"
"fungi",13,"caa019cryo"
"fungi",19,"caa020cryo"
"fungi",21,"caa021cryo"
"fungi",18,"caa022cryo"
"fungi",9,"caa023cryo"
"fungi",13,"caa024cryo"
"fungi",13,"caa025cryo"
"fungi",13,"caa026cryo"
"fungi",19,"caa027cryo"
"fungi",22,"caa028cryo"
"fungi",18,"caa029cryo"
"fungi",20,"caa030cryo"
"fungi",19,"coh001cryo"
"fungi",24,"coh002cryo"
"fungi",23,"coh003cryo"
"fungi",29,"coh004cryo"
"fungi",20,"coh005cryo"
"fungi",22,"coh006cryo"
"fungi",23,"coh007cryo"
"fungi",24,"coh008cryo"
"fungi",29,"coh009cryo"
"fungi",32,"coh010cryo"
"fungi",17,"coh011cryo"
"fungi",18,"coh012cryo"
"fungi",28,"coh013cryo"
"fungi",28,"coh014cryo"
"fungi",19,"coh015cryo"
"fungi",20,"coh016cryo"
"fungi",38,"coh017cryo"
"fungi",24,"coh018cryo"
"fungi",19,"coh019cryo"
"fungi",29,"coh020cryo"
"fungi",35,"coh021cryo"
"fungi",31,"coh022cryo"
"fungi",22,"coh023cryo"
"fungi",18,"coh024cryo"
"fungi",19,"coh025cryo"
"fungi",23,"coh026cryo"
"fungi",20,"coh027cryo"
"fungi",27,"coh028cryo"
"fungi",14,"coh029cryo"
"fungi",19,"coh030cryo"
"fungi",12,"tar001cryo"
"fungi",6,"tar002cryo"
"fungi",13,"tar003cryo"
"fungi",8,"tar004cryo"
"fungi",9,"tar005cryo"
"fungi",14,"tar006cryo"
"fungi",2,"tar007cryo"
"fungi",8,"tar008cryo"
"fungi",9,"tar009cryo"
"fungi",13,"tar010cryo"
"fungi",4,"tar011cryo"
"fungi",4,"tar012cryo"
"fungi",7,"tar013cryo"
"fungi",6,"tar014cryo"
"fungi",19,"tar015cryo"
"fungi",7,"tar016cryo"
"fungi",7,"tar017cryo"
"fungi",6,"tar018cryo"
"fungi",5,"tar019cryo"
"fungi",6,"tar020cryo"
"fungi",13,"tar021cryo"
"fungi",7,"tar022cryo"
"fungi",4,"tar023cryo"
"fungi",5,"tar024cryo"
"fungi",9,"tar025cryo"
"fungi",14,"tar026cryo"
"fungi",7,"tar027cryo"
"fungi",12,"tar028cryo"
"fungi",4,"tar029cryo"
"fungi",6,"tar030cryo"
"fungi",9,"caa001ice"
"fungi",15,"caa002ice"
"fungi",5,"caa003ice"
"fungi",9,"caa004ice"
"fungi",16,"caa005ice"
"fungi",231,"caa006ice"
"fungi",3,"caa007ice"
"fungi",21,"caa009aice"
"fungi",5,"caa009bice"
"fungi",16,"caa010ice"
"fungi",4,"caa011ice"
"fungi",23,"caa012ice"
"fungi",25,"caa013ice"
"fungi",12,"caa014ice"
"fungi",9,"caa015ice"
"fungi",12,"caa016ice"
"fungi",2,"caa017ice"
"fungi",6,"caa018ice"
"fungi",8,"caa019ice"
"fungi",8,"caa020ice"
"fungi",9,"caa021ice"
"fungi",3,"caa022ice"
"fungi",6,"caa023ice"
"fungi",5,"caa024ice"
"fungi",5,"caa025ice"
"fungi",1,"caa026ice"
"fungi",6,"caa027ice"
"fungi",7,"caa028ice"
"fungi",3,"caa029ice"
"fungi",6,"caa030ice"
"fungi",4,"coh001ice"
"fungi",10,"coh002ice"
"fungi",29,"coh003ice"
"fungi",26,"coh004ice"
"fungi",4,"coh005aice"
"fungi",18,"coh005bice"
"fungi",20,"coh007ice"
"fungi",8,"coh008ice"
"fungi",90,"coh009ice"
"fungi",26,"coh010ice"
"fungi",12,"coh011ice"
"fungi",13,"coh012ice"
"fungi",30,"coh013ice"
"fungi",35,"coh014ice"
"fungi",6,"coh015ice"
"fungi",11,"coh016ice"
"fungi",10,"coh017ice"
"fungi",11,"coh018ice"
"fungi",18,"coh019aice"
"fungi",19,"coh019bice"
"fungi",9,"coh020ice"
"fungi",29,"coh021ice"
"fungi",5,"coh022ice"
"fungi",5,"coh023ice"
"fungi",6,"coh024ice"
"fungi",3,"coh025ice"
"fungi",6,"coh026ice"
"fungi",17,"coh027ice"
"fungi",12,"coh028ice"
"fungi",13,"coh030ice"
"fungi",12,"tar001ice"
"fungi",4,"tar002ice"
"fungi",19,"tar003ice"
"fungi",6,"tar004ice"
"fungi",4,"tar005ice"
"fungi",11,"tar006ice"
"fungi",7,"tar007ice"
"fungi",12,"tar008ice"
"fungi",1,"tar009ice"
"fungi",4,"tar010ice"
"fungi",10,"tar011ice"
"fungi",17,"tar012ice"
"fungi",16,"tar013ice"
"fungi",10,"tar014ice"
"fungi",7,"tar015ice"
"fungi",6,"tar017ice"
"fungi",4,"tar019aice"
"fungi",4,"tar019bice"
"fungi",4,"tar020ice"
"fungi",1,"tar021ice"
"fungi",9,"tar022ice"
"fungi",11,"tar023ice"
"fungi",5,"tar024ice"
"fungi",11,"tar025ice"
"fungi",9,"tar026ice"
"fungi",1,"tar027ice"
"fungi",10,"tar028ice"
"fungi",3,"tar029ice"
"fungi",18,"tar030ice"
