"taxa","Freq","hole"
"protozoa",61,"caa001cryo"
"protozoa",95,"caa002cryo"
"protozoa",59,"caa003cryo"
"protozoa",56,"caa004cryo"
"protozoa",44,"caa005cryo"
"protozoa",57,"caa006cryo"
"protozoa",43,"caa007cryo"
"protozoa",37,"caa008cryo"
"protozoa",54,"caa009cryo"
"protozoa",58,"caa010cryo"
"protozoa",71,"caa011cryo"
"protozoa",36,"caa012cryo"
"protozoa",55,"caa013cryo"
"protozoa",55,"caa014cryo"
"protozoa",51,"caa015cryo"
"protozoa",58,"caa016cryo"
"protozoa",85,"caa017cryo"
"protozoa",46,"caa018cryo"
"protozoa",36,"caa019cryo"
"protozoa",48,"caa020cryo"
"protozoa",42,"caa021cryo"
"protozoa",59,"caa022cryo"
"protozoa",39,"caa023cryo"
"protozoa",43,"caa024cryo"
"protozoa",46,"caa025cryo"
"protozoa",16,"caa026cryo"
"protozoa",60,"caa027cryo"
"protozoa",92,"caa028cryo"
"protozoa",44,"caa029cryo"
"protozoa",63,"caa030cryo"
"protozoa",48,"coh001cryo"
"protozoa",66,"coh002cryo"
"protozoa",61,"coh003cryo"
"protozoa",74,"coh004cryo"
"protozoa",49,"coh005cryo"
"protozoa",68,"coh006cryo"
"protozoa",50,"coh007cryo"
"protozoa",54,"coh008cryo"
"protozoa",53,"coh009cryo"
"protozoa",65,"coh010cryo"
"protozoa",48,"coh011cryo"
"protozoa",45,"coh012cryo"
"protozoa",62,"coh013cryo"
"protozoa",63,"coh014cryo"
"protozoa",63,"coh015cryo"
"protozoa",87,"coh016cryo"
"protozoa",56,"coh017cryo"
"protozoa",56,"coh018cryo"
"protozoa",53,"coh019cryo"
"protozoa",54,"coh020cryo"
"protozoa",71,"coh021cryo"
"protozoa",44,"coh022cryo"
"protozoa",70,"coh023cryo"
"protozoa",61,"coh024cryo"
"protozoa",64,"coh025cryo"
"protozoa",87,"coh026cryo"
"protozoa",55,"coh027cryo"
"protozoa",55,"coh028cryo"
"protozoa",45,"coh029cryo"
"protozoa",60,"coh030cryo"
"protozoa",25,"tar001cryo"
"protozoa",36,"tar002cryo"
"protozoa",159,"tar003cryo"
"protozoa",36,"tar004cryo"
"protozoa",46,"tar005cryo"
"protozoa",34,"tar006cryo"
"protozoa",16,"tar007cryo"
"protozoa",18,"tar008cryo"
"protozoa",15,"tar009cryo"
"protozoa",38,"tar010cryo"
"protozoa",27,"tar011cryo"
"protozoa",16,"tar012cryo"
"protozoa",25,"tar013cryo"
"protozoa",20,"tar014cryo"
"protozoa",50,"tar015cryo"
"protozoa",43,"tar016cryo"
"protozoa",9,"tar017cryo"
"protozoa",30,"tar018cryo"
"protozoa",44,"tar019cryo"
"protozoa",23,"tar020cryo"
"protozoa",39,"tar021cryo"
"protozoa",21,"tar022cryo"
"protozoa",35,"tar023cryo"
"protozoa",30,"tar024cryo"
"protozoa",34,"tar025cryo"
"protozoa",36,"tar026cryo"
"protozoa",45,"tar027cryo"
"protozoa",35,"tar028cryo"
"protozoa",14,"tar029cryo"
"protozoa",21,"tar030cryo"
"protozoa",46,"caa001ice"
"protozoa",64,"caa002ice"
"protozoa",8,"caa003ice"
"protozoa",14,"caa004ice"
"protozoa",52,"caa005ice"
"protozoa",270,"caa006ice"
"protozoa",5,"caa007ice"
"protozoa",34,"caa009aice"
"protozoa",8,"caa009bice"
"protozoa",42,"caa010ice"
"protozoa",27,"caa011ice"
"protozoa",13,"caa012ice"
"protozoa",37,"caa013ice"
"protozoa",3,"caa014ice"
"protozoa",50,"caa016ice"
"protozoa",70,"caa017ice"
"protozoa",13,"caa018ice"
"protozoa",39,"caa019ice"
"protozoa",15,"caa020ice"
"protozoa",3,"caa021ice"
"protozoa",1,"caa022ice"
"protozoa",7,"caa023ice"
"protozoa",3,"caa024ice"
"protozoa",2,"caa027ice"
"protozoa",28,"caa028ice"
"protozoa",3,"caa030ice"
"protozoa",13,"coh002ice"
"protozoa",41,"coh003ice"
"protozoa",53,"coh004ice"
"protozoa",1,"coh005aice"
"protozoa",10,"coh007ice"
"protozoa",12,"coh008ice"
"protozoa",87,"coh009ice"
"protozoa",14,"coh010ice"
"protozoa",1,"coh011ice"
"protozoa",31,"coh012ice"
"protozoa",55,"coh013ice"
"protozoa",59,"coh014ice"
"protozoa",5,"coh015ice"
"protozoa",16,"coh016ice"
"protozoa",9,"coh017ice"
"protozoa",10,"coh018ice"
"protozoa",37,"coh019aice"
"protozoa",18,"coh019bice"
"protozoa",4,"coh020ice"
"protozoa",34,"coh021ice"
"protozoa",10,"coh022ice"
"protozoa",3,"coh023ice"
"protozoa",2,"coh024ice"
"protozoa",1,"coh026ice"
"protozoa",57,"coh027ice"
"protozoa",8,"coh028ice"
"protozoa",20,"coh030ice"
"protozoa",9,"tar003ice"
"protozoa",3,"tar004ice"
"protozoa",15,"tar008ice"
"protozoa",2,"tar012ice"
"protozoa",1,"tar014ice"
"protozoa",8,"tar015ice"
"protozoa",5,"tar017ice"
"protozoa",1,"tar019bice"
"protozoa",4,"tar021ice"
"protozoa",5,"tar024ice"
"protozoa",10,"tar026ice"
"protozoa",2,"tar028ice"
