,Year,Author,Title,Nation,Area,Distance,Total_Species,Bacteria,Viruses,Fungi,Parasites,Protozoa
1,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,American_Samoa,218.185852,4282.69139,105,44,29,7,16,9
2,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Anguilla,226.397483,842.557064,112,51,30,7,15,9
3,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Antigua_&_Barbuda,495.120732,747.1483487,117,51,30,7,19,10
4,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Aruba,194.587425,36.16254049,115,53,31,7,15,9
5,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Azores,4164.135041,1983.526616,110,49,30,7,16,8
6,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,The_Bahamas,16122.46007,433.9501882,118,55,31,7,15,10
7,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Barbados,465.387218,378.344733,116,52,31,7,16,10
8,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Bermuda,100.933425,1285.890155,114,53,30,7,15,9
9,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,UK_Virgin_Is.,195.795761,897.8645114,112,50,30,7,16,9
10,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Brunei,5782.601137,995.8638116,120,54,31,7,18,10
11,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Canary_Islands,9739.074857,290.5363545,121,54,32,7,15,13
12,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Cape_Verde,4360.651939,729.9253729,125,58,31,7,18,11
13,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Cayman_Is.,323.39771,558.2988167,114,51,30,8,15,10
14,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Christmas_I.,128.165002,352.2232021,113,52,30,7,15,9
15,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Comoros,2179.192046,376.6647134,122,54,32,7,18,11
16,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Cook_Is.,237.488565,5383.19912,118,53,32,7,17,9
17,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Cuba,128608.0077,455.5670163,124,54,32,8,19,11
18,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Cyprus,13601.78163,141.6181334,122,54,32,7,17,12
19,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Dominica,819.478394,537.3317994,118,54,30,7,18,9
20,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Dominican_Republic,53871.46804,749.8417294,129,56,33,8,20,12
21,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Falkland_Is.,32264.19986,965.0768291,113,51,30,7,16,9
22,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Fiji,20308.54882,2112.605893,121,54,32,7,18,10
23,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,French_Polynesia,2239.552605,5881.34552,119,53,32,7,17,10
24,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Grenada,336.708335,157.5726926,116,53,31,7,15,10
25,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Guadeloupe,1808.97843,623.8516955,125,56,30,7,21,11
26,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Guam,608.427481,2702.566765,120,52,37,7,15,9
27,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Haiti,30430.12557,752.7787449,128,59,33,7,18,11
28,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Iceland,573644.2748,2135.202448,107,46,28,7,17,9
29,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Jamaica,12165.39813,743.5748192,123,53,33,9,18,10
30,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Japan,593659.8383,895.9966136,157,60,35,11,38,13
31,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Kiribati,716.9456244,3597.621962,118,56,30,7,16,9
32,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Madagascar,666481.1341,816.4263537,139,58,39,9,21,12
33,2015,Jean et al,An equilibrium theory signature in the island biogeography of human parasites and pathogens,Maldives,330.797018,707.1971152,120,54,31,7,17,11
