"nat","pop","logpop","area","logarea","dens","logdens","dist","logdist","latmain","culmi","lat","long","iRS","iRSho","iRSmh","iRSz","iRSvec0","iRSvec1","iRSbact","iRSvirus","iRSfung","iRSpara","iRSproto","logiRS","logiRSho","logiRSmh","logiRSz","logiRSvec0","logiRSvec1","logiRSbact","logiRSvirus","logiRSfung","logiRSpara","logiRSproto"
"American_Samoa",65628,4.81708916942226,218.185852,2.3388265858603,300.7894389,2.47826258355533,4282.69139,3.63171678033891,35,735,-14.281633,-170.383555,105,58,20,27,96,9,44,29,7,16,9,2.02118929906994,1.76342799356294,1.30102999566398,1.43136376415899,1.98227123303957,0.954242509439325,1.64345267648619,1.46239799789896,0.845098040014257,1.20411998265592,0.954242509439325
"Anguilla",14436,4.15944687338747,226.397483,2.35487159422433,63.76395978,1.80457527917232,842.557064,2.92559932407284,10,248,18.11262,-63.034147,112,62,19,31,102,10,51,30,7,15,9,2.04921802267018,1.79239168949825,1.27875360095283,1.49136169383427,2.00860017176192,1,1.70757017609794,1.47712125471966,0.845098040014257,1.17609125905568,0.954242509439325
"Antigua_&_Barbuda",85632,4.93263608741569,495.120732,2.69471111175804,172.9517559,2.23792497556582,747.1483487,2.87340684093894,10,213,17.278791,-61.798075,117,65,20,32,105,12,51,30,7,19,10,2.06818586174616,1.81291335664286,1.30102999566398,1.50514997831991,2.02118929906994,1.07918124604762,1.70757017609794,1.47712125471966,0.845098040014257,1.27875360095283,1
"Aruba",103065,5.01311120759659,194.587425,2.28911477103218,529.659098,2.72399643659661,36.16254049,1.55825893292147,12,115,12.513978,-69.970159,115,65,18,32,105,10,53,31,7,15,9,2.06069784035361,1.81291335664286,1.25527250510331,1.50514997831991,2.02118929906994,1,1.72427586960079,1.49136169383427,0.845098040014257,1.17609125905568,0.954242509439325
"Azores",244403,5.38810653248479,4164.135041,3.61952480503883,58.69238091,1.76858172742296,1983.526616,3.29743803244031,38,2009,38.332403,-27.303306,110,61,17,32,102,8,49,30,7,16,8,2.04139268515822,1.78532983501077,1.23044892137827,1.50514997831991,2.00860017176192,0.903089986991943,1.69019608002851,1.47712125471966,0.845098040014257,1.20411998265592,0.903089986991943
"The_Bahamas",307552,5.48791855557092,16122.46007,4.20743131000695,19.07599701,1.28048724568988,433.9501882,2.63743988105302,25,35,24.262948,-76.631869,118,66,19,33,107,11,55,31,7,15,10,2.07188200730613,1.81954393554187,1.27875360095283,1.51851393987789,2.02938377768521,1.04139268515822,1.74036268949424,1.49136169383427,0.845098040014257,1.17609125905568,1
"Barbados",284589,5.45421810962168,465.387218,2.66781445108587,611.5101339,2.78640365852747,378.344733,2.5778876924599,10,277,13.172745,-59.557475,116,66,19,31,104,12,52,31,7,16,10,2.06445798922692,1.81954393554187,1.27875360095283,1.49136169383427,2.01703333929878,1.07918124604762,1.7160033436348,1.49136169383427,0.845098040014257,1.20411998265592,1
"Bermuda",67837,4.83146663358453,100.933425,2.0040350105302,672.0964834,2.82743162305445,1285.890155,3.10920387129826,35,33,32.308704,-64.768313,114,64,19,31,104,10,53,30,7,15,9,2.05690485133647,1.80617997398389,1.27875360095283,1.49136169383427,2.01703333929878,1,1.72427586960079,1.47712125471966,0.845098040014257,1.17609125905568,0.954242509439325
"UK_Virgin_Is.",24491,4.38900651830623,195.795761,2.29180328504507,125.0844241,2.0972032333659,897.8645114,2.95321080616533,10,303,18.503676,-64.518928,112,63,18,31,101,11,50,30,7,16,9,2.04921802267018,1.79934054945358,1.25527250510331,1.49136169383427,2.00432137378264,1.04139268515822,1.69897000433602,1.47712125471966,0.845098040014257,1.20411998265592,0.954242509439325
"Brunei",388190,5.58904434351819,5782.601137,3.76212323726746,67.13068925,1.82692110623356,995.8638116,2.99819995095919,10,1405,4.521445,114.7611,120,65,19,36,103,17,54,31,7,18,10,2.07918124604762,1.81291335664286,1.27875360095283,1.55630250076729,2.01283722470517,1.23044892137827,1.73239375982297,1.49136169383427,0.845098040014257,1.25527250510331,1
"Canary_Islands",2103992,6.32304408416875,9739.074857,3.98851770394406,216.0361257,2.33452638022646,290.5363545,2.46320048292566,27,3235,28.336625,-15.674047,121,65,20,36,104,17,54,32,7,15,13,2.08278537031645,1.81291335664286,1.30102999566398,1.55630250076729,2.01703333929878,1.23044892137827,1.73239375982297,1.50514997831991,0.845098040014257,1.17609125905568,1.11394335230684
"Cape_Verde",429474,5.63293687713509,4360.651939,3.6395514232925,98.48848429,1.99338545383082,729.9253729,2.863278460402,15,2263,15.978966,-23.967786,125,69,19,37,111,14,58,31,7,18,11,2.09691001300806,1.83884909073726,1.27875360095283,1.56820172406699,2.04532297878666,1.14612803567824,1.76342799356294,1.49136169383427,0.845098040014257,1.25527250510331,1.04139268515822
"Cayman_Is.",49035,4.69050617963605,323.39771,2.50973694031409,151.6244503,2.18076923938421,558.2988167,2.74686670737541,18,34,19.424348,-80.879444,114,64,18,32,103,11,51,30,8,15,10,2.05690485133647,1.80617997398389,1.25527250510331,1.50514997831991,2.01283722470517,1.04139268515822,1.70757017609794,1.47712125471966,0.903089986991943,1.17609125905568,1
"Christmas_I.",1402,3.14674801363064,128.165002,2.10776944863566,10.93902374,1.03897856484479,352.2232021,2.54681796097851,-7,283,-10.444116,105.703699,113,65,17,31,104,9,52,30,7,15,9,2.05307844348342,1.81291335664286,1.23044892137827,1.49136169383427,2.01703333929878,0.954242509439325,1.7160033436348,1.47712125471966,0.845098040014257,1.17609125905568,0.954242509439325
"Comoros",752438,5.87647072038921,2179.192046,3.33829550507088,345.283015,2.53817521526459,376.6647134,2.57595493665278,-11,2264,-12.067537,43.957186,122,67,19,36,109,13,54,32,7,18,11,2.08635983067475,1.82607480270083,1.27875360095283,1.55630250076729,2.03742649794062,1.11394335230684,1.73239375982297,1.50514997831991,0.845098040014257,1.25527250510331,1.04139268515822
"Cook_Is.",11870,4.07445071895459,237.488565,2.37564270332106,49.98135384,1.69880801564154,5383.19912,3.73104044429978,-25,291,-20.775864,-158.740848,118,65,20,33,106,12,53,32,7,17,9,2.07188200730613,1.81291335664286,1.30102999566398,1.51851393987789,2.02530586526477,1.07918124604762,1.72427586960079,1.50514997831991,0.845098040014257,1.23044892137827,0.954242509439325
"Cuba",11451652,7.05886814193635,128608.0077,5.10926801051396,89.04307132,1.94960013149651,455.5670163,2.65855227300704,25,1518,21.625842,-79.032657,124,65,18,41,112,12,54,32,8,19,11,2.09342168516224,1.81291335664286,1.25527250510331,1.61278385671974,2.04921802267018,1.07918124604762,1.73239375982297,1.50514997831991,0.903089986991943,1.27875360095283,1.04139268515822
"Cyprus",1084748,6.03532885807319,13601.78163,4.13359579817909,79.75043486,1.90173305983936,141.6181334,2.15111886586326,35,1838,35.04588,33.22176,122,67,21,34,107,15,54,32,7,17,12,2.08635983067475,1.82607480270083,1.32221929473392,1.53147891704226,2.02938377768521,1.17609125905568,1.73239375982297,1.50514997831991,0.845098040014257,1.23044892137827,1.07918124604762
"Dominica",72660,4.8612953935267,819.478394,2.91353750764383,88.66615707,1.94775788587017,537.3317994,2.73024254296082,10,1137,15.432036,-61.359063,118,65,20,33,107,11,54,30,7,18,9,2.07188200730613,1.81291335664286,1.30102999566398,1.51851393987789,2.02938377768521,1.04139268515822,1.73239375982297,1.47712125471966,0.845098040014257,1.25527250510331,0.954242509439325
"Dominican_Republic",9650054,6.98452974358591,53871.46804,4.73135881057443,179.1310753,2.25317093292123,749.8417294,2.87496960565591,10,2846,18.894083,-70.492966,129,70,21,38,113,16,56,33,8,20,12,2.11058971029925,1.84509804001426,1.32221929473392,1.57978359661681,2.05307844348342,1.20411998265592,1.7481880270062,1.51851393987789,0.903089986991943,1.30102999566398,1.07918124604762
