Year,Author,Title,Experiment/Investigation Number,LogArea,Species Number,Depth,LogIBP,LogVolume,pH,LogCond,LogP,Terrestrial/Aquatic,Lab/In-Situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,1,1.438937701,22,1.5,0.34606529,1.61502896,9.2,3.706717782,3.029383778,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,2,0.673020907,14,0.75,-0.337923103,0.548082171,8.15,3.523746467,2.963787827,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,3,1.752202153,19,1.5,0.502697516,1.928293412,9.23,3.771587481,3.041392685,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,4,1.643057684,13,1.5,0.448125281,1.819148943,8.04,3.785329835,2.991226076,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,5,1.673020907,21,1.5,0.463106893,1.849112166,8.45,3.413299764,2.653212514,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,6,0.849112166,24,0.8,-0.22184875,0.752202153,8.64,3.43949059,3.158362492,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,7,1.781360382,11,1.5,0.51727663,1.957451641,8.53,3.456062224,2.672097858,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,8,1.371990911,9,1,0.136500636,1.371990911,7.81,3.300595484,3.212187604,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,9,1.518118947,15,1,0.209564654,1.518118947,9.73,3.725911632,3.544068044,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,10,1.894869657,11,1.5,0.574031268,2.070960916,9.74,3.58546073,3.10720997,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,11,0.673020907,18,0.7,-0.367886326,0.518118947,7.69,3.274157849,3.361727836,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,12,0.496929648,15,0.5,-0.602059991,0.195899652,7.85,3.256477206,2.973127854,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,13,0.496929648,26,0.5,-0.602059991,0.195899652,7.54,3.017867719,3.691965103,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,14,1.098989639,28,0.8,-0.096910013,1.002079626,8.69,3.23325001,3.260071388,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,15,-0.105130343,22,0.2,-1.301029996,-0.804100348,7.96,3.345373731,3.008600172,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,16,-0.105130343,30,0.2,-1.301029996,-0.804100348,7.44,3.285332228,3.152288344,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,17,0.371990911,22,0.3,-0.886378109,-0.150887834,7.3,3.161368002,3.127104798,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,18,0.371990911,28,0.3,-0.886378109,-0.150887834,7.57,3.134495856,3.819543936,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,19,0.849112166,30,0.8,-0.22184875,0.752202153,7.6,3.006466042,3.220108088,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,20,-0.105130343,18,0.2,-1.301029996,-0.804100348,7.48,3.220108088,2.819543936,Aquatic ,In-situ
2017,Varbiro et al,Functional redundance modifies species-area relationship for freshwater phytoplankton,21,1.451172158,14,1.5,0.352182518,1.627263417,9.6,3.505149978,2.86332286,Aquatic ,In-situ
