,1.4389377
1,1.960149822
2,5.767289138
3,5.170956494
4,5.328239642
5,2.337570565
6,5.937928766
7,3.943193429
8,4.563632695
9,6.651681368
10,1.960149822
11,1.643666883
12,1.643666883
13,3.001132268
14,0.900207218
15,0.900207218
16,1.450619795
17,1.450619795
18,2.337570565
19,0.900207218
20,4.268114497
21,7.504055367
22,3.64300784
23,1.280245914
24,4.055279612
25,0.121829799
26,0.121829799
27,0.121829799
28,0.121829799
29,0.121829799
30,0.316355784
31,0.316355784
32,0.316355784
33,0.316355784
34,0.316355784
35,513.1402759
36,513.1402759
37,513.1402759
38,513.1402759
39,513.1402759
40,513.1402759
41,513.1402759
42,513.1402759
43,513.1402759
44,513.1402759
45,513.1402759
46,513.1402759
47,513.1402759
48,387.2387353
49,279.6303242
50,160.642476
51,56.90553942
52,56.90553942
53,160.642476
54,387.2387353
55,279.6303242
56,295.6891874
57,160.642476
58,45.28217015
59,652.9121779
60,45.28217015
61,115.3750389
62,107.2176778
63,695.1085636
64,94.07271434
65,115.3750389
66,175.4435502
67,246.6217706
68,137.5901433
69,652.9121779
70,652.9121779
71,652.9121779
72,695.1085636
73,94.07271434
74,175.4435502
75,246.6217706
76,207.3594478
77,94.07271434
78,115.3750389
79,137.5901433
80,695.1085636
81,652.9121779
82,652.9121779
83,513.1402759
84,652.9121779
85,652.9121779
86,115.3750389
87,175.4435502
88,246.6217706
89,207.3594478
90,137.5901433
91,415.4589364
92,415.4589364
93,387.2387353
94,387.2387353
95,387.2387353
96,279.6303242
97,295.6891874
98,56.90553942
99,50.87740574
100,175.4435502
101,137.5901433
102,207.3594478
103,50.87740574
104,175.4435502
105,207.3594478
106,45.28217015
107,115.3750389
108,94.07271434
109,94.07271434
110,56.90553942
111,45.28217015
112,175.4435502
113,45.28217015
114,137.5901433
115,175.4435502
116,207.3594478
117,50.87740574
118,45.28217015
119,50.87740574
120,175.4435502
121,207.3594478
122,137.5901433
123,207.3594478
124,137.5901433
125,175.4435502
126,50.87740574
127,6462.596493
128,6462.596493
129,6462.596493
130,6462.596493
131,1629.778427
132,1629.778427
133,6462.596493
134,6462.596493
135,6462.596493
136,6462.596493
137,6462.596493
138,6462.596493
139,6462.596493
140,6462.596493
141,1629.778427
142,1629.778427
143,1629.778427
144,1629.778427
145,1629.778427
146,295.6891874
147,279.6303242
148,387.2387353
149,279.6303242
150,295.6891874
151,160.642476
152,279.6303242
153,387.2387353
154,295.6891874
155,387.2387353
156,387.2387353
157,387.2387353
158,295.6891874
159,387.2387353
160,387.2387353
161,175.4435502
162,207.3594478
163,201.5632464
164,402.8500708
165,362.1630772
166,536.7633509
167,330.0818157
168,513.1402759
169,246.6217706
170,201.5632464
171,402.8500708
172,285.7560401
173,362.1630772
174,536.7633509
175,330.0818157
176,107.2176778
177,175.4435502
178,201.5632464
179,246.6217706
180,207.3594478
181,246.6217706
182,207.3594478
183,279.6303242
184,279.6303242
185,279.6303242
186,295.6891874
187,279.6303242
188,295.6891874
189,387.2387353
190,295.6891874
191,387.2387353
192,387.2387353
193,201.5632464
194,201.5632464
195,201.5632464
196,513.1402759
197,1629.778427
198,1629.778427
199,1629.778427
200,1629.778427
201,1629.778427
202,1629.778427
203,387.2387353
204,362.1630772
205,285.7560401
206,330.0818157
207,285.7560401
208,362.1630772
209,536.7633509
210,330.0818157
211,201.5632464
212,279.6303242
213,295.6891874
214,201.5632464
215,17.72651001
216,19.18718311
217,21.740595
