Year,Author,Title,Experiment Number,Area,Species,Terrestrial/Aquatic,Lab/In-Situ
2020,SYNTHETIC_DATA,SYNTETIC_DATA,1,10,1,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,2,20,1,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,3,30,2,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,4,40,2,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,5,50,3,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,6,60,3,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,7,70,4,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,8,80,4,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,9,90,5,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,10,100,5,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,11,110,6,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,12,120,6,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,13,130,7,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,14,140,8,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,15,150,9,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,16,160,10,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,17,170,12,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,18,180,14,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,19,190,16,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,20,200,18,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,21,210,20,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,22,220,25,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,23,230,30,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,24,240,35,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,25,250,40,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,26,260,45,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,27,270,50,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,28,280,55,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,29,290,60,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,30,300,70,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,31,310,80,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,32,320,90,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,33,330,100,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,34,340,110,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,35,350,120,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,36,360,130,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,37,370,140,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,38,380,150,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,39,390,160,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,40,400,160,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,41,410,170,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,42,420,180,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,43,430,190,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,44,440,200,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,45,450,210,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,46,460,220,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,47,470,230,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,48,480,240,Terrestrial,Lab
2020,SYNTHETIC_DATA,SYNTETIC_DATA,49,490,250,Terrestrial,Lab
2021,SYNTHETIC_DATA,SYNTETIC_DATA,50,500,260,Terrestrial,Lab
