ID,year,author,title,obtained,area metric,log area,depth metric,log depth,volume metric,log volume,distance metric,log distance,sp rich metric,log sp rich,aqua terra,fresh saline,in situ lab,natural modified,archaea,bacteria,fungi,algae,protozoa,pathogens,geographic location,local location,isolated continuous,DNI,NDM,depth,volume,area,sp rich,comment
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,15,1160,10,,815,2966,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,15,2567,10,,1197,5715,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,18,725,10,,1396,7486,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,11,2511,10,,1870,5739,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,18,694,10,,1890,6658,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,136,3725,10,,2538,7379,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,15,3044,10,,2550,6163,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,90,3040,10,,2878,7556,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,15,2615,10,,3645,8098,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,26,3205,10,,3949,10541,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,34,1228,10,,4160,8808,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,121,2106,10,,4638,8067,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,28,2363,10,,5307,8109,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,78,2321,10,,6181,7854,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,66,2128,10,,6876,9292,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,15,3043,10,,7880,8972,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,62,893,10,,8388,8725,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,16,2471,10,,8542,10024,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,23,3359,10,,8625,11141,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,60,3547,10,,9856,8888,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,15,1099,10,,13071,11842,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,11,2494,10,,13172,13229,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,53,1046,10,,13264,12078,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,16,2576,10,,25619,12505,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,30,2588,10,,36958,12055,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,71,2164,10,,97930,14203,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,67,1939,10,,274942,12564,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,32,950,10,,479759,13762,
1,2020,Li et al,"Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms",supplement,m2,no,cm,no,NA,NA,m,no,gamma div,no,terra,NA,in situ,natural,no,yes,yes,no,no,no,china,thousand island natural,isolated,17,884,10,,11538756,15220,
2,2020,Chen et al,Island biogeography on a micro-scale: Larger anammox granules not only harbor higher species diversity but also support more functional diversity,table,mm,no,NA,NA,mm3,NA,NA,no,OTUs,no,aqua,fresh,in situ,modified,no,yes,no,no,no,no,china,sequencing batch reactor,isolated,NA,NA,NA,0.0018,0.15,417,
2,2020,Chen et al,Island biogeography on a micro-scale: Larger anammox granules not only harbor higher species diversity but also support more functional diversity,table,mm,no,NA,NA,mm3,NA,NA,no,OTUs,no,aqua,fresh,in situ,modified,no,yes,no,no,no,no,china,sequencing batch reactor,isolated,NA,NA,NA,0.0224,0.35,387,
2,2020,Chen et al,Island biogeography on a micro-scale: Larger anammox granules not only harbor higher species diversity but also support more functional diversity,table,mm,no,NA,NA,mm3,NA,NA,no,OTUs,no,aqua,fresh,in situ,modified,no,yes,no,no,no,no,china,sequencing batch reactor,isolated,NA,NA,NA,0.1437,0.65,471,
2,2020,Chen et al,Island biogeography on a micro-scale: Larger anammox granules not only harbor higher species diversity but also support more functional diversity,table,mm,no,NA,NA,mm3,NA,NA,no,OTUs,no,aqua,fresh,in situ,modified,no,yes,no,no,no,no,china,sequencing batch reactor,isolated,NA,NA,NA,0.3815,0.9,477,
2,2020,Chen et al,Island biogeography on a micro-scale: Larger anammox granules not only harbor higher species diversity but also support more functional diversity,table,mm,no,NA,NA,mm3,NA,NA,no,OTUs,no,aqua,fresh,in situ,modified,no,yes,no,no,no,no,china,sequencing batch reactor,isolated,NA,NA,NA,1.7663,1.5,492,
3,2019,Juttner et al,The genus Eunotia (Bacillariophyta) in the Falkland Islands and species-area relationships in sub-Antarctic islands (Juttner et al 2019),graph,km2,no,NA,NA,NA,NA,NA,NA,species,no,aqua,fresh,in situ,natural,no,no,no,yes,no,no,antarctica,falkland islands,isolated,NA,NA,NA,NA,55,5,have emailed for dataset
3,2019,Juttner et al,The genus Eunotia (Bacillariophyta) in the Falkland Islands and species-area relationships in sub-Antarctic islands (Juttner et al 2019),graph,km2,no,NA,NA,NA,NA,NA,NA,species,no,aqua,fresh,in situ,natural,no,no,no,yes,no,no,antarctica,falkland islands,isolated,NA,NA,NA,NA,368,5,have emailed for dataset
3,2019,Juttner et al,The genus Eunotia (Bacillariophyta) in the Falkland Islands and species-area relationships in sub-Antarctic islands (Juttner et al 2019),graph,km2,no,NA,NA,NA,NA,NA,NA,species,no,aqua,fresh,in situ,natural,no,no,no,yes,no,no,antarctica,falkland islands,isolated,NA,NA,NA,NA,300,4,have emailed for dataset
3,2019,Juttner et al,The genus Eunotia (Bacillariophyta) in the Falkland Islands and species-area relationships in sub-Antarctic islands (Juttner et al 2019),graph,km2,no,NA,NA,NA,NA,NA,NA,species,no,aqua,fresh,in situ,natural,no,no,no,yes,no,no,antarctica,falkland islands,isolated,NA,NA,NA,NA,128,2,have emailed for dataset
3,2019,Juttner et al,The genus Eunotia (Bacillariophyta) in the Falkland Islands and species-area relationships in sub-Antarctic islands (Juttner et al 2019),graph,km2,no,NA,NA,NA,NA,NA,NA,species,no,aqua,fresh,in situ,natural,no,no,no,yes,no,no,antarctica,falkland islands,isolated,NA,NA,NA,NA,3687,3,have emailed for dataset
3,2019,Juttner et al,The genus Eunotia (Bacillariophyta) in the Falkland Islands and species-area relationships in sub-Antarctic islands (Juttner et al 2019),graph,km2,no,NA,NA,NA,NA,NA,NA,species,no,aqua,fresh,in situ,natural,no,no,no,yes,no,no,antarctica,falkland islands,isolated,NA,NA,NA,NA,3903,8,have emailed for dataset
3,2019,Juttner et al,The genus Eunotia (Bacillariophyta) in the Falkland Islands and species-area relationships in sub-Antarctic islands (Juttner et al 2019),graph,km2,no,NA,NA,NA,NA,NA,NA,species,no,aqua,fresh,in situ,natural,no,no,no,yes,no,no,antarctica,falkland islands,isolated,NA,NA,NA,NA,7215,8,have emailed for dataset
3,2019,Juttner et al,The genus Eunotia (Bacillariophyta) in the Falkland Islands and species-area relationships in sub-Antarctic islands (Juttner et al 2019),graph,km2,no,NA,NA,NA,NA,NA,NA,species,no,aqua,fresh,in situ,natural,no,no,no,yes,no,no,antarctica,falkland islands,isolated,NA,NA,NA,NA,12173,15,have emailed for dataset
4,2018,Battes et al,"Species-area relationships for aquatic biota in several shallow naturals from the Fizeș Valley (Transylvania, Romania)",author,ha,no,m,no,NA,NA,NA,NA,taxa,no,aqua,fresh,in situ,modified,no,no,no,yes,no,no,romania,lake nasal,isolated,NA,NA,2.5,NA,5,42,depths estimated
4,2018,Battes et al,"Species-area relationships for aquatic biota in several shallow naturals from the Fizeș Valley (Transylvania, Romania)",author,ha,no,m,no,NA,NA,NA,NA,taxa,no,aqua,fresh,in situ,modified,no,no,no,yes,no,no,romania,lake rosieni,isolated,NA,NA,1,NA,18,84,depths estimated
4,2018,Battes et al,"Species-area relationships for aquatic biota in several shallow naturals from the Fizeș Valley (Transylvania, Romania)",author,ha,no,m,no,NA,NA,NA,NA,taxa,no,aqua,fresh,in situ,modified,no,no,no,yes,no,no,romania,lake catina,isolated,NA,NA,1.5,NA,30,92,depths estimated
4,2018,Battes et al,"Species-area relationships for aquatic biota in several shallow naturals from the Fizeș Valley (Transylvania, Romania)",author,ha,no,m,no,NA,NA,NA,NA,taxa,no,aqua,fresh,in situ,modified,no,no,no,yes,no,no,romania,lake suctard 1,isolated,NA,NA,1.5,NA,45,92,depths estimated
4,2018,Battes et al,"Species-area relationships for aquatic biota in several shallow naturals from the Fizeș Valley (Transylvania, Romania)",author,ha,no,m,no,NA,NA,NA,NA,taxa,no,aqua,fresh,in situ,modified,no,no,no,yes,no,no,romania,lake stiucii,isolated,NA,NA,7,NA,38,96,depths estimated
4,2018,Battes et al,"Species-area relationships for aquatic biota in several shallow naturals from the Fizeș Valley (Transylvania, Romania)",author,ha,no,m,no,NA,NA,NA,NA,taxa,no,aqua,fresh,in situ,modified,no,no,no,yes,no,no,romania,lake geaca II,isolated,NA,NA,1.5,NA,14,97,depths estimated
4,2018,Battes et al,"Species-area relationships for aquatic biota in several shallow naturals from the Fizeș Valley (Transylvania, Romania)",author,ha,no,m,no,NA,NA,NA,NA,taxa,no,aqua,fresh,in situ,modified,no,no,no,yes,no,no,romania,lake sfantu florian,isolated,NA,NA,1.5,NA,97,102,depths estimated
4,2018,Battes et al,"Species-area relationships for aquatic biota in several shallow naturals from the Fizeș Valley (Transylvania, Romania)",author,ha,no,m,no,NA,NA,NA,NA,taxa,no,aqua,fresh,in situ,modified,no,no,no,yes,no,no,romania,lake taga mare,isolated,NA,NA,2,NA,8,104,depths estimated
4,2018,Battes et al,"Species-area relationships for aquatic biota in several shallow naturals from the Fizeș Valley (Transylvania, Romania)",author,ha,no,m,no,NA,NA,NA,NA,taxa,no,aqua,fresh,in situ,modified,no,no,no,yes,no,no,romania,lake suctard 2,isolated,NA,NA,7,NA,40,113,depths estimated
4,2018,Battes et al,"Species-area relationships for aquatic biota in several shallow naturals from the Fizeș Valley (Transylvania, Romania)",author,ha,no,m,no,NA,NA,NA,NA,taxa,no,aqua,fresh,in situ,natural,no,no,no,yes,no,no,romania,lake geaca III,isolated,NA,NA,2,NA,12,120,depths estimated
5,2018,Darcy et al,Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World,graph,cm,no,NA,NA,NA,NA,NA,NA,faiths dp,no,aqua,saline,in situ,natural,no,yes,no,no,no,no,antarctica,canada glacier,isolated,NA,NA,NA,NA,128,34,"Taken from the paper by eye, have emailed for the original dataset"
5,2018,Darcy et al,Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World,graph,cm,no,NA,NA,NA,NA,NA,NA,faiths dp,no,aqua,saline,in situ,natural,no,yes,no,no,no,no,antarctica,canada glacier,isolated,NA,NA,NA,NA,160,40,"Taken from the paper by eye, have emailed for the original dataset"
5,2018,Darcy et al,Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World,graph,cm,no,NA,NA,NA,NA,NA,NA,faiths dp,no,aqua,saline,in situ,natural,no,yes,no,no,no,no,antarctica,canada glacier,isolated,NA,NA,NA,NA,180,43,"Taken from the paper by eye, have emailed for the original dataset"
