"StudyID","DataID","Year","Author","Title","Aquatic_Terrestrial","Fresh_Saline","In_Situ_Lab","Taxa","Archipelago_Type","Expanded_Archipelago_Type","Num_Data_Points","Area_Range (cm2)","RSq","RSqAdj","Theta","K","m0","rho","CriticalArea"
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","terra",NA,"in situ","bacteria","terrestrial","terrestrial freshwater",29,"8150000 - 1.15e+11"," 0.66"," 0.60","   912.26","  1.00",9.34e-08,14742,"44.89"
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","terra",NA,"in situ","fungi","terrestrial","terrestrial freshwater",29,"8150000 - 1.15e+11"," 0.72"," 0.67","   356.16","  1.00",1.8e-08,7411,"420.844953901661"
2,3,2019,"Battes et al","Species-area relationships for aquatic biota in several shallow naturals from the Fizeș Valley (Transylvania, Romania)","aqua","fresh","in situ","algae","lacustrine","lacustrine fresh",10,"8e+08 - 9.5e+09"," 0.10","-0.62","     8.05","  1.00",4.2e-10,45000,"2606.78007117325"
3,4,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","bacteria","lacustrine","cryoconite",30,"132.7322896 - 615.7521601"," 0.02","-0.13","    29.16","354.00",0.208,45000,"294.346993445553"
3,5,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","bacteria","lacustrine","cryoconite",30,"254.4690049 - 754.767635"," 0.01","-0.15"," 25381.25","709.00",1.14e-07,45000,"8775.59035559874"
3,6,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","bacteria","lacustrine","cryoconite",30,"240.5281875 - 551.5458602"," 0.23"," 0.11","121092.87","316.00",6.98e-07,45000,"710.593973631595"
3,7,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","algae","lacustrine","cryoconite",30,"132.7322896 - 615.7521601"," 0.11","-0.04"," 22932.58"," 41.00",0.0102,1,"868.326898412337"
3,8,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","algae","lacustrine","cryoconite",30,"254.4690049 - 754.767635"," 0.04","-0.11"," 14778.57"," 67.00",0.00349,1,"3386.57680350512"
3,9,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","algae","lacustrine","cryoconite",30,"240.5281875 - 551.5458602"," 0.06","-0.09"," 26999.21"," 24.00",0.0054,1,"846.481153579172"
3,10,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","fungi","lacustrine","cryoconite",30,"240.5281875 - 551.5458602"," 0.11","-0.03","     9.04","  1.00",0.00664,1,"31.5377405302169"
3,11,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","protozoa","lacustrine","cryoconite",30,"132.7322896 - 615.7521601"," 0.27"," 0.15"," 24979.49"," 35.00",0.0198,1,"442.296015040203"
3,12,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","protozoa","lacustrine","cryoconite",30,"254.4690049 - 754.767635"," 0.00","-0.16","     1.82"," 55.00",1,1,"25111205683995"
3,13,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","protozoa","lacustrine","cryoconite",30,"240.5281875 - 551.5458602"," 0.06","-0.09","    56.75","  1.00",0.0369,1,"7.98642900284937"
4,14,2018,"Delgado-Baquerizo et al","Experimentally testing the species-habitat size relationship on soil bacteria: A proof of concept","terra",NA,"lab","bacteria","terrestrial","soil lab",15,"9 - 150"," 0.82"," 0.75","    64.64","377.00",4.9e-13,3.5e+12,"452.706808423765"
4,15,2018,"Delgado-Baquerizo et al","Experimentally testing the species-habitat size relationship on soil bacteria: A proof of concept","terra",NA,"lab","bacteria","terrestrial","soil lab",13,"9 - 150"," 0.70"," 0.54","    51.00","481.00",1.68e-13,1.48e+13,"8715.6929652899"
5,16,2017,"Glassman et al","The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale","terra",NA,"in situ","fungi","plant","plant soil",20,"68000.15396 - 654904.2585"," 0.23"," 0.02","     4.90","  7.00",1.87e-09,2984,"138453.418092645"
