"StudyID","DataID","Year","Author","Title","Aquatic_Terrestrial","Fresh_Saline","In_Situ_Lab","Taxa","Archipelago_Type","Expanded_Archipelago_Type","Num_Data_Points","Area_Range (cm2)","RSq","RSqAdj","Theta","K","m0","rho","CriticalArea"
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","terra",NA,"in situ","bacteria","terrestrial","terrestrial freshwater",29,"8150000 - 1.15e+11"," 0.66","  0.60","   912.26","  1.00",8.12e-08,14742,"44.89"
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","terra",NA,"in situ","fungi","terrestrial","terrestrial freshwater",29,"8150000 - 1.15e+11"," 0.72","  0.67","   354.68","  1.00",1.62e-08,7411,"411.400882110912"
2,3,2019,"Battes et al","Species-area relationships for aquatic biota in several shallow naturals from the Fizeș Valley (Transylvania, Romania)","aqua","fresh","in situ","algae","lacustrine","lacustrine fresh",10,"8e+08 - 9.5e+09"," 0.10"," -0.62","     8.05","  1.00",3.61e-10,45000,"2589.4515415584"
3,4,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","bacteria","lacustrine","cryoconite",30,"132.7322896 - 615.7521601"," 0.02"," -0.13","    29.16","314.00",0.318,45000,"16.0162046637391"
3,5,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","bacteria","lacustrine","cryoconite",30,"254.4690049 - 754.767635"," 0.01"," -0.15","  5830.16","708.00",9.46e-08,45000,"9032.23244676266"
3,6,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","bacteria","lacustrine","cryoconite",30,"240.5281875 - 551.5458602"," 0.23","  0.11","178265.17","314.00",5.45e-07,45000,"719.020142991942"
3,7,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","algae","lacustrine","cryoconite",30,"132.7322896 - 615.7521601"," 0.10"," -0.04"," 19775.34"," 40.00",0.00485,1,"945.346485446663"
3,8,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","algae","lacustrine","cryoconite",30,"254.4690049 - 754.767635"," 0.04"," -0.12"," 10336.98"," 66.00",0.00179,1,"3799.5614683856"
3,9,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","algae","lacustrine","cryoconite",30,"240.5281875 - 551.5458602"," 0.06"," -0.10"," 47576.49"," 23.00",0.00297,1,"839.769531881642"
3,10,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","fungi","lacustrine","cryoconite",30,"240.5281875 - 551.5458602"," 0.11"," -0.03","     9.12","  1.00",0.0037,1,"31.6149904109125"
3,11,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","protozoa","lacustrine","cryoconite",30,"132.7322896 - 615.7521601"," 0.27","  0.15"," 52971.81"," 33.00",0.00936,1,"436.95190613639"
3,12,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","protozoa","lacustrine","cryoconite",30,"254.4690049 - 754.767635"," 0.00"," -0.16","     2.01"," 52.00",0.86,1,"32160921.7520096"
3,13,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","protozoa","lacustrine","cryoconite",30,"240.5281875 - 551.5458602"," 0.06"," -0.09","    56.87","  1.00",0.0168,1,"8.02944422638438"
4,14,2018,"Delgado-Baquerizo et al","Experimentally testing the species-habitat size relationship on soil bacteria: A proof of concept","terra",NA,"lab","bacteria","terrestrial","soil lab",15,"9 - 150"," 0.82","  0.75","    64.64","377.00",4.9e-13,3.5e+12,"440.595571340562"
4,15,2018,"Delgado-Baquerizo et al","Experimentally testing the species-habitat size relationship on soil bacteria: A proof of concept","terra",NA,"lab","bacteria","terrestrial","soil lab",13,"9 - 150"," 0.70","  0.54","    51.00","481.00",1.68e-13,1.48e+13,"8712.74101793958"
5,16,2017,"Glassman et al","The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale","terra",NA,"in situ","fungi","plant","plant soil",20,"68000.15396 - 654904.2585"," 0.23","  0.02","     4.93","  7.00",1.65e-09,2984,"137636.042850779"
5,17,2017,"Glassman et al","The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale","terra",NA,"in situ","fungi","plant","plant soil",20,"67113.97976 - 1244070.691"," 0.34","  0.17","     2.30","  1.00",4.44e-08,2984,"465.587237459354"
6,18,2017,"Varbiro et al","Functional redundance modifies species-area relationship for freshwater phytoplankton","aqua","fresh","in situ","algae","lacustrine","lacustrine fresh",218,"78.50000782 - 5.94e+12"," 0.02","  0.01","     0.43"," 21.00",0.000108,3562,"245479662.213177"
7,19,2016,"Kavazos, C.","Small-scale biogeographic patterns of benthic bacterial and ciliate communities in the saline ponds of natural MacLeod, North-Western Australia","aqua","saline","in situ","bacteria","lacustrine","lacustrine saline",8,"950000 - 71477020000"," 0.51"," -0.15","    13.71"," 81.00",1.98e-16,3e+06,"189434265170.335"
