"StudyID","DataID","Year","Author","Title","Aquatic_Terrestrial","Fresh_Saline","In_Situ_Lab","Taxa","Archipelago_Type","Expanded_Archipelago_Type","Num_Data_Points","Area_Range..cm2.","Peri_R2","Classic_R2","Depth_R2","Peri_AdjR2","Classic_AdjR2","Depth_AdjR2","Peri_theta","Classic_theta","Depth_theta","Peri_K","Classic_K","Depth_K","Peri_m0","Classic_m0","Depth_m0","Peri_rho","Classic_rho","Depth_rho","Peri_ACrit","Classic_ACrit","Depth_ACrit"
1,1,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","terra",NA,"in situ","bacteria","terrestrial","terrestrial freshwater",29,"8150000 - 115000000000",0.65,0.66,0.66,0.6,0.6,0.6,1725.12,912.26,912.26,1,1,1,0.0000367,0.0000000934,0.0000000812,14742,14742,14742,0.05,44.89,44.89
1,2,2020,"Li et al","Island biogeography of soil bacteria and fungi: similar patterns, but different mechanisms","terra",NA,"in situ","fungi","terrestrial","terrestrial freshwater",29,"8150000 - 115000000000",0.71,0.72,0.72,0.66,0.67,0.67,675.34,356.16,354.68,2,1,1,0.0000133,0.000000018,0.0000000162,7411,7411,7411,2.9857606932655,420.844953901661,411.400882110912
2,3,2019,"Battes et al","Species-area relationships for aquatic biota in several shallow naturals from the Fizeș Valley (Transylvania, Romania)","aqua","fresh","in situ","algae","lacustrine","lacustrine fresh",10,"800000000 - 9500000000",0.1,0.1,0.1,-0.62,-0.62,-0.62,15.58,8.05,8.05,19,1,1,0.0000000545,0.00000000042,0.000000000361,45000,45000,45000,427011.917472982,2606.78007117325,2589.4515415584
3,4,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","bacteria","lacustrine","cryoconite",30,"132.7322896 - 615.7521601",0.02,0.02,0.02,-0.13,-0.13,-0.13,50.06,29.16,29.16,305,354,314,0.045,0.208,0.318,45000,45000,45000,7.14423060745555,294.346993445553,16.0162046637391
3,5,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","bacteria","lacustrine","cryoconite",30,"254.4690049 - 754.767635",0.01,0.01,0.01,-0.15,-0.15,-0.15,48.36,25381.25,5830.16,522,709,708,0.0033,0.000000114,0.0000000946,45000,45000,45000,1534644.47071425,8775.59035559874,9032.23244676266
3,6,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","bacteria","lacustrine","cryoconite",30,"240.5281875 - 551.5458602",0.23,0.23,0.23,0.11,0.11,0.11,159709.15,121092.87,178265.17,204,316,314,0.0000243,0.000000698,0.000000545,45000,45000,45000,198.113893930348,710.593973631595,719.020142991942
3,7,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","algae","lacustrine","cryoconite",30,"132.7322896 - 615.7521601",0.09,0.11,0.1,-0.05,-0.04,-0.04,149010.32,22932.58,19775.34,38,41,40,0.261,0.0102,0.00485,1,1,1,935.931431944804,868.326898412337,945.346485446663
3,8,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","algae","lacustrine","cryoconite",30,"254.4690049 - 754.767635",0.03,0.04,0.04,-0.13,-0.11,-0.12,32307.38,14778.57,10336.98,65,67,66,0.114,0.00349,0.00179,1,1,1,7431.35634824133,3386.57680350512,3799.5614683856
3,9,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","algae","lacustrine","cryoconite",30,"240.5281875 - 551.5458602",0.05,0.06,0.06,-0.1,-0.09,-0.1,10679.86,26999.21,47576.49,20,24,23,0.166,0.0054,0.00297,1,1,1,584.395348309894,846.481153579172,839.769531881642
3,10,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","fungi","lacustrine","cryoconite",30,"240.5281875 - 551.5458602",0.11,0.11,0.11,-0.04,-0.03,-0.03,177280.01,9.04,9.12,1,1,1,0.0719,0.00664,0.0037,1,1,1,12.6903244262702,31.5377405302169,31.6149904109125
3,11,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","protozoa","lacustrine","cryoconite",30,"132.7322896 - 615.7521601",0.27,0.27,0.27,0.15,0.15,0.15,58857.43,24979.49,52971.81,25,35,33,0.564,0.0198,0.00936,1,1,1,191.733801964493,442.296015040203,436.95190613639
3,12,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","protozoa","lacustrine","cryoconite",30,"254.4690049 - 754.767635",0,0,0,-0.16,-0.16,-0.16,4.38,1.82,2.01,56,55,52,1,1,0.86,1,1,1,17693268830.969,25111205683995,32160921.7520096
3,13,2018,"Darcy et al","Island Biogeography of Cryoconite Hole Bacteria in Antarctica's Taylor Valley and Around the World","aqua","saline","in situ","protozoa","lacustrine","cryoconite",30,"240.5281875 - 551.5458602",0.06,0.06,0.06,-0.09,-0.09,-0.09,370207.97,56.75,56.87,1,1,1,0.465,0.0369,0.0168,1,1,1,2.81137007739176,7.98642900284937,8.02944422638438
4,14,2018,"Delgado-Baquerizo et al","Experimentally testing the species-habitat size relationship on soil bacteria: A proof of concept","terra",NA,"lab","bacteria","terrestrial","soil lab",15,"9 - 150",0.82,0.82,0.82,0.75,0.75,0.75,141.98,64.64,64.64,315,377,377,0.00000000000153,0.00000000000049,0.00000000000049,3500000000000,3500000000000,3500000000000,55.1568985628724,452.706808423765,440.595571340562
4,15,2018,"Delgado-Baquerizo et al","Experimentally testing the species-habitat size relationship on soil bacteria: A proof of concept","terra",NA,"lab","bacteria","terrestrial","soil lab",13,"9 - 150",0.7,0.7,0.7,0.54,0.54,0.54,108.23,51,51,424,481,481,0.000000000000512,0.000000000000168,0.000000000000168,14800000000000,14800000000000,14800000000000,502.488430858566,8715.6929652899,8712.74101793958
5,16,2017,"Glassman et al","The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale","terra",NA,"in situ","fungi","plant","plant soil",20,"68000.15396 - 654904.2585",0.23,0.23,0.23,0.02,0.02,0.02,13.12,4.9,4.93,4,7,7,0.000000588,0.00000000187,0.00000000165,2984,2984,2984,19124.3537309676,138453.418092645,137636.042850779
5,17,2017,"Glassman et al","The theory of island biogeography applies to ectomycorrhizal fungi in subalpine tree “islands” at a fine scale","terra",NA,"in situ","fungi","plant","plant soil",20,"67113.97976 - 1244070.691",0.33,0.34,0.34,0.16,0.17,0.17,4.56,2.3,2.3,3,1,1,0.00000193,0.0000000509,0.0000000444,2984,2984,2984,1891.14143286699,491.376193645895,465.587237459354
6,18,2017,"Varbiro et al","Functional redundance modifies species-area relationship for freshwater phytoplankton","aqua","fresh","in situ","algae","lacustrine","lacustrine fresh",218,"78.50000782 - 5940000000000",0.02,0.02,0.02,0,0.01,0.01,1.02,0.43,0.43,17,21,21,0.000981,0.000139,0.000108,3562,3562,3562,69052514114.8516,102565483684812505088,245479662.213177
7,19,2016,"Kavazos, C.","Small-scale biogeographic patterns of benthic bacterial and ciliate communities in the saline ponds of natural MacLeod, North-Western Australia","aqua","saline","in situ","bacteria","lacustrine","lacustrine saline",8,"950000 - 71477020000",0.49,0.51,0.51,-0.2,-0.15,-0.15,250136.87,13.58,13.71,80,81,81,0.00000000000162,0.000000000000000229,0.000000000000000198,3000000,3000000,3000000,168007079740.193,213808220412.589,189434265170.335
7,20,2016,"Kavazos, C.","Small-scale biogeographic patterns of benthic bacterial and ciliate communities in the saline ponds of natural MacLeod, North-Western Australia","aqua","saline","in situ","protozoa","lacustrine","lacustrine saline",8,"950000 - 71477020000",0.41,0.43,0.43,-0.38,-0.32,-0.32,15.99,2.09,2.11,13,13,13,0.0000000126,0.00000000000209,0.00000000000174,184,184,184,78833092826.0136,101407775548.671,22471199167.8954
8,21,2016,"Bolgovics et al","Species-area relationship (SAR) for benthic diatoms: a study on aquatic islands","aqua","fresh","in situ","algae","lacustrine","lacustrine fresh",16,"78.52356346 - 5920000000000",0.69,0.68,0.68,0.58,0.56,0.56,16.14,6.64,6.65,60,57,57,0.0000000279,0.000000000011,0.0000000000089,3562,3562,3562,48349657542.1066,35751193246.2511,25077573745.9309
9,22,2016,"Grossman et al","Molecular investigation of protistan diversity along an elevation transect of alpine naturals","aqua","fresh","in situ","algae","lacustrine","lacustrine fresh",29,"6000000 - 138000000000",0.4,0.4,0.41,0.3,0.3,0.31,19.15,10.04,10.02,11,2,2,0.0000277,0.00000189,0.00000119,3562,3562,3562,135.458510954989,24.9537738860074,23.7970196051567
9,23,2016,"Grossman et al","Molecular investigation of protistan diversity along an elevation transect of alpine naturals","aqua","fresh","in situ","protozoa","lacustrine","lacustrine fresh",29,"6000000 - 138000000000",0.29,0.29,0.29,0.17,0.18,0.18,1.87,0.96,0.96,2,3,3,0.00000000664,0.000000000000286,0.000000000000216,1920,1920,1920,100076086.915578,1327462232.19585,1233855621.86003
9,24,2016,"Grossman et al","Molecular investigation of protistan diversity along an elevation transect of alpine naturals","aqua","fresh","in situ","fungi","lacustrine","lacustrine fresh",29,"6000000 - 138000000000",0.01,0.01,0.01,-0.16,-0.16,-0.16,0.32,0.17,0.17,6,6,7,0.0193,0.000933,0.00000133,1,1,1,11159727611570352,37635744748211536,37983842.1722454
10,25,2015,"Jean et al","An equilibrium theory signature in the island biogeography of human parasites and pathogens","terra",NA,"in situ","bacteria","terrestrial","terrestrial marine",66,"75603620000 - 6660000000000000",0.22,0.23,0.23,0.17,0.18,0.18,1.16,0.58,0.58,49,51,51,0.00000646,0.0000000000017,0.00000000000142,1,1,1,46098596532204729683581648720872867956260864,1073846251278607050846686744393053367830853976064,307093221991043723619023758295040
10,26,2015,"Jean et al","An equilibrium theory signature in the island biogeography of human parasites and pathogens","terra",NA,"in situ","pathogen","terrestrial","terrestrial marine",66,"75603620000 - 6660000000000000",0.34,0.34,0.34,0.3,0.3,0.3,1.02,0.54,0.54,28,29,29,0.00000375,0.00000000000279,0.00000000000232,1,1,1,18867853979881399649949156638720,2235329026699903134921623435476992,53173016015419442462720
10,27,2015,"Jean et al","An equilibrium theory signature in the island biogeography of human parasites and pathogens","terra",NA,"in situ","fungi","terrestrial","terrestrial marine",66,"75603620000 - 6660000000000000",0.28,0.27,0.27,0.23,0.22,0.22,2433.86,0.23,0.23,7,7,7,0.000000000587,0.00000000000000564,0.00000000000000478,1,1,1,85829164068047952,19027316605052323599745024,6018997078498707
10,28,2015,"Jean et al","An equilibrium theory signature in the island biogeography of human parasites and pathogens","terra",NA,"in situ","protozoa","terrestrial","terrestrial marine",66,"75603620000 - 6660000000000000",0.35,0.36,0.36,0.31,0.32,0.31,0.56,0.28,0.28,8,9,9,0.00000138,0.000000000000331,0.000000000000278,1,1,1,387380354042541834240,2227556879782476525862912,855749023889300
10,29,2015,"Jean et al","An equilibrium theory signature in the island biogeography of human parasites and pathogens","terra",NA,"in situ","pathogen","terrestrial","terrestrial marine",66,"75603620000 - 6660000000000000",0.34,0.35,0.35,0.3,0.31,0.31,694728.23,2.53,2.54,17,17,17,0.00000000316,0.00000000000000144,0.00000000000000123,1,1,1,19738900779134104,42380013776084424,17826942914534564
11,30,2014,"Cashdan, E.","Biogeography of Human Infectious Diseases: A Global Historical Analysis","terra",NA,"in situ","pathogen","terrestrial","terrestrial marine",41,"800000000 - 7860000000000000",0.01,0.05,0.05,-0.1,-0.05,-0.05,256681.62,0.14,0.14,4,4,4,0.000000000291,0.0000000000000217,0.0000000000000184,1,1,1,109356370247559216,1378421124629332685225984,79112245514215
12,31,2013,"Lepere et al","Geographic distance and ecosystem size determine the distribution of smallest protists in lacustrine ecosystems","aqua","fresh","in situ","protozoa","lacustrine","lacustrine fresh",6,"1380000000 - 445000000000",0.59,0.59,0.59,-1.04,-1.04,-1.07,21.99,11.43,11.32,13,1,56,0.000000579,0.0000000017,0.0000000000325,5720,5720,5720,71932.3010419879,5311.80061566796,208489734.842771
13,32,2012,"Rengefors et al. ","Polar naturals may act as ecological islands to aquatic protist","aqua","fresh","in situ","algae","lacustrine","lacustrine saline",4,"630000000 - 3670000000",0.34,0.44,0.43,2.97,2.69,2.71,39.3,7.2,7.1,17,1,1,0.00000000293,0.00000000000165,0.00000000000135,4850,4850,4850,2421084096.54952,4934405.48400668,4701902.52091869
14,33,2012,"feinstein & blackwood","Taxa-area Relationship and Neutral Dynamics Influence the Diversity of Fungal Communities on Senesced Tree Leaves","terra",NA,"in situ","fungi","plant","plant leaf",12,"10.113 - 63.745",-11.91,-3.68,-8.67,-19.29,-6.35,-14.19,66234.09,47.46,3416.58,12,5,2,1,1.73,1,1,1,1,41.5024151161409,4.05793439724216,3.00058579702425
15,34,2011,"Stomp et al","Large- scale biodiversity patterns in freshwater phytoplankton","aqua","fresh","in situ","algae","lacustrine","lacustrine fresh",539,"1000000000 - 18900000000000",0.01,0.01,0.01,0,0,0,1.48,0.77,0.7,22,25,26,0.0000000597,0.000000000000409,0.000000000000137,3562,3562,3562,319684348259077824,2685315471627523719168,11183973894203062272
16,35,2011,"Orrock et al","Biogeographic and ecological regulation of disease: prevalence of sin nombre pathogen in island mice is related to island area, precipitation, and predator richness","terra",NA,"in situ","pathogen","terrestrial","terrestrial marine",8,"25800000000 - 2500000000000",0.29,0.4,0.4,-0.65,-0.39,-0.39,798883.45,98817.44,47256.59,2,1,1,0.000000405,0.000000000000332,0.000000000000314,1,1,1,33839244999.9632,104892911117.321,104912514506.871
17,36,2011,"barbera & casamayor","Euxinic Freshwater Hypolimnia Promote Bacterial Endemicity in Continental Areas","aqua","fresh","in situ","bacteria","lacustrine","lacustrine fresh",12,"16000000 - 329000000000000",0.33,0.33,0.33,-0.05,-0.05,-0.05,3.64,1.87,1.87,1,1,1,0.0000000000623,0.000000000000185,0.000000000000148,11550000,11550000,11550000,3364.68961928435,21078.8417469806,19895.6543916922
17,37,2011,"barbera & casamayor","Euxinic Freshwater Hypolimnia Promote Bacterial Endemicity in Continental Areas","aqua","fresh","in situ","bacteria","lacustrine","lacustrine fresh",12,"16000000 - 329000000000000",0.14,0.14,0.14,-0.35,-0.35,-0.35,1.78,0.92,0.91,1,1,1,0.000000000229,0.00000000000443,0.00000000000345,11550000,11550000,11550000,404.329104592412,1357.51568266775,1236.18162038224
18,38,2007,"Peay et al","A strong species-area relationship for eukaryotic soil microbes: Island size matters for ectomycorrhizal fungi","terra",NA,"in situ","fungi","plant","plant soil",12,"20000 - 704930000",0.85,0.86,0.86,0.77,0.77,0.77,4.9,2.31,2.31,2,3,3,0.0000000000615,0.000000000000116,0.0000000000000901,6900000,6900000,6900000,40780.5956136493,258821.169586364,217877.189438304
19,39,2006,"Van der gast et al","Bacterial diversity is determined by volume in membrane bioreactors","aqua","fresh","in situ","bacteria","machine","machine",7,"15874.00926 - 2452190.32",0.96,0.96,0.96,0.87,0.88,0.88,21.58,9.2,9.29,1,7,8,0.000000000000124,0.000000000000000497,0.000000000000000375,22890625000,22890625000,22890625000,125.843143221366,26182.0894818667,34398.6524465459
20,40,2005,"Bell et al","Larger Islands House More Bacterial Taxa","aqua","fresh","in situ","bacteria","lacustrine","lacustrine fresh",29,"78.53981634 - 2642.079422",0.47,0.47,0.49,0.38,0.38,0.4,23.15,7.35,7.71,3,6,6,0.0000000732,0.00000000457,0.00000000375,490000,490000,490000,24.5116851783892,215.829540908141,219.494866024093
21,41,2005,"Reche et al","Does ecosytem size determine aquatic bacterial richness?","aqua","fresh","in situ","bacteria","lacustrine","lacustrine fresh",11,"1000000 - 210000000",0.23,0.23,0.24,-0.28,-0.28,-0.27,1.09,0.58,0.57,2,1,1,0.0000000000895,0.00000000000312,0.00000000000278,11550000,11550000,11550000,37814.5959410424,2820.11953971098,1683.10588758644
22,42,2005,"van der gast et al","Island size and bacterial diversity in an archipelago of engineering machines","aqua","fresh","in situ","bacteria","machine","machine",15,"436.5158322 - 3211.194909",0.74,0.78,0.78,0.64,0.69,0.69,27.04,7.03,6.9,2,1,1,0.000000000000834,0.0000000000000797,0.0000000000000734,22890625000,22890625000,22890625000,13.9351152395843,19.5236786641622,19.0587099430383
22,43,2005,"van der gast et al","Island size and bacterial diversity in an archipelago of engineering machines","aqua","fresh","in situ","bacteria","machine","machine",13,"436.5158322 - 3211.194909",0.86,0.89,0.89,0.79,0.83,0.83,17.16,6.04,5.94,1,1,1,0.00000000000115,0.000000000000115,0.000000000000107,22890625000,22890625000,22890625000,1.96655466668353,13.8189238072139,13.4211312363379
22,44,2005,"van der gast et al","Island size and bacterial diversity in an archipelago of engineering machines","aqua","fresh","in situ","bacteria","machine","machine",15,"436.5158322 - 3211.194909",0.81,0.84,0.84,0.74,0.78,0.78,28.25,7.31,7.18,2,1,1,0.000000000000896,0.0000000000000874,0.0000000000000805,22890625000,22890625000,22890625000,12.1504649540097,17.8218040765518,17.2727894114089
23,45,2005,"karatayev et al","Community analysis of Belarusian lakes: relationship of species diversity to morphology, hydrology and land use","aqua","fresh","in situ","algae","lacustrine","lacustrine fresh",541,"500 - 576500",0.1,0.1,0.1,0.09,0.09,0.09,11.95,6.05,6,28,35,35,0.0000325,0.000000724,0.00000051,3562,3562,3562,4464.65404729016,53828.9723931675,28054.4215372991
