"Sim_Num","R-Squared","EstTheta","EstMigration","EstNiches"
1,0.69,67.83,1.9,8.76176820253581e-06
2,0.75,72.57,1.75,2.14760180201783e-06
3,0.75,75.65,1.75,1.69605270686115e-05
4,0.76,72.96,1.68,5.52089628930671e-07
5,0.75,74.26,1.8,4.39138083601586e-06
6,0.73,72.84,1.86,5.72774560855247e-08
7,0.71,68.82,1.77,7.78049393038572e-06
8,0.74,75.57,1.89,9.73060246577228e-06
9,0.7,68.89,1.88,9.13727428945162e-06
10,0.77,74.44,1.67,6.82517503243733e-06
11,0.69,67.24,1.78,1.00706044901581e-05
12,0.71,73.46,2.05,2.59496848322234e-06
13,0.72,71.21,1.76,1.19128447057714e-05
14,0.77,74.65,1.7,5.0903549950405e-07
15,NA,NA,NA,NA
16,0.74,74.2,1.83,9.90307215169651e-06
17,0.72,72.13,1.83,6.01591472128003e-06
18,0.74,72.64,1.78,1.12660233516032e-05
19,0.77,76.69,1.75,3.47020732504142e-07
20,NA,NA,NA,NA
21,0.74,78.56,1.86,1.94856040888309e-10
22,0.71,74.23,2.05,4.69810434118726e-06
23,0.76,74.52,1.7,7.90783631700502e-06
24,0.73,73.08,1.81,8.11913053267977e-06
25,0.71,71.22,1.84,1.6747780803616e-05
26,0.77,77.66,1.75,9.06485764034673e-06
27,0.7,68.38,1.88,8.37048672064892e-06
28,0.75,75.73,1.76,7.94660980796167e-07
29,0.7,70.52,1.94,9.90535394436656e-06
30,0.74,74.95,1.83,1.02824373514063e-05
31,0.77,75.74,1.71,2.59729196832504e-06
32,0.73,69.81,1.73,1.25024161864634e-05
33,0.7,72.04,1.89,6.13206050798422e-06
34,0.76,74.67,1.67,7.00292482492506e-06
35,0.72,74.99,1.92,1.07241448820439e-05
36,0.72,69.46,1.71,8.51912132212787e-08
37,0.74,70.13,1.69,7.59525694031809e-06
38,0.77,76.27,1.73,5.71657716853323e-06
39,0.73,72.88,1.77,5.47792235359011e-08
40,0.76,77.31,1.82,2.55681203561452e-06
41,NA,NA,NA,NA
42,0.74,73.15,1.86,7.01007806297754e-06
43,0.74,73.37,1.77,1.72591069173656e-05
44,0.72,72.47,1.95,1.01612142258907e-07
45,0.77,75.52,1.7,3.5477050040492e-05
46,0.74,71.04,1.78,1.94370231777816e-06
47,0.72,67.11,1.72,4.58931317080161e-06
48,0.73,70.31,1.78,1.30594920302387e-05
49,0.75,76.31,1.9,2.13415130653986e-05
50,0.78,76.94,1.75,7.10943921504851e-07
51,0.71,69.01,1.8,9.51365564892396e-07
52,0.79,76.2,1.67,6.98095351147574e-06
53,0.72,71.03,1.86,4.68960977787256e-07
54,0.73,73.31,1.81,2.98619046423641e-07
55,0.7,68.57,1.81,2.08349888788051e-06
56,0.79,75.66,1.66,1.42830861609511e-07
57,0.79,78.38,1.74,6.60647457063018e-06
58,0.78,76.59,1.74,3.4493118076659e-06
59,0.75,70.88,1.72,7.28824791259641e-06
60,0.75,71.42,1.72,1.43596683604104e-05
61,0.78,77.32,1.75,6.50835833757417e-06
62,0.75,71.04,1.72,1.85694203991798e-07
63,0.73,71.13,1.8,8.45013078952246e-06
64,0.73,68.86,1.77,6.78525841986965e-06
65,0.74,74.84,1.86,1.2448034974747e-06
66,0.74,71.99,1.78,9.46968208663503e-06
67,NA,NA,NA,NA
68,0.76,73.09,1.68,1.2982435959886e-05
69,0.7,70.58,1.93,1.80667800028579e-05
70,0.71,69.82,1.82,2.21580880606866e-06
71,0.71,69.22,1.86,1.32665793916887e-05
72,0.68,65.65,1.84,5.05559138761635e-06
73,0.73,70.27,1.77,1.25469244707479e-06
74,0.8,79.87,1.76,6.74212921813342e-07
75,0.71,70.27,1.9,1.87585728089122e-06
76,0.73,76.9,1.98,1.60930744882344e-06
77,0.73,72.09,1.85,4.55480742400024e-06
78,0.72,68.3,1.74,5.71311698763954e-06
79,0.74,74.38,1.8,1.03997890193337e-05
80,0.75,74.37,1.72,2.76680831819025e-06
81,0.74,71.67,1.75,1.20448059611402e-05
82,0.74,73.62,1.85,4.1733998746692e-06
83,0.72,72.86,1.81,3.20790984196957e-07
84,0.74,75.98,1.88,3.4083036874441e-08
85,0.75,77.91,1.91,7.2446497788831e-06
86,0.76,76.51,1.73,7.39741842850261e-07
87,0.69,68.32,1.87,3.92798783644718e-08
88,0.72,70.36,1.77,8.54635821843443e-06
89,0.7,68.89,1.9,1.11696439134428e-05
90,0.69,71.24,1.98,7.80997780879312e-06
91,0.72,69.54,1.77,1.33893683908376e-05
92,0.76,71.91,1.65,9.64647275025994e-06
93,0.74,75.52,1.92,5.37203171518045e-06
94,0.78,75.27,1.65,6.63515602366057e-06
95,0.74,73.67,1.85,7.22048043230048e-06
96,0.76,78.11,1.81,1.00556000463923e-06
97,0.7,70.55,1.93,7.84581918537472e-07
98,0.71,71.84,1.86,5.03598822574921e-07
99,NA,NA,NA,NA
100,0.74,71.73,1.82,1.38415954836853e-06
101,0.75,72.7,1.8,1.09527209243864e-05
