"Area","Migration","SimRich","ModelRich"
10,0.001,1.03,1
20,0.001,2.09,2
30,0.001,2.97,3
40,0.001,4.19,4
50,0.001,5.08,5
60,0.001,6,6
70,0.001,6.84,7
80,0.001,7.72,8
90,0.001,8.76,9
100,0.001,9.82,10
110,0.001,10.5,11
120,0.001,11.81,12.01
130,0.001,12.14,13.01
140,0.001,12.86,14.01
150,0.001,14.08,15.01
160,0.001,14.61,16.01
170,0.001,15.73,17.01
180,0.001,16.21,18.01
190,0.001,17.05,19.01
200,0.001,17.88,20.01
10,0.002,1.08,1
20,0.002,2.08,2
30,0.002,3.16,3
40,0.002,4.02,4
50,0.002,4.98,5
60,0.002,5.99,6.01
70,0.002,6.77,7.01
80,0.002,7.45,8.01
90,0.002,8.43,9.01
100,0.002,9.34,10.01
110,0.002,10.19,11.01
120,0.002,10.75,12.01
130,0.002,11.59,13.01
140,0.002,12.15,14.01
150,0.002,13.12,15.01
160,0.002,13.75,16.01
170,0.002,14.51,17.01
180,0.002,15,18.02
190,0.002,15.85,19.02
200,0.002,16.51,20.02
10,0.003,1.14,1
20,0.003,2.18,2
30,0.003,3.2,3
40,0.003,4.18,4.01
50,0.003,5.11,5.01
60,0.003,5.88,6.01
70,0.003,6.52,7.01
80,0.003,7.51,8.01
90,0.003,8.35,9.01
100,0.003,8.97,10.01
110,0.003,9.94,11.01
120,0.003,10.56,12.02
130,0.003,11.54,13.02
140,0.003,12.23,14.02
150,0.003,12.58,15.02
160,0.003,12.96,16.02
170,0.003,14.03,17.02
180,0.003,14.72,18.02
190,0.003,15.32,19.02
200,0.003,15.7,20.03
10,0.004,1.19,1
20,0.004,2.12,2
30,0.004,3.23,3
40,0.004,4.14,4.01
50,0.004,5.14,5.01
60,0.004,5.97,6.01
70,0.004,6.99,7.01
80,0.004,7.57,8.01
90,0.004,7.99,9.01
100,0.004,8.93,10.02
110,0.004,9.82,11.02
120,0.004,10.32,12.02
130,0.004,11.23,13.02
140,0.004,11.49,14.02
150,0.004,12.38,15.02
160,0.004,13.02,16.03
170,0.004,13.5,17.03
180,0.004,14.36,18.03
190,0.004,14.71,19.03
200,0.004,15.58,20.03
10,0.005,1.16,1
20,0.005,2.19,2
30,0.005,3.37,3.01
