"Migration","SimRich","ModelRich"
0.001,1,1
0.001,2,2
0.001,3,3
0.001,4,4
0.001,5,5
0.001,5,6
0.001,9,7
0.001,8,8
0.001,8,9
0.001,11,10
0.001,12,11
0.001,11,12
0.001,14,13
0.001,13,14
0.001,14,15
0.001,13,16
0.001,17,17
0.001,14,18
0.001,19,19
0.001,22,20
0.002,1,1
0.002,2,2
0.002,3,3
0.002,4,4
0.002,4,5
0.002,7,6
0.002,9,7
0.002,6,8
0.002,10,9
0.002,8,10
0.002,11,11
0.002,10,12
0.002,14,13
0.002,12,14
0.002,18,15
0.002,12,16
0.002,15,17
0.002,14,18
0.002,16,19
0.002,16,20
0.003,1,1
0.003,3,2
0.003,3,3
0.003,5,4
0.003,4,5
0.003,6,6
0.003,8,7
0.003,8,8
0.003,9,9
0.003,7,10
0.003,11,11
0.003,11,12
0.003,14,13
0.003,12,14
0.003,13,15
0.003,12,16
0.003,13,17
0.003,13,18
0.003,17,19
0.003,13,20
0.004,1,1
0.004,2,2
0.004,3,3
0.004,5,4
0.004,4,5
0.004,6,6
0.004,11,7
0.004,8,8
0.004,9,9
0.004,10,10
0.004,12,11
0.004,14,12
0.004,9,13
0.004,13,14
0.004,16,15
0.004,13,16
0.004,13,17
0.004,12,18
0.004,16,19
0.004,20,20
0.005,1,1
0.005,2,2
0.005,4,3
0.005,4,4
0.005,6,5
0.005,5,6
0.005,7,7
0.005,8,8
0.005,9,9
0.005,11,10
0.005,10,11
0.005,10,12
0.005,13,13
0.005,12,14
0.005,12,15
0.005,13,16
0.005,10,17
0.005,11,18
0.005,20,19
0.005,18,20
0.006,2,1
0.006,2,2
0.006,3,3
0.006,4,4
0.006,5,5
0.006,5,6
0.006,7,7
0.006,11,8
0.006,9,9
0.006,7,10
0.006,11,11
0.006,11,12
0.006,12,13
0.006,10,14
0.006,14,15
0.006,15,16
0.006,15,17
0.006,16,18
0.006,15,19
0.006,20,20
0.007,2,1
0.007,2,2
0.007,3,3
0.007,6,4
0.007,4,5
0.007,5,6
0.007,7,7
0.007,9,8
0.007,7,9
0.007,9,10
0.007,8,11
0.007,12,12
0.007,11,13
0.007,11,14
0.007,10,15
0.007,13,16
0.007,14,17
0.007,11,18
0.007,19,19
0.007,14,20
0.008,1,1
0.008,2,2
0.008,4,3
0.008,5,4
0.008,4,5
0.008,6,6
0.008,9,7
0.008,6,8
0.008,8,9
0.008,10,10
0.008,11,11
0.008,15,12
0.008,12,13
0.008,12,14
0.008,12,15
0.008,13,16
0.008,16,17
0.008,13,18
0.008,16,19
0.008,11,20
0.009,1,1
0.009,3,2
0.009,4,3
0.009,5,4
0.009,5,5
0.009,5,6
0.009,9,7
0.009,8,8
0.009,8,9
0.009,11,10
0.009,9,11
0.009,9,12
0.009,13,13
0.009,13,14
0.009,12,15
0.009,15,16
0.009,13,17
0.009,14,18
0.009,17,19
0.009,19,20
0.01,1,1
0.01,3,2
0.01,4,3
0.01,5,4
0.01,6,5
0.01,5,6
0.01,6,7
0.01,9,8
0.01,9,9
0.01,7,10
0.01,11,11
0.01,10,12
0.01,10,13
0.01,13,14
0.01,15,15
0.01,15,16
0.01,14,17
0.01,16,18
0.01,14,19
0.01,10,20
0.011,1,1
0.011,3,2
0.011,5,3
0.011,2,4
0.011,5,5
0.011,6,6
0.011,11,7
0.011,8,8
0.011,10,9
0.011,7,10
0.011,11,11
0.011,9,12
0.011,13,13
0.011,13,14
0.011,12,15
0.011,15,16
0.011,12,17
0.011,12,18
0.011,13,19
0.011,20,20
0.012,1,1
0.012,2,2
0.012,6,3
0.012,6,4
0.012,5,5
0.012,8,6
0.012,5,7
0.012,7,8
0.012,10,9
0.012,12,10
0.012,12,11
0.012,10,12
0.012,12,13
0.012,12,14
0.012,14,15
0.012,13,16
0.012,13,17
0.012,16,18
0.012,13,19
0.012,16,20
0.013,1,1
0.013,3,2
0.013,4,3
0.013,3,4
0.013,5,5
0.013,9,6
0.013,9,7
0.013,8,8
0.013,9,9
0.013,9,10
0.013,11,11
0.013,14,12
0.013,12,13
0.013,15,14
0.013,12,15
0.013,13,16
0.013,14,17
0.013,12,18
0.013,14,19
0.013,15,20
0.014,2,1
0.014,4,2
0.014,4,3
0.014,5,4
0.014,7,5
0.014,6,6
0.014,9,7
0.014,8,8
0.014,9,9
0.014,8,10
0.014,10,11
0.014,13,12
0.014,16,13
0.014,16,14
0.014,12,15
0.014,14,16
0.014,15,17
0.014,16,18
0.014,14,19
0.014,16,20
0.015,1,1
0.015,3,2
0.015,3,3
0.015,6,4
0.015,4,5
0.015,7,6
0.015,7,7
0.015,6,8
0.015,10,9
0.015,14,10
0.015,10,11
0.015,10,12
0.015,11,13
0.015,15,14
0.015,16,15
0.015,12,16
0.015,17,17
0.015,16,18
0.015,15,19
0.015,14,20
0.016,2,1
0.016,2,2
0.016,5,3
0.016,6,4
0.016,6,5
0.016,7,6
0.016,6,7
0.016,8,8
0.016,6,9
0.016,12,10
0.016,10,11
0.016,12,12
0.016,17,13
0.016,11,14
0.016,10,15
0.016,18,16
0.016,16,17
0.016,17,18
0.016,17,19
0.016,16,20
0.017,2,1
0.017,3,2
0.017,5,3
0.017,7,4
0.017,6,5
0.017,10,6
0.017,6,7
0.017,7,8
0.017,8,9
0.017,9,10
0.017,11,11
0.017,10,12
0.017,14,13
0.017,13,14
0.017,10,15
0.017,14,16
0.017,16,17
0.017,16,18
0.017,16,19
0.017,18,20
0.018,1,1
0.018,2,2
0.018,4,3
0.018,6,4
0.018,8,5
0.018,10,6
0.018,6,7
0.018,9,8
0.018,11,9
0.018,11,10
0.018,17,11
0.018,11,12
0.018,12,13
0.018,16,14
0.018,12,15
0.018,15,16
0.018,15,17
0.018,14,18
0.018,15,19
0.018,19,20
0.019,2,1
0.019,2,2
0.019,4,3
0.019,5,4
0.019,8,5
0.019,9,6
0.019,9,7
0.019,7,8
0.019,8,9
0.019,11,10
0.019,13,11
0.019,11,12
0.019,14,13
0.019,13,14
0.019,14,15
0.019,18,16
0.019,14,17
0.019,19,18
0.019,17,19
0.019,21,20
0.02,1,1
0.02,3,2
0.02,6,3
0.02,4,4
0.02,7,5
0.02,8,6
0.02,11,7
0.02,6,8
0.02,13,9
0.02,10,10
0.02,11,11
0.02,13,12
0.02,15,13
0.02,13,14
0.02,13,15
0.02,15,16
0.02,15,17
0.02,14,18
0.02,19,19
0.02,17,20
0.021,1,1
0.021,3,2
0.021,4,3
0.021,7,4
0.021,7,5
0.021,9,6
0.021,9,7
0.021,8,8
0.021,12,9
0.021,11,10
0.021,13,11
0.021,13,12
0.021,13,13
0.021,16,14
0.021,12,15
0.021,15,16
0.021,16,17
0.021,19,18
0.021,16,19
0.021,22,20
0.022,2,1
0.022,3,2
0.022,4,3
0.022,7,4
0.022,6,5
0.022,9,6
0.022,7,7
