"ID","R^2","CriticalArea","m0","m_rate","k","theta"
1,0.25,31000,1,0.336,14424,411118396.65
1,0.25,31000,1,0.336,14424,411118396.65
3,0.27,9.72,1,0.376,6,143411.43
4,0.36,4070,1,0.564,120,19.49
5,0.03,164,1,0.411,60,43.95
6,0.5,6310,0.994,0.503,743,190.26
10,0.08,496,0.797,0.25,119,1110709.84
11,0.31,1200,0.456,0.174,145,120012.91
13,0.22,724,1,0.301,259,1027546.93
14,0.07,123,0.443,0.1,6,108521.05
21,0.5,26.6,0.833,0.381,17,179763.63
23,0.45,6.72,0.577,0.195,1,124397.09
26,0.16,222,1,0.311,70,180.73
27,0.74,7.41,1,0.49,10,323045.65
29,0.01,498,1,0.449,49,13.4
1,0.26,7330000,1,0.0121,9163,6450.65
2,0.49,14000,0.0654,0.0811,492,2204089.96
3,0.69,117000,0.00972,0.000216,3,20290.49
4,0.27,1390,1,0.204,109,83.4
5,0.11,13100,0.213,0.0109,32,37836.88
6,0.51,11400,0.788,0.111,650,2310071.16
9,0.91,7910000,0.679,0.368,142,10.96
10,0.49,1.08e+08,0.00167,9.52e-06,81,455.6
11,0.44,1.05e+13,0.86,0.0274,114,4.84
13,0.37,11600000,1,0.00395,118,19.46
14,0.07,123,0.443,0.1,6,108521.05
15,0,1.53e+38,0.283,0.00373,4,0.05
16,0.92,7810,0.315,0.426,171,31.85
17,0,8.71e+154,0.67,0.749,401,1.12
18,0.62,5380,0.221,0.65,37,4.3
19,0,30300,0.178,0.0515,30,6.8
21,0.85,479,0.361,0.031,3,4.1
23,0.47,2e+05,0.0372,0.00048,2,0.67
24,0,29400000,0.208,0.208,1353,128.18
25,0.32,5.46e+09,0.0939,0.163,7,0.33
26,0.25,52400000,0.0949,0.000405,41,6.85
27,0.99,528,0.142,0.0178,2,6.04
30,0.34,262,0.509,0.251,6,1.62
31,0.12,21800,0.0377,0.0693,22,4.47
