"simulation","date","timesteps","m0","area","Js","nu","K","sp_rich"
1,260520,39420,0.002,20,20,0.01,2,3
1,260520,39420,0.004,40,40,0.01,4,4
1,260520,39420,0.006,60,60,0.01,6,8
1,260520,39420,0.008,80,80,0.01,8,8
1,260520,39420,0.01,100,100,0.01,10,16
1,260520,39420,0.012,120,120,0.01,12,20
1,260520,39420,0.014,140,140,0.01,14,16
1,260520,39420,0.016,160,160,0.01,16,34
1,260520,39420,0.018,180,180,0.01,18,25
1,260520,39420,0.02,200,200,0.01,20,29
1,260520,39420,0.022,220,220,0.01,22,35
1,260520,39420,0.024,240,240,0.01,24,37
1,260520,39420,0.026,260,260,0.01,26,46
1,260520,39420,0.028,280,280,0.01,28,57
1,260520,39420,0.03,300,300,0.01,30,60
1,260520,39420,0.032,320,320,0.01,32,62
1,260520,39420,0.034,340,340,0.01,34,65
1,260520,39420,0.036,360,360,0.01,36,78
1,260520,39420,0.038,380,380,0.01,38,83
1,260520,39420,0.04,400,400,0.01,40,87
2,260520,39420,0.002,20,20,0.01,2,3
2,260520,39420,0.004,40,40,0.01,4,6
2,260520,39420,0.006,60,60,0.01,6,10
2,260520,39420,0.008,80,80,0.01,8,11
2,260520,39420,0.01,100,100,0.01,10,18
2,260520,39420,0.012,120,120,0.01,12,17
2,260520,39420,0.014,140,140,0.01,14,19
2,260520,39420,0.016,160,160,0.01,16,29
2,260520,39420,0.018,180,180,0.01,18,34
2,260520,39420,0.02,200,200,0.01,20,34
2,260520,39420,0.022,220,220,0.01,22,42
2,260520,39420,0.024,240,240,0.01,24,44
2,260520,39420,0.026,260,260,0.01,26,43
2,260520,39420,0.028,280,280,0.01,28,49
2,260520,39420,0.03,300,300,0.01,30,54
2,260520,39420,0.032,320,320,0.01,32,63
2,260520,39420,0.034,340,340,0.01,34,65
2,260520,39420,0.036,360,360,0.01,36,78
2,260520,39420,0.038,380,380,0.01,38,73
2,260520,39420,0.04,400,400,0.01,40,85
3,260520,39420,0.002,20,20,0.01,2,2
3,260520,39420,0.004,40,40,0.01,4,4
3,260520,39420,0.006,60,60,0.01,6,6
3,260520,39420,0.008,80,80,0.01,8,14
3,260520,39420,0.01,100,100,0.01,10,14
3,260520,39420,0.012,120,120,0.01,12,21
3,260520,39420,0.014,140,140,0.01,14,25
3,260520,39420,0.016,160,160,0.01,16,28
3,260520,39420,0.018,180,180,0.01,18,29
3,260520,39420,0.02,200,200,0.01,20,38
3,260520,39420,0.022,220,220,0.01,22,41
3,260520,39420,0.024,240,240,0.01,24,38
3,260520,39420,0.026,260,260,0.01,26,47
3,260520,39420,0.028,280,280,0.01,28,55
3,260520,39420,0.03,300,300,0.01,30,54
3,260520,39420,0.032,320,320,0.01,32,67
3,260520,39420,0.034,340,340,0.01,34,78
3,260520,39420,0.036,360,360,0.01,36,69
3,260520,39420,0.038,380,380,0.01,38,76
3,260520,39420,0.04,400,400,0.01,40,81
4,260520,39420,0.002,20,20,0.01,2,3
4,260520,39420,0.004,40,40,0.01,4,6
4,260520,39420,0.006,60,60,0.01,6,11
4,260520,39420,0.008,80,80,0.01,8,12
4,260520,39420,0.01,100,100,0.01,10,15
4,260520,39420,0.012,120,120,0.01,12,17
4,260520,39420,0.014,140,140,0.01,14,21
4,260520,39420,0.016,160,160,0.01,16,23
4,260520,39420,0.018,180,180,0.01,18,34
4,260520,39420,0.02,200,200,0.01,20,34
4,260520,39420,0.022,220,220,0.01,22,45
4,260520,39420,0.024,240,240,0.01,24,39
4,260520,39420,0.026,260,260,0.01,26,46
4,260520,39420,0.028,280,280,0.01,28,51
4,260520,39420,0.03,300,300,0.01,30,58
4,260520,39420,0.032,320,320,0.01,32,62
4,260520,39420,0.034,340,340,0.01,34,68
4,260520,39420,0.036,360,360,0.01,36,72
4,260520,39420,0.038,380,380,0.01,38,79
4,260520,39420,0.04,400,400,0.01,40,75
5,260520,39420,0.002,20,20,0.01,2,3
5,260520,39420,0.004,40,40,0.01,4,4
5,260520,39420,0.006,60,60,0.01,6,7
5,260520,39420,0.008,80,80,0.01,8,12
5,260520,39420,0.01,100,100,0.01,10,15
5,260520,39420,0.012,120,120,0.01,12,21
5,260520,39420,0.014,140,140,0.01,14,22
5,260520,39420,0.016,160,160,0.01,16,24
5,260520,39420,0.018,180,180,0.01,18,35
5,260520,39420,0.02,200,200,0.01,20,33
5,260520,39420,0.022,220,220,0.01,22,45
5,260520,39420,0.024,240,240,0.01,24,41
5,260520,39420,0.026,260,260,0.01,26,45
5,260520,39420,0.028,280,280,0.01,28,50
5,260520,39420,0.03,300,300,0.01,30,64
5,260520,39420,0.032,320,320,0.01,32,67
5,260520,39420,0.034,340,340,0.01,34,67
5,260520,39420,0.036,360,360,0.01,36,72
5,260520,39420,0.038,380,380,0.01,38,79
5,260520,39420,0.04,400,400,0.01,40,82
6,260520,39420,0.002,20,20,0.01,2,3
6,260520,39420,0.004,40,40,0.01,4,6
