"maxArea","Coefficients","Estimate","Standard.Error","t.value","p.value","R.Squared","Variate"
"400","(Intercept)",16.053,0.06,269.38,"$<$ 0.001",0.73,"Area"
"400","z.area",8.769,0.06,147.14,"$<$ 0.001",0.73,"Area"
"400","(Intercept)",16.053,0.058,274.892,"$<$ 0.001",0.741,"Niches"
"400","z.K_num",8.833,0.058,151.247,"$<$ 0.001",0.741,"Niches"
"200","(Intercept)",12.927,0.06,215.784,"$<$ 0.001",0.592,"Area"
"200","z.area",5.86,0.06,97.808,"$<$ 0.001",0.592,"Area"
"200","(Intercept)",12.927,0.043,297.728,"$<$ 0.001",0.786,"Niches"
"200","z.K_num",6.752,0.043,155.482,"$<$ 0.001",0.786,"Niches"
"133","(Intercept)",10.81,0.065,166.848,"$<$ 0.001",0.451,"Area"
"133","z.area",4.293,0.065,66.249,"$<$ 0.001",0.451,"Area"
"133","(Intercept)",10.81,0.034,319.284,"$<$ 0.001",0.85,"Niches"
"133","z.K_num",5.892,0.034,174.015,"$<$ 0.001",0.85,"Niches"
"100","(Intercept)",9.604,0.07,137.087,"$<$ 0.001",0.356,"Area"
"100","z.area",3.504,0.07,50.011,"$<$ 0.001",0.356,"Area"
"100","(Intercept)",9.604,0.028,339.576,"$<$ 0.001",0.895,"Niches"
"100","z.K_num",5.554,0.028,196.343,"$<$ 0.001",0.895,"Niches"
"80","(Intercept)",8.786,0.075,116.742,"$<$ 0.001",0.292,"Area"
"80","z.area",3.024,0.075,40.172,"$<$ 0.001",0.292,"Area"
"80","(Intercept)",8.786,0.024,358.88,"$<$ 0.001",0.925,"Niches"
"80","z.K_num",5.385,0.024,219.907,"$<$ 0.001",0.925,"Niches"
"66","(Intercept)",8.08,0.08,100.989,"$<$ 0.001",0.238,"Area"
"66","z.area",2.607,0.08,32.581,"$<$ 0.001",0.238,"Area"
"66","(Intercept)",8.08,0.021,378.485,"$<$ 0.001",0.946,"Niches"
"66","z.K_num",5.197,0.021,243.392,"$<$ 0.001",0.946,"Niches"
