"maxArea","Coefficients","Estimate","Standard.Error","t.value","p.value","R.Squared","Variate"
"400","(Intercept)",16.053,0.026,628.729,"$<$ 0.001",0.95,"Niche_Area_Migration"
"400","z.K_num",5.398,0.034,158.991,"$<$ 0.001",0.95,"Niche_Area_Migration"
"400","z.area",5.21,0.034,153.456,"$<$ 0.001",0.95,"Niche_Area_Migration"
"400","z.migration",2.591,0.026,101.462,"$<$ 0.001",0.95,"Niche_Area_Migration"
"400","(Intercept)",16.053,0.039,415.732,"$<$ 0.001",0.887,"Niche_Area"
"400","z.K_num",5.398,0.051,105.129,"$<$ 0.001",0.887,"Niche_Area"
"400","z.area",5.21,0.051,101.469,"$<$ 0.001",0.887,"Niche_Area"
"20","(Intercept)",5.49,0.005,1197.82,"$<$ 0.001",0.999,"Niche_Area_Migration"
"20","z.K_num",4.847,0.005,987.994,"$<$ 0.001",0.999,"Niche_Area_Migration"
"20","z.area",0.29,0.005,59.111,"$<$ 0.001",0.999,"Niche_Area_Migration"
"20","z.migration",0.173,0.005,37.807,"$<$ 0.001",0.999,"Niche_Area_Migration"
"20","(Intercept)",5.49,0.007,829.624,"$<$ 0.001",0.998,"Niche_Area"
"20","z.K_num",4.847,0.007,684.296,"$<$ 0.001",0.998,"Niche_Area"
"20","z.area",0.29,0.007,40.941,"$<$ 0.001",0.998,"Niche_Area"
