"fit.num","term","estimate","std.error","statistic","p.value","r.squared","migration.rates","niches","num.islands"
1,"theta",-0.977,0.085,-11.458,0,0.595,0.003,1,20
1,"m0",0,0,-0.032,0.975,0.595,0.003,1,20
1,"K",0.982,0.019,51.156,0,0.595,0.003,1,20
2,"theta",-0.208,0.085,-2.437,0.026,0.939,0.003,2,20
2,"m0",-0.039,0.011,-3.581,0.002,0.939,0.003,2,20
2,"K",1.991,0.016,127.945,0,0.939,0.003,2,20
3,"theta",32737.543,139741.993,0.234,0.818,0.917,0.003,3,20
3,"m0",0.016,0.001,13.542,0,0.917,0.003,3,20
3,"K",2.94,0.021,140.61,0,0.917,0.003,3,20
4,"theta",19496.607,217208.832,0.09,0.93,0.873,0.003,4,20
4,"m0",0.017,0.002,10.806,0,0.873,0.003,4,20
4,"K",3.948,0.032,122.231,0,0.873,0.003,4,20
5,"theta",15499.693,245747.613,0.063,0.95,0.931,0.003,5,20
5,"m0",0.02,0.001,13.963,0,0.931,0.003,5,20
5,"K",4.926,0.03,166.018,0,0.931,0.003,5,20
6,"theta",20813.938,225880.39,0.092,0.928,0.897,0.003,6,20
6,"m0",0.021,0.002,12.147,0,0.897,0.003,6,20
6,"K",5.931,0.042,141.637,0,0.897,0.003,6,20
7,"theta",30264.801,298604.27,0.101,0.92,0.93,0.003,7,20
7,"m0",0.025,0.002,14.955,0,0.93,0.003,7,20
7,"K",6.871,0.046,150.078,0,0.93,0.003,7,20
8,"theta",34984.188,344977.345,0.101,0.92,0.929,0.003,8,20
8,"m0",0.027,0.002,14.373,0,0.929,0.003,8,20
8,"K",7.841,0.052,150.879,0,0.929,0.003,8,20
9,"theta",25968.144,593835.271,0.044,0.966,0.932,0.003,9,20
9,"m0",0.028,0.002,15.178,0,0.932,0.003,9,20
9,"K",8.832,0.056,156.335,0,0.932,0.003,9,20
10,"theta",30430.889,295061.904,0.103,0.919,0.946,0.003,10,20
10,"m0",0.031,0.002,16.867,0,0.946,0.003,10,20
10,"K",9.796,0.057,172.281,0,0.946,0.003,10,20
11,"theta",24680.307,643900.373,0.038,0.97,0.968,0.003,11,20
11,"m0",0.032,0.001,22.633,0,0.968,0.003,11,20
11,"K",10.793,0.056,191.67,0,0.968,0.003,11,20
12,"theta",19008.479,890074.099,0.021,0.983,0.953,0.003,12,20
12,"m0",0.034,0.002,14.217,0,0.953,0.003,12,20
12,"K",11.769,0.066,179.502,0,0.953,0.003,12,20
13,"theta",31700.8,990675.617,0.032,0.975,0.941,0.003,13,20
13,"m0",0.036,0.002,16.048,0,0.941,0.003,13,20
13,"K",12.709,0.096,132.841,0,0.941,0.003,13,20
14,"theta",19504.404,1575486.341,0.012,0.99,0.945,0.003,14,20
14,"m0",0.037,0.002,16.919,0,0.945,0.003,14,20
14,"K",13.746,0.117,117.385,0,0.945,0.003,14,20
15,"theta",-1.447,0.265,-5.459,0,0.986,0.003,15,20
15,"m0",-0.11,0.013,-8.389,0,0.986,0.003,15,20
15,"K",14.92,0.052,284.518,0,0.986,0.003,15,20
16,"theta",28830.024,878866.818,0.033,0.974,0.953,0.003,16,20
16,"m0",0.037,0.002,18.453,0,0.953,0.003,16,20
16,"K",15.734,0.081,194.551,0,0.953,0.003,16,20
17,"theta",24011.596,925423.916,0.026,0.98,0.969,0.003,17,20
17,"m0",0.039,0.002,19.061,0,0.969,0.003,17,20
17,"K",16.713,0.076,219.218,0,0.969,0.003,17,20
18,"theta",42861.462,1387656.447,0.031,0.976,0.942,0.003,18,20
18,"m0",0.043,0.003,16.482,0,0.942,0.003,18,20
18,"K",17.598,0.121,145.424,0,0.942,0.003,18,20
19,"theta",36436.778,1499699.178,0.024,0.981,0.957,0.003,19,20
19,"m0",0.046,0.003,15.281,0,0.957,0.003,19,20
19,"K",18.597,0.117,158.797,0,0.957,0.003,19,20
20,"theta",29497.784,1176106.147,0.025,0.98,0.97,0.003,20,20
20,"m0",0.043,0.002,23.202,0,0.97,0.003,20,20
20,"K",19.631,0.084,234.399,0,0.97,0.003,20,20
21,"theta",-0.19,0.125,-1.523,0.146,0.866,0.006,1,20
21,"m0",-0.023,0.013,-1.692,0.109,0.866,0.006,1,20
21,"K",0.987,0.021,47.52,0,0.866,0.006,1,20
22,"theta",-0.58,0.279,-2.076,0.053,0.952,0.006,2,20
22,"m0",-0.022,0.013,-1.614,0.125,0.952,0.006,2,20
22,"K",1.978,0.027,73.889,0,0.952,0.006,2,20
23,"theta",13444.489,292747.222,0.046,0.964,0.922,0.006,3,20
23,"m0",0.032,0.002,13.656,0,0.922,0.006,3,20
23,"K",2.894,0.04,72.638,0,0.922,0.006,3,20
24,"theta",22819.289,282338.3,0.081,0.937,0.942,0.006,4,20
24,"m0",0.036,0.002,16.142,0,0.942,0.006,4,20
24,"K",3.889,0.047,82.485,0,0.942,0.006,4,20
25,"theta",82423.31,395353.951,0.208,0.837,0.941,0.006,5,20
25,"m0",0.044,0.003,15.946,0,0.941,0.006,5,20
25,"K",4.801,0.07,68.73,0,0.941,0.006,5,20
26,"theta",54525.692,427289.05,0.128,0.9,0.946,0.006,6,20
26,"m0",0.045,0.003,16.953,0,0.946,0.006,6,20
26,"K",5.793,0.07,83.257,0,0.946,0.006,6,20
27,"theta",54567.313,579224.632,0.094,0.926,0.952,0.006,7,20
27,"m0",0.05,0.003,17.228,0,0.952,0.006,7,20
27,"K",6.746,0.076,88.56,0,0.952,0.006,7,20
28,"theta",30600.03,516527.623,0.059,0.953,0.953,0.006,8,20
28,"m0",0.053,0.003,18.386,0,0.953,0.006,8,20
28,"K",7.706,0.085,90.243,0,0.953,0.006,8,20
29,"theta",56740.341,963034.734,0.059,0.954,0.97,0.006,9,20
29,"m0",0.058,0.003,20.117,0,0.97,0.006,9,20
29,"K",8.674,0.079,110.3,0,0.97,0.006,9,20
30,"theta",35177.184,761782.065,0.046,0.964,0.961,0.006,10,20
30,"m0",0.063,0.003,19.189,0,0.961,0.006,10,20
30,"K",9.593,0.101,95.068,0,0.961,0.006,10,20
31,"theta",27608.334,1825937.37,0.015,0.988,0.959,0.006,11,20
31,"m0",0.065,0.004,18.093,0,0.959,0.006,11,20
31,"K",10.554,0.114,92.983,0,0.959,0.006,11,20
32,"theta",52033.554,670748.607,0.078,0.939,0.962,0.006,12,20
32,"m0",0.066,0.004,16.538,0,0.962,0.006,12,20
32,"K",11.587,0.132,88.103,0,0.962,0.006,12,20
33,"theta",37841.56,862144.557,0.044,0.966,0.963,0.006,13,20
33,"m0",0.066,0.003,19.846,0,0.963,0.006,13,20
33,"K",12.561,0.16,78.486,0,0.963,0.006,13,20
34,"theta",48023.739,987401.496,0.049,0.962,0.961,0.006,14,20
34,"m0",0.072,0.004,20.185,0,0.961,0.006,14,20
34,"K",13.512,0.143,94.275,0,0.961,0.006,14,20
35,"theta",36063.44,1890188.151,0.019,0.985,0.961,0.006,15,20
35,"m0",0.074,0.004,18.763,0,0.961,0.006,15,20
35,"K",14.455,0.154,93.773,0,0.961,0.006,15,20
36,"theta",52629.764,737963.536,0.071,0.944,0.973,0.006,16,20
36,"m0",0.072,0.003,24.613,0,0.973,0.006,16,20
36,"K",15.501,0.123,125.85,0,0.973,0.006,16,20
37,"theta",74030.696,1146203.281,0.065,0.949,0.972,0.006,17,20
37,"m0",0.078,0.003,24.318,0,0.972,0.006,17,20
37,"K",16.426,0.141,116.883,0,0.972,0.006,17,20
38,"theta",98088.827,1022288.382,0.096,0.925,0.966,0.006,18,20
38,"m0",0.081,0.004,21.561,0,0.966,0.006,18,20
38,"K",17.352,0.162,107.267,0,0.966,0.006,18,20
39,"theta",43510.341,1771400.606,0.025,0.981,0.972,0.006,19,20
39,"m0",0.084,0.004,22.887,0,0.972,0.006,19,20
39,"K",18.315,0.155,118.18,0,0.972,0.006,19,20
40,"theta",48337.385,2586959.862,0.019,0.985,0.965,0.006,20,20
40,"m0",0.086,0.004,19.579,0,0.965,0.006,20,20
40,"K",19.305,0.208,92.956,0,0.965,0.006,20,20
41,"theta",15245.471,187403.228,0.081,0.936,0.833,0.009,1,20
41,"m0",0.03,0.003,9.094,0,0.833,0.009,1,20
41,"K",0.931,0.035,26.924,0,0.833,0.009,1,20
42,"theta",-0.755,0.365,-2.066,0.054,0.943,0.009,2,20
42,"m0",-0.019,0.015,-1.271,0.221,0.943,0.009,2,20
42,"K",1.982,0.041,48.51,0,0.943,0.009,2,20
43,"theta",-1.944,0.999,-1.945,0.068,0.959,0.009,3,20
43,"m0",-0.005,0.012,-0.449,0.659,0.959,0.009,3,20
43,"K",2.928,0.053,55.507,0,0.959,0.009,3,20
44,"theta",40275.397,431664.486,0.093,0.927,0.944,0.009,4,20
44,"m0",0.054,0.003,16.28,0,0.944,0.009,4,20
44,"K",3.796,0.071,53.425,0,0.944,0.009,4,20
45,"theta",-1.609,0.477,-3.374,0.004,0.973,0.009,5,20
