"","area","species","migration","niches","theta","SimOrAnalytic"
"1",20,20,0.05,20,101010.090909091,"simulation"
"2",40,21.8,0.05,20,101010.090909091,"simulation"
"3",60,24.19,0.05,20,101010.090909091,"simulation"
"4",80,26.68,0.05,20,101010.090909091,"simulation"
"5",100,29.29,0.05,20,101010.090909091,"simulation"
"6",120,32.12,0.05,20,101010.090909091,"simulation"
"7",140,35.26,0.05,20,101010.090909091,"simulation"
"8",160,37.21,0.05,20,101010.090909091,"simulation"
"9",180,40.55,0.05,20,101010.090909091,"simulation"
"10",200,43.56,0.05,20,101010.090909091,"simulation"
"11",220,46.89,0.05,20,101010.090909091,"simulation"
"12",240,49.92,0.05,20,101010.090909091,"simulation"
"13",260,52.38,0.05,20,101010.090909091,"simulation"
"14",280,55.83,0.05,20,101010.090909091,"simulation"
"15",300,58.29,0.05,20,101010.090909091,"simulation"
"16",320,61.67,0.05,20,101010.090909091,"simulation"
"17",340,65.25,0.05,20,101010.090909091,"simulation"
"18",360,67.82,0.05,20,101010.090909091,"simulation"
"19",380,70.95,0.05,20,101010.090909091,"simulation"
"20",400,73.62,0.05,20,101010.090909091,"simulation"
"21",420,77.48,0.05,20,101010.090909091,"simulation"
"22",440,80.85,0.05,20,101010.090909091,"simulation"
"23",460,81.22,0.05,20,101010.090909091,"simulation"
"24",480,85.27,0.05,20,101010.090909091,"simulation"
"25",500,89.26,0.05,20,101010.090909091,"simulation"
"26",520,92.09,0.05,20,101010.090909091,"simulation"
"27",540,94.23,0.05,20,101010.090909091,"simulation"
"28",560,99.45,0.05,20,101010.090909091,"simulation"
"29",580,102.69,0.05,20,101010.090909091,"simulation"
"30",600,104.95,0.05,20,101010.090909091,"simulation"
"31",620,108.61,0.05,20,101010.090909091,"simulation"
"32",640,112.36,0.05,20,101010.090909091,"simulation"
"33",660,115.47,0.05,20,101010.090909091,"simulation"
"34",680,117.6,0.05,20,101010.090909091,"simulation"
"35",700,120.99,0.05,20,101010.090909091,"simulation"
"36",720,123.77,0.05,20,101010.090909091,"simulation"
"37",740,127.24,0.05,20,101010.090909091,"simulation"
"38",760,129.71,0.05,20,101010.090909091,"simulation"
"39",780,133.7,0.05,20,101010.090909091,"simulation"
"40",800,135.5,0.05,20,101010.090909091,"simulation"
"41",820,137.6,0.05,20,101010.090909091,"simulation"
"42",840,142.41,0.05,20,101010.090909091,"simulation"
"43",860,146.13,0.05,20,101010.090909091,"simulation"
"44",880,147.78,0.05,20,101010.090909091,"simulation"
"45",900,152.39,0.05,20,101010.090909091,"simulation"
"46",920,157.53,0.05,20,101010.090909091,"simulation"
"47",940,155.99,0.05,20,101010.090909091,"simulation"
"48",960,159.12,0.05,20,101010.090909091,"simulation"
"49",980,163.07,0.05,20,101010.090909091,"simulation"
"50",1000,169.04,0.05,20,101010.090909091,"simulation"
"51",1020,169.7,0.05,20,101010.090909091,"simulation"
"52",1040,173.15,0.05,20,101010.090909091,"simulation"
"53",1060,176.87,0.05,20,101010.090909091,"simulation"
"54",1080,179.82,0.05,20,101010.090909091,"simulation"
"55",1100,182.77,0.05,20,101010.090909091,"simulation"
"56",1120,188.55,0.05,20,101010.090909091,"simulation"
"57",1140,188.95,0.05,20,101010.090909091,"simulation"
"58",1160,192.35,0.05,20,101010.090909091,"simulation"
"59",1180,194.34,0.05,20,101010.090909091,"simulation"
"60",1200,200.03,0.05,20,101010.090909091,"simulation"
"61",1220,203.16,0.05,20,101010.090909091,"simulation"
"62",1240,203.77,0.05,20,101010.090909091,"simulation"
"63",1260,205.27,0.05,20,101010.090909091,"simulation"
"64",1280,212.11,0.05,20,101010.090909091,"simulation"
"65",1300,214.68,0.05,20,101010.090909091,"simulation"
"66",1320,219.01,0.05,20,101010.090909091,"simulation"
"67",1340,221.51,0.05,20,101010.090909091,"simulation"
"68",1360,223.78,0.05,20,101010.090909091,"simulation"
"69",1380,228.33,0.05,20,101010.090909091,"simulation"
"70",1400,231.15,0.05,20,101010.090909091,"simulation"
"71",1420,232.49,0.05,20,101010.090909091,"simulation"
"72",1440,235.23,0.05,20,101010.090909091,"simulation"
"73",1460,239.81,0.05,20,101010.090909091,"simulation"
