"migration_rate","area","niches","mean_sp"
0.003,1,1,1
0.003,2,2,2
0.003,2,1,1
0.003,3,3,3
0.003,3,1,1.02
0.003,4,4,4
0.003,4,2,2.04
0.003,4,1,1
0.003,5,5,5
0.003,5,1,1.04
0.003,6,6,6
0.003,6,3,3
0.003,6,2,2.03
0.003,6,1,1.03
0.003,7,7,7
0.003,7,1,1.04
0.003,8,8,8
0.003,8,4,4.03
0.003,8,2,2.03
0.003,8,1,1.11
0.003,9,9,9
0.003,9,3,3.01
0.003,9,1,1.05
0.003,10,10,10
0.003,10,5,5
0.003,10,2,2.04
0.003,10,1,1.05
0.003,11,11,11
0.003,11,1,1.01
0.003,12,12,12
0.003,12,6,6.03
0.003,12,4,4.04
0.003,12,3,3.03
0.003,12,2,2.05
0.003,12,1,1.04
0.003,13,13,13
0.003,13,1,1.06
0.003,14,14,14
0.003,14,7,7.06
0.003,14,2,2.08
0.003,14,1,1.1
0.003,15,15,15
0.003,15,5,5.06
0.003,15,3,3.08
0.003,15,1,1.06
0.003,16,16,16
0.003,16,8,8.03
0.003,16,4,4.07
0.003,16,2,2.03
0.003,16,1,1.1
0.003,17,17,17
0.003,17,1,1.09
0.003,18,18,18
0.003,18,9,9.04
0.003,18,6,6.05
0.003,18,3,3.08
0.003,18,2,2.09
0.003,18,1,1.17
0.003,19,19,19
0.003,19,1,1.09
0.003,20,20,20
0.003,20,10,10.04
0.003,20,5,5.11
0.003,20,4,4.08
0.003,20,2,2.13
0.003,20,1,1.22
0.006,1,1,1
0.006,2,2,2
0.006,2,1,1
0.006,3,3,3
0.006,3,1,1.02
0.006,4,4,4
0.006,4,2,2.02
0.006,4,1,1.01
0.006,5,5,5
0.006,5,1,1.06
0.006,6,6,6
0.006,6,3,3.01
0.006,6,2,2.04
0.006,6,1,1.04
0.006,7,7,7
0.006,7,1,1.07
0.006,8,8,8
0.006,8,4,4.07
0.006,8,2,2.09
0.006,8,1,1.07
0.006,9,9,9
0.006,9,3,3.07
0.006,9,1,1.11
0.006,10,10,10
0.006,10,5,5.04
0.006,10,2,2.07
0.006,10,1,1.08
0.006,11,11,11
0.006,11,1,1.16
0.006,12,12,12
0.006,12,6,6.07
0.006,12,4,4.06
0.006,12,3,3.13
0.006,12,2,2.18
0.006,12,1,1.07
0.006,13,13,13
0.006,13,1,1.13
0.006,14,14,14
0.006,14,7,7.08
0.006,14,2,2.18
0.006,14,1,1.15
0.006,15,15,15
0.006,15,5,5.12
0.006,15,3,3.1
0.006,15,1,1.17
0.006,16,16,16
0.006,16,8,8.08
0.006,16,4,4.12
0.006,16,2,2.14
0.006,16,1,1.24
0.006,17,17,17
0.006,17,1,1.19
0.006,18,18,18
0.006,18,9,9.08
0.006,18,6,6.05
0.006,18,3,3.09
0.006,18,2,2.19
0.006,18,1,1.3
0.006,19,19,19
0.006,19,1,1.26
0.006,20,20,20
0.006,20,10,10.08
0.006,20,5,5.1
0.006,20,4,4.14
0.006,20,2,2.22
0.006,20,1,1.2
0.009,1,1,1
0.009,2,2,2
0.009,2,1,1
0.009,3,3,3
0.009,3,1,1.05
0.009,4,4,4
0.009,4,2,2.07
0.009,4,1,1.02
0.009,5,5,5
0.009,5,1,1.05
0.009,6,6,6
0.009,6,3,3.02
0.009,6,2,2.05
0.009,6,1,1.09
0.009,7,7,7
0.009,7,1,1.07
0.009,8,8,8
0.009,8,4,4.07
0.009,8,2,2.03
0.009,8,1,1.19
0.009,9,9,9
0.009,9,3,3.08
0.009,9,1,1.1
0.009,10,10,10
0.009,10,5,5.09
0.009,10,2,2.14
0.009,10,1,1.12
0.009,11,11,11
0.009,11,1,1.15
0.009,12,12,12
0.009,12,6,6.08
0.009,12,4,4.2
0.009,12,3,3.18
0.009,12,2,2.26
0.009,12,1,1.17
0.009,13,13,13
0.009,13,1,1.34
0.009,14,14,14
0.009,14,7,7.06
0.009,14,2,2.3
0.009,14,1,1.33
0.009,15,15,15
0.009,15,5,5.12
0.009,15,3,3.17
0.009,15,1,1.35
0.009,16,16,16
0.009,16,8,8.14
0.009,16,4,4.11
0.009,16,2,2.3
0.009,16,1,1.42
0.009,17,17,17
0.009,17,1,1.26
0.009,18,18,18
0.009,18,9,9.11
0.009,18,6,6.22
0.009,18,3,3.29
0.009,18,2,2.34
0.009,18,1,1.42
0.009,19,19,19
0.009,19,1,1.3
0.009,20,20,20
0.009,20,10,10.13
0.009,20,5,5.22
0.009,20,4,4.18
