"Mean","Range","Variance","Standard.Deviation","Standard.Error","maxArea","ModelOrSim"
16.053,"1 - 68",109.53,10.466,0.012,400,"SolmanSim"
17.599,"1 - 64.89",138.939,11.787,0.013,400,"ChisholmMod"
12.927,"1 - 50",60.927,7.806,0.01,200,"SolmanSim"
13.945,"1 - 42.3",70.514,8.397,0.01,200,"ChisholmMod"
10.81,"1 - 38",42.877,6.548,0.009,133,"SolmanSim"
11.512,"1 - 32.96",46.193,6.797,0.009,133,"ChisholmMod"
9.604,"1 - 35",36.038,6.003,0.009,100,"SolmanSim"
10.141,"1 - 29.5",37.232,6.102,0.009,100,"ChisholmMod"
8.786,"1 - 32",32.613,5.711,0.009,80,"SolmanSim"
9.216,"1 - 26.92",32.858,5.732,0.009,80,"ChisholmMod"
8.08,"1 - 31",29.587,5.439,0.009,66,"SolmanSim"
8.427,"1 - 24.4",29.306,5.414,0.009,66,"ChisholmMod"
7.65,"1 - 28",28.445,5.333,0.01,57,"SolmanSim"
7.949,"1 - 23.18",27.944,5.286,0.01,57,"ChisholmMod"
7.211,"1 - 26",26.533,5.151,0.01,50,"SolmanSim"
7.465,"1 - 22.03",25.889,5.088,0.01,50,"ChisholmMod"
6.913,"1 - 26",26.543,5.152,0.01,44,"SolmanSim"
7.135,"1 - 22.03",25.825,5.082,0.01,44,"ChisholmMod"
6.788,"1 - 26",26.791,5.176,0.011,40,"SolmanSim"
6.995,"1 - 22.03",26.054,5.104,0.011,40,"ChisholmMod"
6.469,"1 - 24",24.591,4.959,0.011,36,"SolmanSim"
6.656,"1 - 20",23.872,4.886,0.011,36,"ChisholmMod"
6.162,"1 - 21",23.371,4.834,0.011,33,"SolmanSim"
6.324,"1 - 20",22.653,4.76,0.011,33,"ChisholmMod"
5.998,"1 - 20",22.985,4.794,0.011,30,"SolmanSim"
6.148,"1 - 20",22.271,4.719,0.011,30,"ChisholmMod"
5.854,"1 - 20",22.989,4.795,0.012,28,"SolmanSim"
5.991,"1 - 20",22.277,4.72,0.011,28,"ChisholmMod"
5.723,"1 - 20",23.295,4.826,0.012,26,"SolmanSim"
5.846,"1 - 20",22.574,4.751,0.012,26,"ChisholmMod"
5.652,"1 - 20",22.998,4.796,0.012,25,"SolmanSim"
5.771,"1 - 20",22.283,4.721,0.012,25,"ChisholmMod"
5.551,"1 - 20",24.215,4.921,0.013,22,"SolmanSim"
5.656,"1 - 20",23.511,4.849,0.013,22,"ChisholmMod"
5.551,"1 - 20",24.215,4.921,0.013,22,"SolmanSim"
5.656,"1 - 20",23.511,4.849,0.013,22,"ChisholmMod"
5.5,"1 - 20",24.297,4.929,0.013,21,"SolmanSim"
5.601,"1 - 20",23.599,4.858,0.013,21,"ChisholmMod"
5.49,"1 - 20",24.902,4.99,0.014,20,"SolmanSim"
5.588,"1 - 20",24.201,4.919,0.014,20,"ChisholmMod"
