"Mean.Difference","t.value","p.value","df","conf..low","conf..high","method","alternative","maxArea"
-1.55,-511.01,"$<$ 0.001",799999,-1.55,-1.54,"Paired t-test","two.sided",400
-1.02,-410.82,"$<$ 0.001",659999,-1.02,-1.01,"Paired t-test","two.sided",200
-0.7,-320.19,"$<$ 0.001",533999,-0.71,-0.7,"Paired t-test","two.sided",133
-0.54,-262.28,"$<$ 0.001",451999,-0.54,-0.53,"Paired t-test","two.sided",100
-0.43,-221.76,"$<$ 0.001",391999,-0.43,-0.43,"Paired t-test","two.sided",80
-0.35,-187.13,"$<$ 0.001",339999,-0.35,-0.34,"Paired t-test","two.sided",66
-0.3,-165.35,"$<$ 0.001",305999,-0.3,-0.3,"Paired t-test","two.sided",57
-0.25,-144.39,"$<$ 0.001",273999,-0.26,-0.25,"Paired t-test","two.sided",50
-0.22,-129.43,"$<$ 0.001",247999,-0.22,-0.22,"Paired t-test","two.sided",44
-0.21,-122.78,"$<$ 0.001",235999,-0.21,-0.2,"Paired t-test","two.sided",40
-0.19,-111.95,"$<$ 0.001",215999,-0.19,-0.18,"Paired t-test","two.sided",36
-0.16,-99.53,"$<$ 0.001",193999,-0.17,-0.16,"Paired t-test","two.sided",33
-0.15,-92.8,"$<$ 0.001",181999,-0.15,-0.15,"Paired t-test","two.sided",30
-0.14,-85.61,"$<$ 0.001",169999,-0.14,-0.13,"Paired t-test","two.sided",28
-0.12,-78.25,"$<$ 0.001",157999,-0.13,-0.12,"Paired t-test","two.sided",26
-0.12,-75.71,"$<$ 0.001",153999,-0.12,-0.12,"Paired t-test","two.sided",25
-0.1,-68.09,"$<$ 0.001",139999,-0.11,-0.1,"Paired t-test","two.sided",22
-0.1,-68.09,"$<$ 0.001",139999,-0.11,-0.1,"Paired t-test","two.sided",22
-0.1,-66.22,"$<$ 0.001",135999,-0.1,-0.1,"Paired t-test","two.sided",21
-0.1,-64.1,"$<$ 0.001",131999,-0.1,-0.09,"Paired t-test","two.sided",20
