,Author,R-Squared,Theta,Immigration,Niches,Type
0,Bell et al,0.63,-46.65,-1.89,9.0,LogArea
0,Bell et al,0.77,8591.55,0.45,2.0,LogAreaSpecies
0,Bell et al,0.92,27.26,0.05,10.0,NoLog
1,Bolgovics et al,,,,,LogArea
1,Bolgovics et al,,,,,LogAreaSpecies
1,Bolgovics et al,,,,,NoLog
2,Glassman et al,0.17,-4.66,-4.76,4.0,LogArea
2,Glassman et al,0.18,820558.46,0.08,2.0,LogAreaSpecies
2,Glassman et al,0.16,1.73,0.96,22.0,NoLog
3,"Henebry, M. S. & Cairns, J.",,,,,LogArea
3,"Henebry, M. S. & Cairns, J.",0.07,-297.59,0.0,3.0,LogAreaSpecies
3,"Henebry, M. S. & Cairns, J.",0.17,-2.82,5.1,9.0,NoLog
4,Juttner et al,0.36,3702336.19,2.0,6.0,LogArea
4,Juttner et al,0.63,-0.08,-0.11,2.0,LogAreaSpecies
4,Juttner et al,0.69,1349958.36,0.01,1.0,NoLog
5,"Kavazos, C.",0.11,-44.45,-7.22,47.0,LogArea
5,"Kavazos, C.",0.09,2032926.03,0.05,2.0,LogAreaSpecies
5,"Kavazos, C.",0.49,240395.79,0.0,21.0,NoLog
6,Lindstrom & Leskinen,,,,,LogArea
6,Lindstrom & Leskinen,,,,,LogAreaSpecies
6,Lindstrom & Leskinen,,,,,NoLog
7,"Patrick, R.",0.17,7.74,1.48,90.0,LogArea
7,"Patrick, R.",,,,,LogAreaSpecies
7,"Patrick, R.",0.13,6.26,3.0,105.0,NoLog
8,Peay et al,0.58,16146950.8,1.27,25.0,LogArea
8,Peay et al,0.82,3700675.41,0.45,2.0,LogAreaSpecies
8,Peay et al,0.85,-11.22,-0.0,23.0,NoLog
9,Reche et al,,,,,LogArea
9,Reche et al,,,,,LogAreaSpecies
9,Reche et al,0.34,92190.09,0.05,8.0,NoLog
11,SYNTHETIC_DATA,0.41,-537.98,-0.33,42.0,LogArea
11,SYNTHETIC_DATA,0.42,1026317.85,1.12,3.0,LogAreaSpecies
11,SYNTHETIC_DATA,0.61,18756934.42,3.02,239.0,NoLog
10,Severin et al,,,,,LogArea
10,Severin et al,0.0,-4.92,0.0,5.0,LogAreaSpecies
10,Severin et al,,,,,NoLog
0,"Solman, A.",,,,,LogArea
1,"Solman, A.",,,,,LogArea
2,"Solman, A.",,,,,LogArea
0,"Solman, A.",,,,,LogAreaSpecies
1,"Solman, A.",,,,,LogAreaSpecies
2,"Solman, A.",,,,,LogAreaSpecies
0,"Solman, A.",,,,,NoLog
1,"Solman, A.",,,,,NoLog
2,"Solman, A.",,,,,NoLog
12,Varbiro et al,,,,,LogArea
12,Varbiro et al,,,,,LogAreaSpecies
12,Varbiro et al,,,,,NoLog
