"","Author","R-Squared","Theta","Immigration","Niches"
"1","Bell et al",0.627665020576047,-46.6529803307517,-1.89221671577047,9
"2","Bolgovics et al",NA,NA,NA,NA
"3","Glassman et al",0.165958942558234,-4.66048898889434,-4.76198178968354,4
"4","Henebry, M. S. & Cairns, J.",NA,NA,NA,NA
"5","Juttner et al",0.359631673900627,3702336.1928006,1.9961198089807,6
"6","Kavazos, C.",0.105132548756429,-44.4500697195997,-7.22050130722042,47
"7","Lindstrom & Leskinen",NA,NA,NA,NA
"8","Patrick, R.",0.165800015339094,7.73606750611926,1.4823035950091,90
"9","Peay et al",0.576946649527217,16146950.804615,1.26863622137746,25
"10","Reche et al",NA,NA,NA,NA
"11","Severin et al",NA,NA,NA,NA
"12","SYNTHETIC_DATA",0.407347134431007,-537.980007811278,-0.327316908548064,42
"13","Varbiro et al",NA,NA,NA,NA
