"","Author","R-Squared","Theta","Immigration","Niches"
"1","Bell et al",0.924464731420282,27.2634670857948,0.0464159728250625,10
"2","Bolgovics et al",NA,NA,NA,NA
"3","Glassman et al",0.162865614510172,1.72603814908009,0.960686930010923,22
"4","Henebry, M. S. & Cairns, J.",0.169878910253487,-2.8162021955519,5.0965926363164,9
"5","Juttner et al",0.692362271812797,1349958.3636021,0.0100796834281652,1
"6","Kavazos, C.",0.491970326355912,240395.787867222,0.00144395791186684,21
"7","Lindstrom & Leskinen",NA,NA,NA,NA
"8","Patrick, R.",0.126414012610369,6.26453870784227,2.99999936182795,105
"9","Peay et al",0.846873068244042,-11.2239801751103,-0.000396493780444002,23
"10","Reche et al",0.335805069033724,92190.090362397,0.0475632949167823,8
"11","Severin et al",NA,NA,NA,NA
"12","SYNTHETIC_DATA",0.60789267447489,18756934.4216134,3.01780191614211,239
"13","Varbiro et al",NA,NA,NA,NA
