"","Migration_Rates","Species_Richness"
"0.001",0.001,1
"0.002",0.002,1.05
"0.003",0.003,1.03
"0.004",0.004,1.07
"0.005",0.005,1.06
"0.006",0.006,1.1
"0.007",0.007,1.15
"0.008",0.008,1.11
"0.009",0.009,1.13
"0.01",0.01,1.14
"0.011",0.011,1.26
"0.012",0.012,1.27
"0.013",0.013,1.25
"0.014",0.014,1.26
"0.015",0.015,1.4
"0.016",0.016,1.36
"0.017",0.017,1.56
"0.018",0.018,1.39
"0.019",0.019,1.55
"0.02",0.02,1.59
"0.021",0.021,1.79
"0.022",0.022,1.63
"0.023",0.023,1.81
"0.024",0.024,1.68
"0.025",0.025,1.97
