"arch_num","niches","immigration","area","species"
1,1,0.003,1,4.5
1,1,0.003,2,3.8
1,1,0.003,3,1.7
1,1,0.003,4,1.6
1,1,0.003,5,2.5
1,1,0.003,6,2.5
1,1,0.003,7,2.1
1,1,0.003,8,1.4
1,1,0.003,9,1.3
1,1,0.003,10,1.3
1,1,0.003,11,1.6
1,1,0.003,12,1.4
1,1,0.003,13,3.4
1,1,0.003,14,2.1
1,1,0.003,15,2.1
1,1,0.003,16,1.6
1,1,0.003,17,1.9
1,1,0.003,18,1.7
1,1,0.003,19,2
1,1,0.003,20,1.2
1,1,0.003,21,1.4
1,1,0.003,22,3.1
1,1,0.003,23,1.2
1,1,0.003,24,2.1
1,1,0.003,25,2.5
1,1,0.003,26,1.9
1,1,0.003,27,1.3
1,1,0.003,28,2
1,1,0.003,29,1.5
1,1,0.003,30,1.9
2,2,0.003,2,6.6
2,2,0.003,4,4.6
2,2,0.003,6,4.9
2,2,0.003,8,4.9
2,2,0.003,10,2.9
2,2,0.003,12,4.6
2,2,0.003,14,5.9
2,2,0.003,16,3.6
2,2,0.003,18,5.7
2,2,0.003,20,3.6
2,2,0.003,22,2.6
2,2,0.003,24,2.7
2,2,0.003,26,4.3
2,2,0.003,28,3.4
2,2,0.003,30,2.6
2,2,0.003,32,3.4
2,2,0.003,34,2.6
2,2,0.003,36,2.7
2,2,0.003,38,2.9
2,2,0.003,40,2.9
2,2,0.003,42,2.9
2,2,0.003,44,2.8
2,2,0.003,46,3
2,2,0.003,48,3.3
2,2,0.003,50,5.6
2,2,0.003,52,3.7
2,2,0.003,54,4.2
2,2,0.003,56,3.1
2,2,0.003,58,3
2,2,0.003,60,2.6
3,3,0.003,3,11.4
3,3,0.003,6,7.6
3,3,0.003,9,5.2
3,3,0.003,12,4.5
3,3,0.003,15,5.1
3,3,0.003,18,5.2
3,3,0.003,21,5.7
3,3,0.003,24,5.5
3,3,0.003,27,4.1
3,3,0.003,30,4
3,3,0.003,33,4.9
3,3,0.003,36,4
3,3,0.003,39,3.8
3,3,0.003,42,4.8
3,3,0.003,45,4.5
3,3,0.003,48,4.6
3,3,0.003,51,4.2
3,3,0.003,54,5.4
3,3,0.003,57,3.4
3,3,0.003,60,4.2
3,3,0.003,63,4.7
3,3,0.003,66,3.3
3,3,0.003,69,5.2
3,3,0.003,72,7.3
3,3,0.003,75,4.6
3,3,0.003,78,5.4
3,3,0.003,81,7.3
3,3,0.003,84,4.8
3,3,0.003,87,4.3
3,3,0.003,90,5.6
4,4,0.003,4,11.2
4,4,0.003,8,9.4
4,4,0.003,12,7.2
4,4,0.003,16,6.8
4,4,0.003,20,5.7
4,4,0.003,24,6.8
4,4,0.003,28,6.7
4,4,0.003,32,7.2
4,4,0.003,36,7.9
4,4,0.003,40,5
4,4,0.003,44,7.4
4,4,0.003,48,7.3
4,4,0.003,52,4.9
4,4,0.003,56,4.9
4,4,0.003,60,6.1
4,4,0.003,64,8.1
4,4,0.003,68,6.1
4,4,0.003,72,6.5
4,4,0.003,76,5.9
4,4,0.003,80,5.2
4,4,0.003,84,8.2
4,4,0.003,88,6.3
4,4,0.003,92,8.1
4,4,0.003,96,6.6
4,4,0.003,100,7.9
4,4,0.003,104,8.2
4,4,0.003,108,5.9
4,4,0.003,112,6.9
4,4,0.003,116,8.1
4,4,0.003,120,8.5
5,5,0.003,5,12.8
5,5,0.003,10,10.5
5,5,0.003,15,11.5
5,5,0.003,20,11
5,5,0.003,25,10.9
5,5,0.003,30,10.8
5,5,0.003,35,9
5,5,0.003,40,9.3
5,5,0.003,45,7.7
5,5,0.003,50,8.1
5,5,0.003,55,9.2
5,5,0.003,60,7.9
5,5,0.003,65,6.5
5,5,0.003,70,7.9
5,5,0.003,75,8.2
5,5,0.003,80,10.3
5,5,0.003,85,7.1
5,5,0.003,90,8.4
5,5,0.003,95,6.6
5,5,0.003,100,7.3
5,5,0.003,105,9.3
5,5,0.003,110,8.1
5,5,0.003,115,7.8
5,5,0.003,120,7.7
5,5,0.003,125,8.4
5,5,0.003,130,12
5,5,0.003,135,9
5,5,0.003,140,5.9
5,5,0.003,145,9
5,5,0.003,150,9.3
6,6,0.003,6,17
6,6,0.003,12,17.7
6,6,0.003,18,12.7
6,6,0.003,24,13.8
6,6,0.003,30,13.6
6,6,0.003,36,9
6,6,0.003,42,8.3
6,6,0.003,48,11.7
6,6,0.003,54,8.6
6,6,0.003,60,7.5
6,6,0.003,66,12.7
6,6,0.003,72,7.7
6,6,0.003,78,9.4
6,6,0.003,84,9.2
6,6,0.003,90,9.6
6,6,0.003,96,9.4
6,6,0.003,102,8.3
6,6,0.003,108,11.5
6,6,0.003,114,10
6,6,0.003,120,10.8
6,6,0.003,126,10.5
6,6,0.003,132,9.6
6,6,0.003,138,9.1
6,6,0.003,144,10.4
6,6,0.003,150,11
6,6,0.003,156,11.6
6,6,0.003,162,11.3
6,6,0.003,168,10.4
6,6,0.003,174,11.1
6,6,0.003,180,10.6
7,7,0.003,7,17.1
