"sim_number","migration_rates","area","K_num","island_species"
"1","0.001","10","1","1"
"1","0.001","20","2","2"
"1","0.001","30","3","2"
"1","0.001","40","4","4"
"1","0.001","50","5","5"
"1","0.001","60","6","6"
"1","0.001","70","7","6"
"1","0.001","80","8","8"
"1","0.001","90","9","8"
"1","0.001","100","10","9"
"1","0.001","110","11","12"
"1","0.001","120","12","13"
"1","0.001","130","13","14"
"1","0.001","140","14","11"
"1","0.001","150","15","15"
"1","0.001","160","16","16"
"1","0.001","170","17","18"
"1","0.001","180","18","18"
"1","0.001","190","19","19"
"1","0.001","200","20","14"
"1","0.002","10","1","1"
"1","0.002","20","2","2"
"1","0.002","30","3","3"
"1","0.002","40","4","4"
"1","0.002","50","5","5"
"1","0.002","60","6","6"
"1","0.002","70","7","6"
"1","0.002","80","8","10"
"1","0.002","90","9","9"
"1","0.002","100","10","10"
"1","0.002","110","11","10"
"1","0.002","120","12","12"
"1","0.002","130","13","12"
"1","0.002","140","14","14"
"1","0.002","150","15","10"
"1","0.002","160","16","13"
"1","0.002","170","17","13"
"1","0.002","180","18","15"
"1","0.002","190","19","15"
"1","0.002","200","20","14"
"1","0.003","10","1","1"
"1","0.003","20","2","3"
"1","0.003","30","3","4"
"1","0.003","40","4","3"
"1","0.003","50","5","5"
"1","0.003","60","6","7"
"1","0.003","70","7","9"
"1","0.003","80","8","7"
"1","0.003","90","9","7"
"1","0.003","100","10","11"
"1","0.003","110","11","10"
"1","0.003","120","12","12"
"1","0.003","130","13","11"
"1","0.003","140","14","12"
"1","0.003","150","15","14"
"1","0.003","160","16","14"
"1","0.003","170","17","16"
"1","0.003","180","18","13"
"1","0.003","190","19","16"
"1","0.003","200","20","19"
"1","0.004","10","1","1"
"1","0.004","20","2","2"
"1","0.004","30","3","3"
"1","0.004","40","4","4"
"1","0.004","50","5","6"
"1","0.004","60","6","6"
"1","0.004","70","7","8"
"1","0.004","80","8","4"
"1","0.004","90","9","10"
"1","0.004","100","10","8"
"1","0.004","110","11","10"
"1","0.004","120","12","10"
"1","0.004","130","13","10"
"1","0.004","140","14","12"
"1","0.004","150","15","15"
"1","0.004","160","16","15"
"1","0.004","170","17","14"
"1","0.004","180","18","19"
"1","0.004","190","19","22"
"1","0.004","200","20","15"
"1","0.005","10","1","1"
"1","0.005","20","2","2"
"1","0.005","30","3","5"
"1","0.005","40","4","4"
"1","0.005","50","5","5"
"1","0.005","60","6","7"
"1","0.005","70","7","7"
"1","0.005","80","8","7"
"1","0.005","90","9","9"
"1","0.005","100","10","8"
"1","0.005","110","11","12"
"1","0.005","120","12","10"
"1","0.005","130","13","10"
"1","0.005","140","14","12"
"1","0.005","150","15","11"
"1","0.005","160","16","13"
"1","0.005","170","17","14"
"1","0.005","180","18","15"
"1","0.005","190","19","15"
"1","0.005","200","20","15"
"1","0.006","10","1","1"
"1","0.006","20","2","2"
"1","0.006","30","3","4"
"1","0.006","40","4","4"
"1","0.006","50","5","5"
"1","0.006","60","6","5"
"1","0.006","70","7","6"
"1","0.006","80","8","8"
"1","0.006","90","9","8"
"1","0.006","100","10","6"
"1","0.006","110","11","11"
"1","0.006","120","12","10"
"1","0.006","130","13","7"
"1","0.006","140","14","14"
"1","0.006","150","15","15"
"1","0.006","160","16","13"
"1","0.006","170","17","14"
"1","0.006","180","18","13"
"1","0.006","190","19","12"
"1","0.006","200","20","15"
"1","0.007","10","1","1"
"1","0.007","20","2","2"
"1","0.007","30","3","5"
"1","0.007","40","4","4"
"1","0.007","50","5","5"
"1","0.007","60","6","7"
"1","0.007","70","7","8"
"1","0.007","80","8","12"
"1","0.007","90","9","8"
"1","0.007","100","10","9"
"1","0.007","110","11","9"
"1","0.007","120","12","13"
"1","0.007","130","13","12"
"1","0.007","140","14","17"
"1","0.007","150","15","14"
"1","0.007","160","16","14"
"1","0.007","170","17","14"
"1","0.007","180","18","17"
"1","0.007","190","19","11"
"1","0.007","200","20","14"
"1","0.008","10","1","1"
"1","0.008","20","2","2"
"1","0.008","30","3","4"
"1","0.008","40","4","6"
"1","0.008","50","5","6"
"1","0.008","60","6","9"
"1","0.008","70","7","9"
"1","0.008","80","8","9"
"1","0.008","90","9","7"
"1","0.008","100","10","10"
"1","0.008","110","11","9"
"1","0.008","120","12","12"
"1","0.008","130","13","13"
"1","0.008","140","14","10"
"1","0.008","150","15","17"
"1","0.008","160","16","14"
"1","0.008","170","17","16"
"1","0.008","180","18","18"
"1","0.008","190","19","15"
"1","0.008","200","20","17"
"1","0.009","10","1","1"
"1","0.009","20","2","2"
"1","0.009","30","3","3"
"1","0.009","40","4","5"
"1","0.009","50","5","5"
"1","0.009","60","6","5"
"1","0.009","70","7","7"
"1","0.009","80","8","10"
"1","0.009","90","9","8"
"1","0.009","100","10","10"
"1","0.009","110","11","11"
"1","0.009","120","12","8"
"1","0.009","130","13","9"
"1","0.009","140","14","15"
"1","0.009","150","15","9"
"1","0.009","160","16","13"
"1","0.009","170","17","14"
"1","0.009","180","18","16"
"1","0.009","190","19","17"
"1","0.009","200","20","17"
"1","0.01","10","1","1"
"1","0.01","20","2","3"
"1","0.01","30","3","4"
"1","0.01","40","4","5"
"1","0.01","50","5","7"
"1","0.01","60","6","4"
"1","0.01","70","7","6"
"1","0.01","80","8","8"
"1","0.01","90","9","8"
"1","0.01","100","10","10"
"1","0.01","110","11","11"
"1","0.01","120","12","11"
"1","0.01","130","13","12"
"1","0.01","140","14","13"
"1","0.01","150","15","14"
"1","0.01","160","16","12"
"1","0.01","170","17","17"
"1","0.01","180","18","16"
"1","0.01","190","19","16"
"1","0.01","200","20","19"
"1","0.011","10","1","1"
"1","0.011","20","2","3"
"1","0.011","30","3","3"
"1","0.011","40","4","5"
"1","0.011","50","5","9"
"1","0.011","60","6","5"
"1","0.011","70","7","7"
"1","0.011","80","8","7"
"1","0.011","90","9","7"
"1","0.011","100","10","12"
"1","0.011","110","11","10"
"1","0.011","120","12","10"
"1","0.011","130","13","12"
"1","0.011","140","14","13"
"1","0.011","150","15","16"
"1","0.011","160","16","11"
"1","0.011","170","17","20"
"1","0.011","180","18","18"
"1","0.011","190","19","12"
"1","0.011","200","20","17"
"1","0.012","10","1","1"
"1","0.012","20","2","4"
"1","0.012","30","3","5"
"1","0.012","40","4","3"
"1","0.012","50","5","5"
"1","0.012","60","6","6"
"1","0.012","70","7","7"
"1","0.012","80","8","10"
"1","0.012","90","9","8"
"1","0.012","100","10","13"
"1","0.012","110","11","9"
"1","0.012","120","12","11"
"1","0.012","130","13","13"
"1","0.012","140","14","11"
"1","0.012","150","15","13"
"1","0.012","160","16","17"
"1","0.012","170","17","15"
"1","0.012","180","18","10"
"1","0.012","190","19","14"
"1","0.012","200","20","14"
"1","0.013","10","1","2"
"1","0.013","20","2","3"
"1","0.013","30","3","5"
"1","0.013","40","4","7"
"1","0.013","50","5","5"
"1","0.013","60","6","5"
"1","0.013","70","7","7"
"1","0.013","80","8","12"
"1","0.013","90","9","8"
"1","0.013","100","10","8"
"1","0.013","110","11","12"
"1","0.013","120","12","11"
"1","0.013","130","13","16"
"1","0.013","140","14","13"
"1","0.013","150","15","10"
"1","0.013","160","16","15"
"1","0.013","170","17","15"
"1","0.013","180","18","13"
"1","0.013","190","19","20"
"1","0.013","200","20","15"
"1","0.014","10","1","1"
"1","0.014","20","2","2"
"1","0.014","30","3","3"
"1","0.014","40","4","4"
"1","0.014","50","5","4"
"1","0.014","60","6","8"
"1","0.014","70","7","6"
"1","0.014","80","8","9"
"1","0.014","90","9","10"
"1","0.014","100","10","10"
"1","0.014","110","11","14"
"1","0.014","120","12","13"
"1","0.014","130","13","11"
"1","0.014","140","14","13"
"1","0.014","150","15","15"
"1","0.014","160","16","13"
"1","0.014","170","17","13"
"1","0.014","180","18","14"
"1","0.014","190","19","11"
"1","0.014","200","20","17"
"1","0.015","10","1","2"
"1","0.015","20","2","1"
"1","0.015","30","3","3"
"1","0.015","40","4","6"
"1","0.015","50","5","5"
"1","0.015","60","6","8"
"1","0.015","70","7","9"
"1","0.015","80","8","8"
"1","0.015","90","9","9"
"1","0.015","100","10","12"
"1","0.015","110","11","10"
"1","0.015","120","12","9"
"1","0.015","130","13","11"
"1","0.015","140","14","9"
"1","0.015","150","15","17"
"1","0.015","160","16","13"
"1","0.015","170","17","17"
"1","0.015","180","18","15"
"1","0.015","190","19","14"
"1","0.015","200","20","20"
"1","0.016","10","1","2"
"1","0.016","20","2","5"
"1","0.016","30","3","4"
"1","0.016","40","4","5"
"1","0.016","50","5","5"
"1","0.016","60","6","7"
"1","0.016","70","7","7"
"1","0.016","80","8","8"
"1","0.016","90","9","11"
"1","0.016","100","10","10"
"1","0.016","110","11","9"
"1","0.016","120","12","15"
"1","0.016","130","13","12"
"1","0.016","140","14","16"
"1","0.016","150","15","14"
"1","0.016","160","16","13"
"1","0.016","170","17","15"
"1","0.016","180","18","20"
"1","0.016","190","19","19"
"1","0.016","200","20","17"
"1","0.017","10","1","1"
"1","0.017","20","2","2"
"1","0.017","30","3","4"
"1","0.017","40","4","6"
"1","0.017","50","5","6"
"1","0.017","60","6","6"
"1","0.017","70","7","8"
"1","0.017","80","8","10"
"1","0.017","90","9","9"
"1","0.017","100","10","11"
"1","0.017","110","11","10"
"1","0.017","120","12","13"
"1","0.017","130","13","15"
"1","0.017","140","14","13"
"1","0.017","150","15","13"
"1","0.017","160","16","15"
"1","0.017","170","17","16"
"1","0.017","180","18","14"
"1","0.017","190","19","16"
"1","0.017","200","20","19"
"1","0.018","10","1","1"
"1","0.018","20","2","3"
"1","0.018","30","3","4"
