"maxArea","Coefficients","Estimate","Standard.Error","t.value","p.value","R.Squared","Variate"
"225","(Intercept)",7.591,0.035,216.471,"< 0.001",0.679,"Area"
"225","z.area",2.962,0.035,84.463,"< 0.001",0.679,"Area"
"225","(Intercept)",7.591,0.021,369.535,"< 0.001",0.89,"Niches"
"225","z.K_num",3.391,0.021,165.064,"< 0.001",0.89,"Niches"
"112","(Intercept)",6.556,0.04,163.135,"< 0.001",0.526,"Area"
"112","z.area",2.222,0.04,55.276,"< 0.001",0.526,"Area"
"112","(Intercept)",6.556,0.019,343.426,"< 0.001",0.893,"Niches"
"112","z.K_num",2.896,0.019,151.676,"< 0.001",0.893,"Niches"
"75","(Intercept)",5.785,0.047,122.608,"< 0.001",0.391,"Area"
"75","z.area",1.779,0.047,37.702,"< 0.001",0.391,"Area"
"75","(Intercept)",5.785,0.017,333.829,"< 0.001",0.918,"Niches"
"75","z.K_num",2.728,0.017,157.36,"< 0.001",0.918,"Niches"
"56","(Intercept)",5.307,0.053,100.571,"< 0.001",0.308,"Area"
"56","z.area",1.523,0.053,28.85,"< 0.001",0.308,"Area"
"56","(Intercept)",5.307,0.016,333.64,"< 0.001",0.937,"Niches"
"56","z.K_num",2.658,0.016,167.035,"< 0.001",0.937,"Niches"
"45","(Intercept)",4.969,0.058,85.199,"< 0.001",0.256,"Area"
"45","z.area",1.375,0.058,23.575,"< 0.001",0.256,"Area"
"45","(Intercept)",4.969,0.015,330.949,"< 0.001",0.951,"Niches"
"45","z.K_num",2.652,0.015,176.583,"< 0.001",0.951,"Niches"
"36","(Intercept)",4.629,0.064,72.846,"< 0.001",0.208,"Area"
"36","z.area",1.211,0.064,19.044,"< 0.001",0.208,"Area"
"36","(Intercept)",4.629,0.014,328.185,"< 0.001",0.961,"Niches"
"36","z.K_num",2.6,0.014,184.261,"< 0.001",0.961,"Niches"
"32","(Intercept)",4.454,0.068,65.529,"< 0.001",0.19,"Area"
"32","z.area",1.162,0.068,17.086,"< 0.001",0.19,"Area"
"32","(Intercept)",4.454,0.014,323.657,"< 0.001",0.967,"Niches"
"32","z.K_num",2.619,0.014,190.266,"< 0.001",0.967,"Niches"
"28","(Intercept)",4.287,0.071,59.975,"< 0.001",0.177,"Area"
"28","z.area",1.11,0.072,15.53,"< 0.001",0.177,"Area"
"28","(Intercept)",4.287,0.013,318.939,"< 0.001",0.971,"Niches"
"28","z.K_num",2.602,0.013,193.533,"< 0.001",0.971,"Niches"
"25","(Intercept)",4.088,0.074,55.107,"< 0.001",0.156,"Area"
"25","z.area",1.01,0.074,13.608,"< 0.001",0.156,"Area"
"25","(Intercept)",4.088,0.013,310.747,"< 0.001",0.973,"Niches"
"25","z.K_num",2.524,0.013,191.778,"< 0.001",0.973,"Niches"
"22","(Intercept)",3.946,0.079,49.701,"< 0.001",0.15,"Area"
"22","z.area",1,0.079,12.59,"< 0.001",0.15,"Area"
"22","(Intercept)",3.946,0.013,304.633,"< 0.001",0.977,"Niches"
"22","z.K_num",2.553,0.013,196.962,"< 0.001",0.977,"Niches"
