"maxArea","Coefficients","Estimate","Standard.Error","t.value","p.value","R.Squared","Variate"
"225","(Intercept)",7.591,0.01,735.91,"< 0.001",0.972,"Niche_Area_Migration"
"225","z.K_num",2.545,0.014,185.197,"< 0.001",0.972,"Niche_Area_Migration"
"225","z.area",1.281,0.014,93.234,"< 0.001",0.972,"Niche_Area_Migration"
"225","z.migration",0.374,0.01,36.239,"< 0.001",0.972,"Niche_Area_Migration"
"225","(Intercept)",7.591,0.012,624.376,"< 0.001",0.961,"Niche_Area"
"225","z.K_num",2.545,0.016,157.129,"< 0.001",0.961,"Niche_Area"
"225","z.area",1.281,0.016,79.103,"< 0.001",0.961,"Niche_Area"
"225","(Intercept)",7.591,0.021,369.535,"< 0.001",0.89,"Niche"
"225","z.K_num",3.391,0.021,165.064,"< 0.001",0.89,"Niche"
"112","(Intercept)",6.556,0.01,673.539,"< 0.001",0.972,"Niche_Area_Migration"
"112","z.K_num",2.388,0.011,208.565,"< 0.001",0.972,"Niche_Area_Migration"
"112","z.area",0.964,0.011,84.225,"< 0.001",0.972,"Niche_Area_Migration"
"112","z.migration",0.268,0.01,27.543,"< 0.001",0.972,"Niche_Area_Migration"
"112","(Intercept)",6.556,0.011,596.545,"< 0.001",0.965,"Niche_Area"
"112","z.K_num",2.388,0.013,184.724,"< 0.001",0.965,"Niche_Area"
"112","z.area",0.964,0.013,74.597,"< 0.001",0.965,"Niche_Area"
"112","(Intercept)",6.556,0.019,343.426,"< 0.001",0.893,"Niche"
"112","z.K_num",2.896,0.019,151.676,"< 0.001",0.893,"Niche"
"75","(Intercept)",5.785,0.01,600.239,"< 0.001",0.975,"Niche_Area_Migration"
"75","z.K_num",2.41,0.011,224.861,"< 0.001",0.975,"Niche_Area_Migration"
"75","z.area",0.725,0.011,67.641,"< 0.001",0.975,"Niche_Area_Migration"
"75","z.migration",0.188,0.01,19.478,"< 0.001",0.975,"Niche_Area_Migration"
"75","(Intercept)",5.785,0.01,554.76,"< 0.001",0.97,"Niche_Area"
"75","z.K_num",2.41,0.012,207.824,"< 0.001",0.97,"Niche_Area"
"75","z.area",0.725,0.012,62.516,"< 0.001",0.97,"Niche_Area"
"75","(Intercept)",5.785,0.017,333.829,"< 0.001",0.918,"Niche"
"75","z.K_num",2.728,0.017,157.36,"< 0.001",0.918,"Niche"
"56","(Intercept)",5.307,0.009,561.622,"< 0.001",0.978,"Niche_Area_Migration"
"56","z.K_num",2.433,0.01,237.31,"< 0.001",0.978,"Niche_Area_Migration"
"56","z.area",0.581,0.01,56.693,"< 0.001",0.978,"Niche_Area_Migration"
"56","z.migration",0.141,0.009,14.907,"< 0.001",0.978,"Niche_Area_Migration"
"56","(Intercept)",5.307,0.01,531.118,"< 0.001",0.975,"Niche_Area"
"56","z.K_num",2.433,0.011,224.421,"< 0.001",0.975,"Niche_Area"
"56","z.area",0.581,0.011,53.614,"< 0.001",0.975,"Niche_Area"
"56","(Intercept)",5.307,0.016,333.64,"< 0.001",0.937,"Niche"
"56","z.K_num",2.658,0.016,167.035,"< 0.001",0.937,"Niche"
"45","(Intercept)",4.969,0.01,510.865,"< 0.001",0.979,"Niche_Area_Migration"
"45","z.K_num",2.479,0.01,237.569,"< 0.001",0.979,"Niche_Area_Migration"
"45","z.area",0.481,0.01,46.054,"< 0.001",0.979,"Niche_Area_Migration"
"45","z.migration",0.106,0.01,10.883,"< 0.001",0.979,"Niche_Area_Migration"
"45","(Intercept)",4.969,0.01,493.267,"< 0.001",0.978,"Niche_Area"
"45","z.K_num",2.479,0.011,229.385,"< 0.001",0.978,"Niche_Area"
"45","z.area",0.481,0.011,44.467,"< 0.001",0.978,"Niche_Area"
"45","(Intercept)",4.969,0.015,330.949,"< 0.001",0.951,"Niche"
"45","z.K_num",2.652,0.015,176.583,"< 0.001",0.951,"Niche"
"36","(Intercept)",4.629,0.01,480.435,"< 0.001",0.982,"Niche_Area_Migration"
"36","z.K_num",2.469,0.01,241.858,"< 0.001",0.982,"Niche_Area_Migration"
"36","z.area",0.397,0.01,38.858,"< 0.001",0.982,"Niche_Area_Migration"
"36","z.migration",0.079,0.01,8.197,"< 0.001",0.982,"Niche_Area_Migration"
"36","(Intercept)",4.629,0.01,469.287,"< 0.001",0.981,"Niche_Area"
"36","z.K_num",2.469,0.01,236.246,"< 0.001",0.981,"Niche_Area"
"36","z.area",0.397,0.01,37.956,"< 0.001",0.981,"Niche_Area"
"36","(Intercept)",4.629,0.014,328.185,"< 0.001",0.961,"Niche"
"36","z.K_num",2.6,0.014,184.261,"< 0.001",0.961,"Niche"
"32","(Intercept)",4.454,0.01,444.162,"< 0.001",0.982,"Niche_Area_Migration"
"32","z.K_num",2.507,0.011,236.277,"< 0.001",0.982,"Niche_Area_Migration"
"32","z.area",0.346,0.011,32.578,"< 0.001",0.982,"Niche_Area_Migration"
"32","z.migration",0.062,0.01,6.211,"< 0.001",0.982,"Niche_Area_Migration"
"32","(Intercept)",4.454,0.01,437.592,"< 0.001",0.982,"Niche_Area"
"32","z.K_num",2.507,0.011,232.782,"< 0.001",0.982,"Niche_Area"
"32","z.area",0.346,0.011,32.096,"< 0.001",0.982,"Niche_Area"
"32","(Intercept)",4.454,0.014,323.657,"< 0.001",0.967,"Niche"
"32","z.K_num",2.619,0.014,190.266,"< 0.001",0.967,"Niche"
"28","(Intercept)",4.287,0.01,422.934,"< 0.001",0.983,"Niche_Area_Migration"
"28","z.K_num",2.504,0.011,233.879,"< 0.001",0.983,"Niche_Area_Migration"
"28","z.area",0.308,0.011,28.811,"< 0.001",0.983,"Niche_Area_Migration"
"28","z.migration",0.049,0.01,4.863,"< 0.001",0.983,"Niche_Area_Migration"
"28","(Intercept)",4.287,0.01,418.729,"< 0.001",0.983,"Niche_Area"
"28","z.K_num",2.504,0.011,231.554,"< 0.001",0.983,"Niche_Area"
"28","z.area",0.308,0.011,28.525,"< 0.001",0.983,"Niche_Area"
"28","(Intercept)",4.287,0.013,318.939,"< 0.001",0.971,"Niche"
"28","z.K_num",2.602,0.013,193.533,"< 0.001",0.971,"Niche"
"25","(Intercept)",4.088,0.01,410.003,"< 0.001",0.985,"Niche_Area_Migration"
"25","z.K_num",2.44,0.01,233.462,"< 0.001",0.985,"Niche_Area_Migration"
"25","z.area",0.282,0.01,26.985,"< 0.001",0.985,"Niche_Area_Migration"
"25","z.migration",0.041,0.01,4.111,"< 0.001",0.985,"Niche_Area_Migration"
"25","(Intercept)",4.088,0.01,406.789,"< 0.001",0.985,"Niche_Area"
"25","z.K_num",2.44,0.011,231.632,"< 0.001",0.985,"Niche_Area"
"25","z.area",0.282,0.011,26.773,"< 0.001",0.985,"Niche_Area"
"25","(Intercept)",4.088,0.013,310.747,"< 0.001",0.973,"Niche"
"25","z.K_num",2.524,0.013,191.778,"< 0.001",0.973,"Niche"
"22","(Intercept)",3.946,0.01,378.446,"< 0.001",0.985,"Niche_Area_Migration"
"22","z.K_num",2.479,0.011,226.192,"< 0.001",0.985,"Niche_Area_Migration"
"22","z.area",0.241,0.011,21.955,"< 0.001",0.985,"Niche_Area_Migration"
"22","z.migration",0.029,0.01,2.808,"< 0.001",0.985,"Niche_Area_Migration"
"22","(Intercept)",3.946,0.01,377.002,"< 0.001",0.985,"Niche_Area"
"22","z.K_num",2.479,0.011,225.329,"< 0.001",0.985,"Niche_Area"
"22","z.area",0.241,0.011,21.871,"< 0.001",0.985,"Niche_Area"
"22","(Intercept)",3.946,0.013,304.633,"< 0.001",0.977,"Niche"
"22","z.K_num",2.553,0.013,196.962,"< 0.001",0.977,"Niche"
