"fit.num","term","estimate","std.error","statistic","p.value","r.squared","migration.rates","niches","num.islands"
1,"theta",830.814,448295.261,0.002,0.999,0.789,0.003,1,100
1,"m0",0.019,0.007,2.521,0.022,0.789,0.003,1,100
1,"K",0.954,0.027,35.316,0,0.789,0.003,1,100
2,"theta",1130.915,312273.748,0.004,0.997,0.925,0.003,2,100
2,"m0",0.024,0.008,2.949,0.009,0.925,0.003,2,100
2,"K",1.882,0.026,72.925,0,0.925,0.003,2,100
3,"theta",1955.606,732981.016,0.003,0.998,0.875,0.003,3,100
3,"m0",0.028,0.01,2.869,0.011,0.875,0.003,3,100
3,"K",2.752,0.056,48.785,0,0.875,0.003,3,100
4,"theta",1990.159,627816.142,0.003,0.998,0.934,0.003,4,100
4,"m0",0.032,0.012,2.731,0.014,0.934,0.003,4,100
4,"K",3.587,0.046,77.566,0,0.934,0.003,4,100
5,"theta",1337.221,428269.262,0.003,0.998,0.957,0.003,5,100
5,"m0",0.032,0.022,1.465,0.161,0.957,0.003,5,100
5,"K",4.45,0.039,114.639,0,0.957,0.003,5,100
6,"theta",1982.521,582853.439,0.003,0.997,0.943,0.003,6,100
6,"m0",0.033,0.016,2.061,0.055,0.943,0.003,6,100
6,"K",5.22,0.057,91.847,0,0.943,0.003,6,100
7,"theta",3032.461,664148.077,0.005,0.996,0.913,0.003,7,100
7,"m0",0.034,0.01,3.45,0.003,0.913,0.003,7,100
7,"K",5.988,0.085,70.201,0,0.913,0.003,7,100
8,"theta",6110.74,1498653.948,0.004,0.997,0.871,0.003,8,100
8,"m0",0.036,0.006,5.543,0,0.871,0.003,8,100
8,"K",6.689,0.112,59.479,0,0.871,0.003,8,100
9,"theta",3185.311,1005189.555,0.003,0.998,0.954,0.003,9,100
9,"m0",0.038,0.018,2.066,0.054,0.954,0.003,9,100
9,"K",7.417,0.077,96.543,0,0.954,0.003,9,100
10,"theta",3616.28,913146.066,0.004,0.997,0.941,0.003,10,100
10,"m0",0.039,0.015,2.666,0.016,0.941,0.003,10,100
10,"K",7.983,0.09,88.412,0,0.941,0.003,10,100
11,"theta",11320.357,1179030.635,0.01,0.992,0.93,0.003,11,100
11,"m0",0.04,0.003,13.098,0,0.93,0.003,11,100
11,"K",8.668,0.108,80.192,0,0.93,0.003,11,100
12,"theta",4572.048,1117016.253,0.004,0.997,0.943,0.003,12,100
12,"m0",0.039,0.013,3.07,0.007,0.943,0.003,12,100
12,"K",9.425,0.12,78.269,0,0.943,0.003,12,100
13,"theta",9192.775,972937.542,0.009,0.993,0.946,0.003,13,100
13,"m0",0.042,0.004,11.48,0,0.946,0.003,13,100
13,"K",10.012,0.096,104.409,0,0.946,0.003,13,100
14,"theta",10529.882,1105270.288,0.01,0.993,0.972,0.003,14,100
14,"m0",0.04,0.004,11.016,0,0.972,0.003,14,100
14,"K",10.647,0.073,146.183,0,0.972,0.003,14,100
15,"theta",9463.398,1271801.656,0.007,0.994,0.948,0.003,15,100
15,"m0",0.043,0.005,8.92,0,0.948,0.003,15,100
15,"K",11.174,0.117,95.693,0,0.948,0.003,15,100
16,"theta",10546.073,2203745.904,0.005,0.996,0.901,0.003,16,100
16,"m0",0.041,0.008,5.171,0,0.901,0.003,16,100
16,"K",11.801,0.25,47.122,0,0.901,0.003,16,100
17,"theta",7391.261,1521134.821,0.005,0.996,0.917,0.003,17,100
17,"m0",0.037,0.008,4.718,0,0.917,0.003,17,100
17,"K",12.595,0.14,90.052,0,0.917,0.003,17,100
18,"theta",7418.234,1686374.588,0.004,0.997,0.924,0.003,18,100
18,"m0",0.04,0.011,3.671,0.002,0.924,0.003,18,100
18,"K",13.041,0.207,63.114,0,0.924,0.003,18,100
19,"theta",6427.072,1565255.627,0.004,0.997,0.941,0.003,19,100
19,"m0",0.041,0.014,2.953,0.009,0.941,0.003,19,100
19,"K",13.609,0.124,109.608,0,0.941,0.003,19,100
20,"theta",13364.925,1538381.635,0.009,0.993,0.921,0.003,20,100
20,"m0",0.035,0.003,11.032,0,0.921,0.003,20,100
20,"K",14.453,0.126,114.292,0,0.921,0.003,20,100
21,"theta",2645.52,385886.632,0.007,0.995,0.823,0.006,1,100
21,"m0",0.032,0.004,8.37,0,0.823,0.006,1,100
21,"K",0.919,0.039,23.381,0,0.823,0.006,1,100
22,"theta",1753.296,405400.857,0.004,0.997,0.939,0.006,2,100
22,"m0",0.039,0.008,4.987,0,0.939,0.006,2,100
22,"K",1.858,0.037,50.893,0,0.939,0.006,2,100
23,"theta",2591.49,527864.992,0.005,0.996,0.957,0.006,3,100
23,"m0",0.045,0.009,5.234,0,0.957,0.006,3,100
23,"K",2.664,0.076,35.244,0,0.957,0.006,3,100
24,"theta",3294.502,987602.968,0.003,0.997,0.948,0.006,4,100
24,"m0",0.052,0.013,3.951,0.001,0.948,0.006,4,100
24,"K",3.368,0.095,35.306,0,0.948,0.006,4,100
25,"theta",7148.343,1075427.844,0.007,0.995,0.948,0.006,5,100
25,"m0",0.054,0.005,10.072,0,0.948,0.006,5,100
25,"K",4.137,0.106,38.871,0,0.948,0.006,5,100
26,"theta",4955.809,1374989.685,0.004,0.997,0.949,0.006,6,100
26,"m0",0.057,0.012,4.582,0,0.949,0.006,6,100
26,"K",4.871,0.089,54.444,0,0.949,0.006,6,100
27,"theta",5924.556,1047577.749,0.006,0.996,0.961,0.006,7,100
27,"m0",0.053,0.006,8.146,0,0.961,0.006,7,100
27,"K",5.622,0.076,74.192,0,0.961,0.006,7,100
28,"theta",11610.611,1435258.827,0.008,0.994,0.925,0.006,8,100
28,"m0",0.051,0.005,10.988,0,0.925,0.006,8,100
28,"K",6.319,0.109,58.185,0,0.925,0.006,8,100
29,"theta",5862.91,1464640.362,0.004,0.997,0.934,0.006,9,100
29,"m0",0.055,0.012,4.404,0,0.934,0.006,9,100
29,"K",6.878,0.169,40.667,0,0.934,0.006,9,100
30,"theta",13921.324,1138389.385,0.012,0.99,0.956,0.006,10,100
30,"m0",0.057,0.003,16.305,0,0.956,0.006,10,100
30,"K",7.519,0.126,59.808,0,0.956,0.006,10,100
31,"theta",6202.4,1711358.371,0.004,0.997,0.934,0.006,11,100
31,"m0",0.054,0.015,3.607,0.002,0.934,0.006,11,100
31,"K",8.209,0.13,63.108,0,0.934,0.006,11,100
32,"theta",9382.354,1811507.912,0.005,0.996,0.949,0.006,12,100
32,"m0",0.059,0.008,7.57,0,0.949,0.006,12,100
32,"K",8.583,0.163,52.724,0,0.949,0.006,12,100
33,"theta",11103.814,1714751.373,0.006,0.995,0.95,0.006,13,100
33,"m0",0.061,0.006,11.01,0,0.95,0.006,13,100
33,"K",9.155,0.137,66.774,0,0.95,0.006,13,100
34,"theta",11857.544,1845712.122,0.006,0.995,0.949,0.006,14,100
34,"m0",0.057,0.006,8.871,0,0.949,0.006,14,100
34,"K",9.806,0.154,63.727,0,0.949,0.006,14,100
35,"theta",5117.348,1229780.583,0.004,0.997,0.95,0.006,15,100
35,"m0",0.052,0.018,2.873,0.011,0.95,0.006,15,100
35,"K",10.534,0.154,68.328,0,0.95,0.006,15,100
36,"theta",18783.284,2000725.379,0.009,0.993,0.946,0.006,16,100
36,"m0",0.059,0.004,14.249,0,0.946,0.006,16,100
36,"K",10.734,0.18,59.729,0,0.946,0.006,16,100
37,"theta",12503.889,2906731.97,0.004,0.997,0.946,0.006,17,100
37,"m0",0.058,0.008,7.396,0,0.946,0.006,17,100
37,"K",11.25,0.173,64.99,0,0.946,0.006,17,100
38,"theta",16630.837,1502211.983,0.011,0.991,0.953,0.006,18,100
38,"m0",0.058,0.004,15.186,0,0.953,0.006,18,100
38,"K",11.772,0.151,77.956,0,0.953,0.006,18,100
39,"theta",11012.902,1821526.775,0.006,0.995,0.959,0.006,19,100
39,"m0",0.058,0.009,6.78,0,0.959,0.006,19,100
39,"K",12.106,0.196,61.776,0,0.959,0.006,19,100
40,"theta",-3.079,0.662,-4.652,0,0.984,0.006,20,100
40,"m0",-0.057,0.012,-4.569,0,0.984,0.006,20,100
40,"K",13.045,0.12,108.945,0,0.984,0.006,20,100
41,"theta",3202.263,275948.808,0.012,0.991,0.901,0.009,1,100
41,"m0",0.042,0.004,10.742,0,0.901,0.009,1,100
41,"K",0.92,0.048,19.355,0,0.901,0.009,1,100
42,"theta",1919.222,504738.618,0.004,0.997,0.932,0.009,2,100
42,"m0",0.052,0.012,4.21,0.001,0.932,0.009,2,100
42,"K",1.803,0.05,35.717,0,0.932,0.009,2,100
43,"theta",4513.273,653240.642,0.007,0.995,0.956,0.009,3,100
43,"m0",0.059,0.005,10.876,0,0.956,0.009,3,100
43,"K",2.635,0.058,45.508,0,0.956,0.009,3,100
44,"theta",13085.473,529904.742,0.025,0.981,0.955,0.009,4,100
44,"m0",0.065,0.004,17.285,0,0.955,0.009,4,100
44,"K",3.365,0.076,44.526,0,0.955,0.009,4,100
45,"theta",17355.61,654420.51,0.027,0.979,0.939,0.009,5,100
45,"m0",0.068,0.004,15.47,0,0.939,0.009,5,100
45,"K",4.105,0.107,38.235,0,0.939,0.009,5,100
46,"theta",13156.03,1245539.311,0.011,0.992,0.967,0.009,6,100
46,"m0",0.073,0.004,19.647,0,0.967,0.009,6,100
46,"K",4.713,0.095,49.562,0,0.967,0.009,6,100
47,"theta",25873.475,672926.926,0.038,0.97,0.954,0.009,7,100
47,"m0",0.071,0.004,17.9,0,0.954,0.009,7,100
47,"K",5.471,0.114,48.076,0,0.954,0.009,7,100
48,"theta",6781.576,1331722.432,0.005,0.996,0.955,0.009,8,100
48,"m0",0.071,0.011,6.695,0,0.955,0.009,8,100
48,"K",6.067,0.118,51.415,0,0.955,0.009,8,100
49,"theta",8784.254,1330043.582,0.007,0.995,0.955,0.009,9,100
49,"m0",0.071,0.007,9.875,0,0.955,0.009,9,100
49,"K",6.694,0.131,51.192,0,0.955,0.009,9,100
50,"theta",18442.609,1790217.277,0.01,0.992,0.954,0.009,10,100
50,"m0",0.07,0.004,17.769,0,0.954,0.009,10,100
50,"K",7.292,0.139,52.469,0,0.954,0.009,10,100
51,"theta",13793.993,1773081.194,0.008,0.994,0.973,0.009,11,100
51,"m0",0.074,0.006,11.721,0,0.973,0.009,11,100
51,"K",7.751,0.122,63.617,0,0.973,0.009,11,100
52,"theta",23808.326,1086238.779,0.022,0.983,0.972,0.009,12,100
52,"m0",0.07,0.003,23.623,0,0.972,0.009,12,100
52,"K",8.342,0.151,55.306,0,0.972,0.009,12,100
53,"theta",17488.127,2846020.808,0.006,0.995,0.93,0.009,13,100
53,"m0",0.074,0.008,8.755,0,0.93,0.009,13,100
53,"K",8.685,0.244,35.55,0,0.93,0.009,13,100
54,"theta",7769.542,2761131.814,0.003,0.998,0.941,0.009,14,100
54,"m0",0.07,0.021,3.263,0.005,0.941,0.009,14,100
54,"K",9.42,0.181,51.994,0,0.941,0.009,14,100
55,"theta",9659.543,1574563.736,0.006,0.995,0.972,0.009,15,100
55,"m0",0.071,0.01,6.813,0,0.972,0.009,15,100
55,"K",9.939,0.167,59.407,0,0.972,0.009,15,100
56,"theta",14136.861,3055365.471,0.005,0.996,0.955,0.009,16,100
56,"m0",0.074,0.009,7.908,0,0.955,0.009,16,100
56,"K",10.199,0.289,35.244,0,0.955,0.009,16,100
57,"theta",20169.475,1464512.804,0.014,0.989,0.977,0.009,17,100
57,"m0",0.068,0.004,18.669,0,0.977,0.009,17,100
57,"K",10.901,0.123,88.765,0,0.977,0.009,17,100
58,"theta",25427.118,1936892.997,0.013,0.99,0.96,0.009,18,100
58,"m0",0.074,0.004,16.766,0,0.96,0.009,18,100
58,"K",11.039,0.181,61.129,0,0.96,0.009,18,100
59,"theta",11937.391,1862615.783,0.006,0.995,0.971,0.009,19,100
59,"m0",0.066,0.008,7.876,0,0.971,0.009,19,100
59,"K",11.863,0.189,62.904,0,0.971,0.009,19,100
60,"theta",13649.206,2329368.418,0.006,0.995,0.968,0.009,20,100
