"Area","Species","ModelOrSim"
1,1.80543121660352,"Chisholm Model"
2,2.2010884089829,"Chisholm Model"
3,2.47596009917079,"Chisholm Model"
4,2.7048606251042,"Chisholm Model"
5,2.90773325610875,"Chisholm Model"
6,3.09302990349995,"Chisholm Model"
7,3.2652581976339,"Chisholm Model"
8,3.42717602159433,"Chisholm Model"
9,3.58063007507498,"Chisholm Model"
10,3.72693757985741,"Chisholm Model"
11,3.86708268167919,"Chisholm Model"
12,4.00182709266052,"Chisholm Model"
13,4.13177691400465,"Chisholm Model"
14,4.25742527526935,"Chisholm Model"
15,4.37918077891144,"Chisholm Model"
16,4.49738718291688,"Chisholm Model"
18,4.72428399989223,"Chisholm Model"
20,4.94001752811926,"Chisholm Model"
22,5.14604780516963,"Chisholm Model"
24,5.34352841885089,"Chisholm Model"
26,5.53339194995168,"Chisholm Model"
28,5.716406545489,"Chisholm Model"
30,5.89321484046934,"Chisholm Model"
21,5.04416747061519,"Chisholm Model"
27,5.62571262603153,"Chisholm Model"
33,6.14796044447688,"Chisholm Model"
36,6.39147596812905,"Chisholm Model"
39,6.62499823486733,"Chisholm Model"
42,6.84954738327771,"Chisholm Model"
45,7.06597750983817,"Chisholm Model"
32,6.06436159609377,"Chisholm Model"
40,6.70079976735061,"Chisholm Model"
44,6.99468919401101,"Chisholm Model"
48,7.27501285597423,"Chisholm Model"
52,7.54328449242802,"Chisholm Model"
56,7.80075208791953,"Chisholm Model"
60,8.04845983425856,"Chisholm Model"
25,5.4393609797977,"Chisholm Model"
35,6.31147052313219,"Chisholm Model"
50,7.41057177993665,"Chisholm Model"
55,7.73733794684306,"Chisholm Model"
65,8.3457051422367,"Chisholm Model"
70,8.63052993432701,"Chisholm Model"
75,8.90415134521405,"Chisholm Model"
54,7.67329934562634,"Chisholm Model"
66,8.40362173274639,"Chisholm Model"
72,8.74126148713512,"Chisholm Model"
78,9.06338171811256,"Chisholm Model"
84,9.37163034783538,"Chisholm Model"
90,9.66738349994539,"Chisholm Model"
49,7.34315790418956,"Chisholm Model"
63,8.22837300241316,"Chisholm Model"
77,9.01069908444576,"Chisholm Model"
91,9.71554523226441,"Chisholm Model"
98,10.0442699445073,"Chisholm Model"
105,10.3593279806558,"Chisholm Model"
64,8.28729248722322,"Chisholm Model"
80,9.16759965246618,"Chisholm Model"
88,9.57011183112643,"Chisholm Model"
96,9.95180486386451,"Chisholm Model"
104,10.3151054159663,"Chisholm Model"
112,10.6620064056953,"Chisholm Model"
