"Mean","Range","Variance","Standard.Deviation","Standard.Error","maxArea","ModelOrSim"
10.793,"1 - 39",31.322,5.597,0.006,400,"SolmanSim"
10.71,"1 - 21.45",34.647,5.886,0.007,400,"ChisholmMod"
9.31,"1 - 31",21.857,4.675,0.006,200,"SolmanSim"
9.346,"1 - 20.48",29.883,5.466,0.007,200,"ChisholmMod"
8.13,"1 - 26",16.951,4.117,0.006,133,"SolmanSim"
8.33,"1 - 20.19",28.444,5.333,0.007,133,"ChisholmMod"
7.388,"1 - 24",14.683,3.832,0.006,100,"SolmanSim"
7.708,"1 - 20.13",28.011,5.293,0.008,100,"ChisholmMod"
6.85,"1 - 23",13.402,3.661,0.006,80,"SolmanSim"
7.264,"1 - 20.08",27.889,5.281,0.008,80,"ChisholmMod"
6.372,"1 - 20",12.325,3.511,0.006,66,"SolmanSim"
6.846,"1 - 20.04",27.013,5.197,0.009,66,"ChisholmMod"
6.068,"1 - 20",11.856,3.443,0.006,57,"SolmanSim"
6.591,"1 - 20.01",26.938,5.19,0.009,57,"ChisholmMod"
5.76,"1 - 20",11.222,3.35,0.006,50,"SolmanSim"
6.302,"1 - 20.01",25.841,5.083,0.01,50,"ChisholmMod"
5.53,"1 - 20",11.098,3.331,0.007,44,"SolmanSim"
6.126,"1 - 20.01",26.449,5.143,0.01,44,"ChisholmMod"
5.428,"1 - 20",11.116,3.334,0.007,40,"SolmanSim"
6.054,"1 - 20.01",26.936,5.19,0.011,40,"ChisholmMod"
5.213,"1 - 20",10.522,3.244,0.007,36,"SolmanSim"
5.813,"1 - 20",24.967,4.997,0.011,36,"ChisholmMod"
4.986,"1 - 19",10.115,3.18,0.007,33,"SolmanSim"
5.592,"1 - 20",24.004,4.899,0.011,33,"ChisholmMod"
4.863,"1 - 19",9.963,3.156,0.007,30,"SolmanSim"
5.475,"1 - 20",23.76,4.874,0.011,30,"ChisholmMod"
4.747,"1 - 19",9.934,3.152,0.008,28,"SolmanSim"
5.377,"1 - 20",23.905,4.889,0.012,28,"ChisholmMod"
4.637,"1 - 19",10.001,3.162,0.008,26,"SolmanSim"
5.29,"1 - 20",24.337,4.933,0.012,26,"ChisholmMod"
4.586,"1 - 19",9.872,3.142,0.008,25,"SolmanSim"
5.232,"1 - 20",24.057,4.905,0.012,25,"ChisholmMod"
4.479,"1 - 19",10.25,3.202,0.009,22,"SolmanSim"
5.181,"1 - 20",25.45,5.045,0.013,22,"ChisholmMod"
4.479,"1 - 19",10.25,3.202,0.009,22,"SolmanSim"
5.181,"1 - 20",25.45,5.045,0.013,22,"ChisholmMod"
4.438,"1 - 19",10.245,3.201,0.009,21,"SolmanSim"
5.142,"1 - 20",25.553,5.055,0.014,21,"ChisholmMod"
4.419,"1 - 19",10.456,3.234,0.009,20,"SolmanSim"
5.146,"1 - 20",26.206,5.119,0.014,20,"ChisholmMod"
