"maxArea","Coefficients","Estimate","Standard.Error","t.value","p.value","R.Squared","Variate"
"400","(Intercept)",16.053,0.026,628.729,"$<$ 0.001",0.95,"Niche_Area_Migration"
"400","z.K_num",5.398,0.034,158.991,"$<$ 0.001",0.95,"Niche_Area_Migration"
"400","z.area",5.21,0.034,153.456,"$<$ 0.001",0.95,"Niche_Area_Migration"
"400","z.migration",2.591,0.026,101.462,"$<$ 0.001",0.95,"Niche_Area_Migration"
"400","(Intercept)",16.053,0.039,415.732,"$<$ 0.001",0.887,"Niche_Area"
"400","z.K_num",5.398,0.051,105.129,"$<$ 0.001",0.887,"Niche_Area"
"400","z.area",5.21,0.051,101.469,"$<$ 0.001",0.887,"Niche_Area"
"400","(Intercept)",16.053,0.058,274.892,"$<$ 0.001",0.741,"Niche"
"400","z.K_num",8.833,0.058,151.247,"$<$ 0.001",0.741,"Niche"
"200","(Intercept)",12.927,0.018,736.329,"$<$ 0.001",0.965,"Niche_Area_Migration"
"200","z.K_num",5.071,0.021,245.11,"$<$ 0.001",0.965,"Niche_Area_Migration"
"200","z.area",3.179,0.021,153.648,"$<$ 0.001",0.965,"Niche_Area_Migration"
"200","z.migration",1.769,0.018,100.762,"$<$ 0.001",0.965,"Niche_Area_Migration"
"200","(Intercept)",12.927,0.028,462.115,"$<$ 0.001",0.911,"Niche_Area"
"200","z.K_num",5.071,0.033,153.829,"$<$ 0.001",0.911,"Niche_Area"
"200","z.area",3.179,0.033,96.429,"$<$ 0.001",0.911,"Niche_Area"
"200","(Intercept)",12.927,0.043,297.728,"$<$ 0.001",0.786,"Niche"
"200","z.K_num",6.752,0.043,155.482,"$<$ 0.001",0.786,"Niche"
"133","(Intercept)",10.81,0.013,815.29,"$<$ 0.001",0.977,"Niche_Area_Migration"
"133","z.K_num",4.964,0.015,336.684,"$<$ 0.001",0.977,"Niche_Area_Migration"
"133","z.area",2.122,0.015,143.895,"$<$ 0.001",0.977,"Niche_Area_Migration"
"133","z.migration",1.241,0.013,93.615,"$<$ 0.001",0.977,"Niche_Area_Migration"
"133","(Intercept)",10.81,0.022,501.597,"$<$ 0.001",0.939,"Niche_Area"
"133","z.K_num",4.964,0.024,207.14,"$<$ 0.001",0.939,"Niche_Area"
"133","z.area",2.122,0.024,88.53,"$<$ 0.001",0.939,"Niche_Area"
"133","(Intercept)",10.81,0.034,319.284,"$<$ 0.001",0.85,"Niche"
"133","z.K_num",5.892,0.034,174.015,"$<$ 0.001",0.85,"Niche"
"100","(Intercept)",9.604,0.011,876.761,"$<$ 0.001",0.984,"Niche_Area_Migration"
"100","z.K_num",4.937,0.012,415.549,"$<$ 0.001",0.984,"Niche_Area_Migration"
"100","z.area",1.594,0.012,134.145,"$<$ 0.001",0.984,"Niche_Area_Migration"
"100","z.migration",0.956,0.011,87.222,"$<$ 0.001",0.984,"Niche_Area_Migration"
"100","(Intercept)",9.604,0.018,535.166,"$<$ 0.001",0.958,"Niche_Area"
"100","z.K_num",4.937,0.019,253.647,"$<$ 0.001",0.958,"Niche_Area"
"100","z.area",1.594,0.019,81.881,"$<$ 0.001",0.958,"Niche_Area"
"100","(Intercept)",9.604,0.028,339.576,"$<$ 0.001",0.895,"Niche"
"100","z.K_num",5.554,0.028,196.343,"$<$ 0.001",0.895,"Niche"
"80","(Intercept)",8.786,0.009,925.654,"$<$ 0.001",0.989,"Niche_Area_Migration"
"80","z.K_num",4.933,0.01,485.598,"$<$ 0.001",0.989,"Niche_Area_Migration"
