"MigrationRates","NumberOfNiches","SizeOfNiches","Area"
0.003,1,1,1
0.003,2,1,2
0.003,3,1,3
0.003,4,1,4
0.003,5,1,5
0.003,6,1,6
0.003,7,1,7
0.003,8,1,8
0.003,9,1,9
0.003,10,1,10
0.003,11,1,11
0.003,12,1,12
0.003,13,1,13
0.003,14,1,14
0.003,15,1,15
0.003,16,1,16
0.003,17,1,17
0.003,18,1,18
0.003,19,1,19
0.003,20,1,20
0.006,1,1,1
0.006,2,1,2
0.006,3,1,3
0.006,4,1,4
0.006,5,1,5
0.006,6,1,6
0.006,7,1,7
0.006,8,1,8
0.006,9,1,9
0.006,10,1,10
0.006,11,1,11
0.006,12,1,12
0.006,13,1,13
0.006,14,1,14
0.006,15,1,15
0.006,16,1,16
0.006,17,1,17
0.006,18,1,18
0.006,19,1,19
0.006,20,1,20
0.009,1,1,1
0.009,2,1,2
0.009,3,1,3
0.009,4,1,4
0.009,5,1,5
0.009,6,1,6
0.009,7,1,7
0.009,8,1,8
0.009,9,1,9
0.009,10,1,10
0.009,11,1,11
0.009,12,1,12
0.009,13,1,13
0.009,14,1,14
0.009,15,1,15
0.009,16,1,16
0.009,17,1,17
0.009,18,1,18
0.009,19,1,19
0.009,20,1,20
0.012,1,1,1
0.012,2,1,2
0.012,3,1,3
0.012,4,1,4
0.012,5,1,5
0.012,6,1,6
0.012,7,1,7
0.012,8,1,8
0.012,9,1,9
0.012,10,1,10
0.012,11,1,11
0.012,12,1,12
0.012,13,1,13
0.012,14,1,14
0.012,15,1,15
0.012,16,1,16
0.012,17,1,17
0.012,18,1,18
0.012,19,1,19
0.012,20,1,20
0.015,1,1,1
0.015,2,1,2
0.015,3,1,3
0.015,4,1,4
0.015,5,1,5
0.015,6,1,6
0.015,7,1,7
0.015,8,1,8
0.015,9,1,9
0.015,10,1,10
0.015,11,1,11
0.015,12,1,12
0.015,13,1,13
0.015,14,1,14
0.015,15,1,15
0.015,16,1,16
0.015,17,1,17
0.015,18,1,18
0.015,19,1,19
0.015,20,1,20
0.018,1,1,1
0.018,2,1,2
0.018,3,1,3
0.018,4,1,4
0.018,5,1,5
0.018,6,1,6
0.018,7,1,7
0.018,8,1,8
0.018,9,1,9
0.018,10,1,10
0.018,11,1,11
0.018,12,1,12
0.018,13,1,13
0.018,14,1,14
0.018,15,1,15
0.018,16,1,16
0.018,17,1,17
0.018,18,1,18
0.018,19,1,19
0.018,20,1,20
0.021,1,1,1
0.021,2,1,2
0.021,3,1,3
0.021,4,1,4
0.021,5,1,5
0.021,6,1,6
0.021,7,1,7
0.021,8,1,8
0.021,9,1,9
0.021,10,1,10
0.021,11,1,11
0.021,12,1,12
0.021,13,1,13
0.021,14,1,14
0.021,15,1,15
0.021,16,1,16
0.021,17,1,17
0.021,18,1,18
0.021,19,1,19
0.021,20,1,20
0.024,1,1,1
0.024,2,1,2
0.024,3,1,3
0.024,4,1,4
0.024,5,1,5
0.024,6,1,6
0.024,7,1,7
0.024,8,1,8
0.024,9,1,9
0.024,10,1,10
0.024,11,1,11
0.024,12,1,12
0.024,13,1,13
0.024,14,1,14
0.024,15,1,15
0.024,16,1,16
0.024,17,1,17
0.024,18,1,18
0.024,19,1,19
0.024,20,1,20
0.027,1,1,1
0.027,2,1,2
0.027,3,1,3
0.027,4,1,4
0.027,5,1,5
0.027,6,1,6
0.027,7,1,7
0.027,8,1,8
0.027,9,1,9
0.027,10,1,10
0.027,11,1,11
0.027,12,1,12
0.027,13,1,13
0.027,14,1,14
0.027,15,1,15
0.027,16,1,16
0.027,17,1,17
0.027,18,1,18
0.027,19,1,19
0.027,20,1,20
0.03,1,1,1
0.03,2,1,2
0.03,3,1,3
0.03,4,1,4
0.03,5,1,5
0.03,6,1,6
0.03,7,1,7
0.03,8,1,8
0.03,9,1,9
0.03,10,1,10
0.03,11,1,11
0.03,12,1,12
0.03,13,1,13
0.03,14,1,14
0.03,15,1,15
0.03,16,1,16
0.03,17,1,17
0.03,18,1,18
0.03,19,1,19
0.03,20,1,20
0.033,1,1,1
0.033,2,1,2
0.033,3,1,3
0.033,4,1,4
0.033,5,1,5
0.033,6,1,6
0.033,7,1,7
0.033,8,1,8
0.033,9,1,9
0.033,10,1,10
0.033,11,1,11
0.033,12,1,12
0.033,13,1,13
0.033,14,1,14
0.033,15,1,15
0.033,16,1,16
0.033,17,1,17
0.033,18,1,18
0.033,19,1,19
0.033,20,1,20
0.036,1,1,1
0.036,2,1,2
0.036,3,1,3
0.036,4,1,4
0.036,5,1,5
0.036,6,1,6
0.036,7,1,7
0.036,8,1,8
0.036,9,1,9
0.036,10,1,10
0.036,11,1,11
0.036,12,1,12
0.036,13,1,13
0.036,14,1,14
0.036,15,1,15
0.036,16,1,16
0.036,17,1,17
0.036,18,1,18
0.036,19,1,19
0.036,20,1,20
0.039,1,1,1
0.039,2,1,2
0.039,3,1,3
0.039,4,1,4
0.039,5,1,5
0.039,6,1,6
0.039,7,1,7
0.039,8,1,8
0.039,9,1,9
0.039,10,1,10
0.039,11,1,11
0.039,12,1,12
0.039,13,1,13
0.039,14,1,14
0.039,15,1,15
0.039,16,1,16
0.039,17,1,17
0.039,18,1,18
0.039,19,1,19
0.039,20,1,20
0.042,1,1,1
0.042,2,1,2
0.042,3,1,3
0.042,4,1,4
0.042,5,1,5
0.042,6,1,6
0.042,7,1,7
0.042,8,1,8
0.042,9,1,9
0.042,10,1,10
0.042,11,1,11
0.042,12,1,12
0.042,13,1,13
0.042,14,1,14
0.042,15,1,15
0.042,16,1,16
0.042,17,1,17
0.042,18,1,18
0.042,19,1,19
0.042,20,1,20
0.045,1,1,1
0.045,2,1,2
0.045,3,1,3
0.045,4,1,4
0.045,5,1,5
0.045,6,1,6
0.045,7,1,7
0.045,8,1,8
0.045,9,1,9
0.045,10,1,10
0.045,11,1,11
0.045,12,1,12
0.045,13,1,13
0.045,14,1,14
0.045,15,1,15
0.045,16,1,16
0.045,17,1,17
0.045,18,1,18
0.045,19,1,19
0.045,20,1,20
0.048,1,1,1
0.048,2,1,2
0.048,3,1,3
0.048,4,1,4
0.048,5,1,5
0.048,6,1,6
0.048,7,1,7
0.048,8,1,8
0.048,9,1,9
0.048,10,1,10
0.048,11,1,11
0.048,12,1,12
0.048,13,1,13
0.048,14,1,14
0.048,15,1,15
0.048,16,1,16
0.048,17,1,17
0.048,18,1,18
0.048,19,1,19
0.048,20,1,20
0.051,1,1,1
0.051,2,1,2
0.051,3,1,3
0.051,4,1,4
0.051,5,1,5
0.051,6,1,6
0.051,7,1,7
0.051,8,1,8
0.051,9,1,9
0.051,10,1,10
0.051,11,1,11
0.051,12,1,12
0.051,13,1,13
0.051,14,1,14
0.051,15,1,15
0.051,16,1,16
0.051,17,1,17
0.051,18,1,18
0.051,19,1,19
0.051,20,1,20
0.054,1,1,1
0.054,2,1,2
0.054,3,1,3
0.054,4,1,4
0.054,5,1,5
0.054,6,1,6
0.054,7,1,7
0.054,8,1,8
0.054,9,1,9
0.054,10,1,10
0.054,11,1,11
0.054,12,1,12
0.054,13,1,13
0.054,14,1,14
0.054,15,1,15
0.054,16,1,16
0.054,17,1,17
0.054,18,1,18
0.054,19,1,19
0.054,20,1,20
0.057,1,1,1
0.057,2,1,2
0.057,3,1,3
0.057,4,1,4
0.057,5,1,5
0.057,6,1,6
0.057,7,1,7
0.057,8,1,8
0.057,9,1,9
0.057,10,1,10
0.057,11,1,11
0.057,12,1,12
0.057,13,1,13
0.057,14,1,14
0.057,15,1,15
0.057,16,1,16
0.057,17,1,17
0.057,18,1,18
0.057,19,1,19
0.057,20,1,20
0.06,1,1,1
0.06,2,1,2
0.06,3,1,3
0.06,4,1,4
0.06,5,1,5
0.06,6,1,6
0.06,7,1,7
0.06,8,1,8
0.06,9,1,9
0.06,10,1,10
0.06,11,1,11
0.06,12,1,12
0.06,13,1,13
0.06,14,1,14
0.06,15,1,15
0.06,16,1,16
0.06,17,1,17
0.06,18,1,18
0.06,19,1,19
0.06,20,1,20
