"area","Species_Rich","niches","migration","SimOrMod"
1,1,1,0.0315,"Solman"
2,1.52125,1.5,0.0315,"Solman"
3,2.0475,2,0.0315,"Solman"
4,2.41366666666667,2.33333333333333,0.0315,"Solman"
5,3.10725,3,0.0315,"Solman"
6,3.152375,3,0.0315,"Solman"
7,4.161,4,0.0315,"Solman"
8,3.97175,3.75,0.0315,"Solman"
9,4.58483333333333,4.33333333333333,0.0315,"Solman"
10,4.7845,4.5,0.0315,"Solman"
11,6.27625,6,0.0315,"Solman"
12,5.04333333333333,4.66666666666667,0.0315,"Solman"
13,7.33325,7,0.0315,"Solman"
14,6.422125,6,0.0315,"Solman"
15,6.462125,6,0.0315,"Solman"
16,6.709,6.2,0.0315,"Solman"
17,9.45075,9,0.0315,"Solman"
18,7.09425,6.5,0.0315,"Solman"
19,10.4915,10,0.0315,"Solman"
20,7.67266666666667,7,0.0315,"Solman"
22,7.30375,6.5,0.0315,"Solman"
24,6.76883333333333,5.83333333333333,0.0315,"Solman"
26,8.439,7.5,0.0315,"Solman"
28,7.840125,6.75,0.0315,"Solman"
30,8.03241666666667,6.83333333333333,0.0315,"Solman"
32,8.78225,7.5,0.0315,"Solman"
34,10.75625,9.5,0.0315,"Solman"
36,9.20114285714286,7.71428571428571,0.0315,"Solman"
38,11.93175,10.5,0.0315,"Solman"
40,9.85275,8.16666666666667,0.0315,"Solman"
21,5.8115,5,0.0315,"Solman"
27,7.07175,6,0.0315,"Solman"
33,8.3705,7,0.0315,"Solman"
39,9.63225,8,0.0315,"Solman"
42,9.35575,7.5,0.0315,"Solman"
45,9.97,8,0.0315,"Solman"
48,10.29975,8.16666666666667,0.0315,"Solman"
51,12.15,10,0.0315,"Solman"
54,11.388625,9,0.0315,"Solman"
57,13.34475,11,0.0315,"Solman"
60,12.0794375,9.375,0.0315,"Solman"
44,9.44125,7.5,0.0315,"Solman"
52,10.836,8.5,0.0315,"Solman"
56,10.823875,8.25,0.0315,"Solman"
64,12.2788333333333,9.33333333333333,0.0315,"Solman"
68,13.588,10.5,0.0315,"Solman"
72,12.8954166666667,9.5,0.0315,"Solman"
76,14.9285,11.5,0.0315,"Solman"
80,14.2645833333333,10.5,0.0315,"Solman"
25,6.0325,5,0.0315,"Solman"
35,7.55175,6,0.0315,"Solman"
50,9.834,7.5,0.0315,"Solman"
55,10.53025,8,0.0315,"Solman"
65,12.069,9,0.0315,"Solman"
70,12.339375,9,0.0315,"Solman"
75,13.5605,10,0.0315,"Solman"
85,14.98975,11,0.0315,"Solman"
90,14.8728333333333,10.5,0.0315,"Solman"
95,16.47425,12,0.0315,"Solman"
100,16.4583333333333,11.6666666666667,0.0315,"Solman"
66,11.654,8.5,0.0315,"Solman"
78,13.29025,9.5,0.0315,"Solman"
84,13.8725,9.75,0.0315,"Solman"
