,Author,R-Squared,Theta,Immigration,Niches,Type
0,Bell et al,0.627665020576047,-46.6529803307517,-1.89221671577047,9.0,LogArea
0,Bell et al,0.772819599530482,8591.54990562665,0.44828337681712105,2.0,LogAreaSpecies
0,Bell et al,0.924464731420282,27.2634670857948,0.0464159728250625,10.0,NoLog
1,Bolgovics et al,,,,,LogArea
1,Bolgovics et al,,,,,LogAreaSpecies
1,Bolgovics et al,,,,,NoLog
2,Glassman et al,0.165958942558234,-4.66048898889434,-4.7619817896835395,4.0,LogArea
2,Glassman et al,0.18319460229629997,820558.457501477,0.0766933005044366,2.0,LogAreaSpecies
2,Glassman et al,0.16286561451017198,1.7260381490800902,0.960686930010923,22.0,NoLog
3,"Henebry, M. S. & Cairns, J.",,,,,LogArea
3,"Henebry, M. S. & Cairns, J.",0.0657621426916928,-297.58701174397703,0.00010045224280748101,3.0,LogAreaSpecies
3,"Henebry, M. S. & Cairns, J.",0.169878910253487,-2.8162021955518997,5.0965926363164,9.0,NoLog
4,Juttner et al,0.35963167390062706,3702336.1928006005,1.9961198089807002,6.0,LogArea
4,Juttner et al,0.626189278856709,-0.0842517925759512,-0.111278787601574,2.0,LogAreaSpecies
4,Juttner et al,0.6923622718127971,1349958.3636021002,0.0100796834281652,1.0,NoLog
5,"Kavazos, C.",0.105132548756429,-44.4500697195997,-7.220501307220419,47.0,LogArea
5,"Kavazos, C.",0.0944438545263779,2032926.03025129,0.0460087187183759,2.0,LogAreaSpecies
5,"Kavazos, C.",0.49197032635591204,240395.78786722198,0.0014439579118668401,21.0,NoLog
6,Lindstrom & Leskinen,,,,,LogArea
6,Lindstrom & Leskinen,,,,,LogAreaSpecies
6,Lindstrom & Leskinen,,,,,NoLog
7,"Patrick, R.",0.165800015339094,7.73606750611926,1.4823035950091001,90.0,LogArea
7,"Patrick, R.",,,,,LogAreaSpecies
7,"Patrick, R.",0.126414012610369,6.264538707842269,2.9999993618279506,105.0,NoLog
8,Peay et al,0.5769466495272171,16146950.804615,1.26863622137746,25.0,LogArea
8,Peay et al,0.8189490923141751,3700675.40725675,0.44515628330685,2.0,LogAreaSpecies
8,Peay et al,0.846873068244042,-11.223980175110302,-0.000396493780444002,23.0,NoLog
9,Reche et al,,,,,LogArea
9,Reche et al,,,,,LogAreaSpecies
9,Reche et al,0.335805069033724,92190.090362397,0.0475632949167823,8.0,NoLog
11,SYNTHETIC_DATA,0.407347134431007,-537.980007811278,-0.32731690854806395,42.0,LogArea
11,SYNTHETIC_DATA,0.42461143669558504,1026317.85218796,1.11666705364146,3.0,LogAreaSpecies
11,SYNTHETIC_DATA,0.60789267447489,18756934.4216134,3.0178019161421097,239.0,NoLog
10,Severin et al,,,,,LogArea
10,Severin et al,0.0018731577696294898,-4.92386030964491,0.00017244360339388798,5.0,LogAreaSpecies
10,Severin et al,,,,,NoLog
0,"Solman, A.",,,,,LogArea
1,"Solman, A.",,,,,LogArea
2,"Solman, A.",,,,,LogArea
0,"Solman, A.",,,,,LogAreaSpecies
1,"Solman, A.",,,,,LogAreaSpecies
2,"Solman, A.",,,,,LogAreaSpecies
0,"Solman, A.",,,,,NoLog
1,"Solman, A.",,,,,NoLog
2,"Solman, A.",,,,,NoLog
12,Varbiro et al,,,,,LogArea
12,Varbiro et al,,,,,LogAreaSpecies
12,Varbiro et al,,,,,NoLog
