"","Author","R-Squared","Theta","Immigration","Niches"
"1","Bell et al",0.772819599530482,8591.54990562665,0.448283376817121,2
"2","Bolgovics et al",NA,NA,NA,NA
"3","Glassman et al",0.1831946022963,820558.457501477,0.0766933005044366,2
"4","Henebry, M. S. & Cairns, J.",0.0657621426916928,-297.587011743977,0.000100452242807481,3
"5","Juttner et al",0.626189278856709,-0.0842517925759512,-0.111278787601574,2
"6","Kavazos, C.",0.0944438545263779,2032926.03025129,0.0460087187183759,2
"7","Lindstrom & Leskinen",NA,NA,NA,NA
"8","Patrick, R.",NA,NA,NA,NA
"9","Peay et al",0.818949092314175,3700675.40725675,0.44515628330685,2
"10","Reche et al",NA,NA,NA,NA
"11","Severin et al",0.00187315776962949,-4.92386030964491,0.000172443603393888,5
"12","SYNTHETIC_DATA",0.424611436695585,1026317.85218796,1.11666705364146,3
"13","Varbiro et al",NA,NA,NA,NA
