"","Type.of.feeding.interaction","Predator.lifestage","term","estimate","std.error","statistic","p.value"
"1","insectivorous","larva / juvenile","(Intercept)",-3.45975627178893,2.07379067389877,-1.66832473273907,0.105657209203314
"2","insectivorous","larva / juvenile","Prey.mass",81.1591380069623,11.5695294049364,7.01490399188869,8.51926669047012e-08
"3","piscivorous","adult","(Intercept)",18859.8842209804,444.094239438382,42.4682027959455,0
"4","piscivorous","adult","Prey.mass",59.1262314720661,2.99570504557662,19.7370003296453,8.67461555104408e-86
"5","piscivorous","juvenile","(Intercept)",5510.17020640099,10.1022115164042,545.441975497488,0
"6","piscivorous","juvenile","Prey.mass",10.2848479190327,1.89877403074062,5.4165728794074,6.55097406738606e-08
"7","piscivorous","larva / juvenile","(Intercept)",9.86483143239672,6.01987612747293,1.63871003713458,0.135696866255147
"8","piscivorous","larva / juvenile","Prey.mass",172.511898493461,104.532763501463,1.65031414759304,0.133275952079355
"9","piscivorous","postlarva","(Intercept)",0.0382407206914082,0.00771154622589489,4.95889145590521,2.41625323165951e-05
"10","piscivorous","postlarva","Prey.mass",0.582050921513236,0.0843384294254274,6.90137254723115,9.7272295316571e-08
"11","piscivorous","postlarva/juvenile","(Intercept)",1.28,0.12,10.6666666666667,0.0595091671428354
"12","planktivorous","adult","(Intercept)",26967.7354654315,1274.19573107008,21.1645156296229,1.03515074642713e-47
"13","planktivorous","adult","Prey.mass",152.795681507931,99.7203299454911,1.53224203722001,0.127488163611921
"14","planktivorous","juvenile","(Intercept)",2.25196721311474,NA,NA,NA
"15","planktivorous","juvenile","Prey.mass",6557.37704918046,NA,NA,NA
"16","planktivorous","larva","(Intercept)",0.149952307811492,0.0177738064445736,8.43670196809604,1.10223754114038e-16
"17","planktivorous","larva","Prey.mass",-0.125540385475094,0.259042257628564,-0.484632841855108,0.628040559141266
"18","planktivorous","larva / juvenile","(Intercept)",0.412017531898669,0.396846180563707,1.03822980307738,0.301285879064046
"19","planktivorous","larva / juvenile","Prey.mass",100348.136755092,54245.4554970689,1.84989020436034,0.0668312825188675
"20","planktivorous","postlarva/juvenile","(Intercept)",0.153516129748767,0.02134439839619,7.19233809729538,6.67560163767529e-12
"21","planktivorous","postlarva/juvenile","Prey.mass",21012.870102476,4515.86284250713,4.65312407292026,5.19518130117452e-06
"22","predacious","adult","(Intercept)",14022.5769795347,479.687599728076,29.2327276908633,1.69319135913066e-178
"23","predacious","adult","Prey.mass",86.673385189364,3.39161556101098,25.5551915098326,1.72637702924991e-138
"24","predacious","juvenile","(Intercept)",1477.06697786484,53.6757327746637,27.5183383907532,1.29341589173845e-142
"25","predacious","juvenile","Prey.mass",72.5276909974556,5.75924556428047,12.5932624660565,4.1285842295442e-35
"26","predacious","larva","(Intercept)",0.107758676365578,0.0170727766411643,6.31172530575727,3.8648559212165e-10
"27","predacious","larva","Prey.mass",16253.0221597405,678.9940313706,23.9369146249085,5.60208041878814e-104
"28","predacious","larva / juvenile","(Intercept)",1.51278179933138,0.355280481382133,4.25799299034462,2.47773863624976e-05
"29","predacious","larva / juvenile","Prey.mass",164.216226022138,19.5670460831782,8.3924893580802,5.25237217935058e-16
"30","predacious","postlarva","(Intercept)",0.133502073567387,0.0104075170685258,12.8274662139274,4.70834159424592e-20
"31","predacious","postlarva","Prey.mass",-0.00861452759101591,0.00995890948153077,-0.865007118198225,0.389989666306616
"32","predacious","postlarva/juvenile","(Intercept)",0.565541752418578,0.0262896139594141,21.511983907092,3.70204676907675e-76
"33","predacious","postlarva/juvenile","Prey.mass",1.7461898824416,0.326915484926987,5.34141074055148,1.32011188235222e-07
"34","predacious/piscivorous","adult","(Intercept)",503.058942134918,62.222771560961,8.08480447776359,1.48701884570084e-13
"35","predacious/piscivorous","adult","Prey.mass",11.949120671082,1.92886761107519,6.19488896100096,4.79389028064073e-09
